datapoint_code,frequency,label,unit,template
dp15657,2,[TODO: DPM lookup] dp15657,[TODO],[TODO]
dp15668,2,[TODO: DPM lookup] dp15668,[TODO],[TODO]
dp15756,2,[TODO: DPM lookup] dp15756,[TODO],[TODO]
dp15767,2,[TODO: DPM lookup] dp15767,[TODO],[TODO]
dp17458,1,[TODO: DPM lookup] dp17458,[TODO],[TODO]
dp32355,30,[TODO: DPM lookup] dp32355,[TODO],[TODO]
dp32465,12,[TODO: DPM lookup] dp32465,[TODO],[TODO]
dp32593,18,[TODO: DPM lookup] dp32593,[TODO],[TODO]
dp32676,2,[TODO: DPM lookup] dp32676,[TODO],[TODO]
dp32679,14,[TODO: DPM lookup] dp32679,[TODO],[TODO]
dp32682,2,[TODO: DPM lookup] dp32682,[TODO],[TODO]
dp32686,1,[TODO: DPM lookup] dp32686,[TODO],[TODO]
dp33293,1,[TODO: DPM lookup] dp33293,[TODO],[TODO]
dp33304,1,[TODO: DPM lookup] dp33304,[TODO],[TODO]
dp33311,3,[TODO: DPM lookup] dp33311,[TODO],[TODO]
dp33312,1,[TODO: DPM lookup] dp33312,[TODO],[TODO]
dp33314,1,[TODO: DPM lookup] dp33314,[TODO],[TODO]
dp33315,1,[TODO: DPM lookup] dp33315,[TODO],[TODO]
dp33327,1,[TODO: DPM lookup] dp33327,[TODO],[TODO]
dp33330,1,[TODO: DPM lookup] dp33330,[TODO],[TODO]
dp33331,1,[TODO: DPM lookup] dp33331,[TODO],[TODO]
dp33334,5,[TODO: DPM lookup] dp33334,[TODO],[TODO]
dp33339,8,[TODO: DPM lookup] dp33339,[TODO],[TODO]
dp33340,1,[TODO: DPM lookup] dp33340,[TODO],[TODO]
dp33341,8,[TODO: DPM lookup] dp33341,[TODO],[TODO]
dp33342,13,[TODO: DPM lookup] dp33342,[TODO],[TODO]
dp33407,1,[TODO: DPM lookup] dp33407,[TODO],[TODO]
dp33411,34,[TODO: DPM lookup] dp33411,[TODO],[TODO]
dp33413,20,[TODO: DPM lookup] dp33413,[TODO],[TODO]
dp37598,10,[TODO: DPM lookup] dp37598,[TODO],[TODO]
dp38483,45,[TODO: DPM lookup] dp38483,[TODO],[TODO]
dp38876,3,[TODO: DPM lookup] dp38876,[TODO],[TODO]
dp70027,7,[TODO: DPM lookup] dp70027,[TODO],[TODO]
dp76880,8,[TODO: DPM lookup] dp76880,[TODO],[TODO]
dp84817,20,[TODO: DPM lookup] dp84817,[TODO],[TODO]
dp85048,11,[TODO: DPM lookup] dp85048,[TODO],[TODO]
dp85151,34,[TODO: DPM lookup] dp85151,[TODO],[TODO]
dp85152,34,[TODO: DPM lookup] dp85152,[TODO],[TODO]
dp85153,34,[TODO: DPM lookup] dp85153,[TODO],[TODO]
dp85156,20,[TODO: DPM lookup] dp85156,[TODO],[TODO]
dp109093,2,[TODO: DPM lookup] dp109093,[TODO],[TODO]
dp109203,2,[TODO: DPM lookup] dp109203,[TODO],[TODO]
dp109294,1,[TODO: DPM lookup] dp109294,[TODO],[TODO]
dp109295,1,[TODO: DPM lookup] dp109295,[TODO],[TODO]
dp109296,3,[TODO: DPM lookup] dp109296,[TODO],[TODO]
dp132925,8,[TODO: DPM lookup] dp132925,[TODO],[TODO]
dp132926,3,[TODO: DPM lookup] dp132926,[TODO],[TODO]
dp132927,3,[TODO: DPM lookup] dp132927,[TODO],[TODO]
dp132928,2,[TODO: DPM lookup] dp132928,[TODO],[TODO]
dp132929,1,[TODO: DPM lookup] dp132929,[TODO],[TODO]
dp132939,1,[TODO: DPM lookup] dp132939,[TODO],[TODO]
dp132945,1,[TODO: DPM lookup] dp132945,[TODO],[TODO]
dp132946,3,[TODO: DPM lookup] dp132946,[TODO],[TODO]
dp132947,1,[TODO: DPM lookup] dp132947,[TODO],[TODO]
dp134663,14,[TODO: DPM lookup] dp134663,[TODO],[TODO]
dp134665,34,[TODO: DPM lookup] dp134665,[TODO],[TODO]
dp143076,34,[TODO: DPM lookup] dp143076,[TODO],[TODO]
dp145637,20,[TODO: DPM lookup] dp145637,[TODO],[TODO]
dp146049,20,[TODO: DPM lookup] dp146049,[TODO],[TODO]
dp148955,42,[TODO: DPM lookup] dp148955,[TODO],[TODO]
dp148983,209,[TODO: DPM lookup] dp148983,[TODO],[TODO]
dp149275,183,[TODO: DPM lookup] dp149275,[TODO],[TODO]
dp149540,258,[TODO: DPM lookup] dp149540,[TODO],[TODO]
dp149590,77,[TODO: DPM lookup] dp149590,[TODO],[TODO]
dp149592,88,[TODO: DPM lookup] dp149592,[TODO],[TODO]
dp149626,260,[TODO: DPM lookup] dp149626,[TODO],[TODO]
dp149630,257,[TODO: DPM lookup] dp149630,[TODO],[TODO]
dp149631,154,[TODO: DPM lookup] dp149631,[TODO],[TODO]
dp235707,5,[TODO: DPM lookup] dp235707,[TODO],[TODO]
dp410432,18,[TODO: DPM lookup] dp410432,[TODO],[TODO]
dp410433,2,[TODO: DPM lookup] dp410433,[TODO],[TODO]
dp410438,20,[TODO: DPM lookup] dp410438,[TODO],[TODO]
dp424336,20,[TODO: DPM lookup] dp424336,[TODO],[TODO]
dp424337,20,[TODO: DPM lookup] dp424337,[TODO],[TODO]
dp442282,11,[TODO: DPM lookup] dp442282,[TODO],[TODO]
dp442283,11,[TODO: DPM lookup] dp442283,[TODO],[TODO]
dp442285,11,[TODO: DPM lookup] dp442285,[TODO],[TODO]
dp442286,5,[TODO: DPM lookup] dp442286,[TODO],[TODO]
dp442287,1,[TODO: DPM lookup] dp442287,[TODO],[TODO]
dp442289,6,[TODO: DPM lookup] dp442289,[TODO],[TODO]
dp442290,11,[TODO: DPM lookup] dp442290,[TODO],[TODO]
dp442291,9,[TODO: DPM lookup] dp442291,[TODO],[TODO]
dp442324,3,[TODO: DPM lookup] dp442324,[TODO],[TODO]
dp442326,1,[TODO: DPM lookup] dp442326,[TODO],[TODO]
dp442328,1,[TODO: DPM lookup] dp442328,[TODO],[TODO]
