template,title
K_00.01,Accompanying narrative FINDIS
K_00.02,Accompanying narrative CONDIS
K_00.03,Accompanying narrative ESGDIS
K_00.04,Accompanying narrative IRRBBDIS
K_00.05,Accompanying narrative MREL/TLACDIS
K_00.06,Accompanying narrative G-SIIs
K_01.00.a,EU CAE1 – Exposures to crypto-assets
K_01.00.b,Template EU CAE1 – Exposures to crypto-assets
K_02.00,EU CCR1 – Analysis of CCR exposure by approach
K_03.00,EU CCR3 – Standardised approach – CCR exposures by regulatory exposure class and risk weights
K_04.00.a,EU CCR4 – IRB approach – CCR exposures by exposure class and PD scale (I)
K_04.00.b,EU CCR4 – IRB approach – CCR exposures by exposure class and PD scale (II)
K_05.00.a,EU CCR5 – Composition of collateral for CCR exposures (I)
K_05.00.b,EU CCR5 – Composition of collateral for CCR exposures (II)
K_06.00,EU CCR6 – Credit derivatives exposures
K_07.00,EU CCR7 – RWEA flow statements of CCR exposures under the IMM
K_08.00,EU CCR8 – Exposures to CCPs
K_09.01,EU-SEC1 - Securitisation exposures in the non-trading book
K_09.02,EU-SEC2 - Securitisation exposures in the trading book
K_09.03,EU-SEC3 - Securitisation exposures in the non-trading book and associated regulatory capital requirements - institution acting as originator or as sponsor
K_09.04,EU-SEC4 - Securitisation exposures in the non-trading book and associated regulatory capital requirements - institution acting as investor
K_09.05,EU-SEC5 - Exposures securitised by the institution - Exposures in default and specific credit risk adjustments
K_10.00,EU MR1 - Market risk under the standardised approach
K_100.00,Section 1 - General Information
K_101.00,Section 2- total exposures
K_102.00,Section 3 - Intra-Financial System Assets
K_103.00,Section 4 - Intra-Financial System Liabilities
K_104.00,Section 5 - Securities Outstanding
K_105.00,Section 6 - Payments made in the reporting year excluding intragroup payments
K_106.00,Section 7 - Assets Under Custody
K_107.00,Section 8 - Underwritten Transactions in Debt and Equity Markets
K_108.00,Section 9 - Trading Volume
K_109.00,Section 10 - Notional Amount of Over-the-Counter OTC Derivatives
K_11.00.a,EU MR2-A - Market risk under the internal Model Approach (IMA) - RWEA
K_11.00.b,EU MR2-A - Market risk under the internal Model Approach (IMA) - Own funds requirements
K_110.00,Section 11 - Trading and Available-for-Sale Securities
K_111.00,Section 12 - Level 3 Assets
K_112.00,Section 13 - Cross-Jurisdictional Claims
K_113.00,Section 14 - Cross-Jurisdictional Liabilities
K_12.00,EU MR2-B - RWA flow statements of market risk exposures under the IMA
K_13.00,EU MR3 - IMA values for trading portfolios
K_18.01.a,EU CVA 1 – Credit valuation adjustment risk under the Reduced Basic Approach - OFR components
K_18.01.b,EU CVA 1 – Credit valuation adjustment risk under the Reduced Basic Approach - OFRs
K_18.02.a,EU CVA 2 – Credit valuation adjustment risk under the Full Basic Approach - OFRs
K_18.02.b,EU CVA 2 – Credit valuation adjustment risk under the Full Basic Approach - Hedges
K_18.03,EU CVA3 – Credit valuation adjustment risk under the Standardised Approach
K_18.04,EU CVA4 – RWEA flow statements of credit valuation adjustment risk under the Standardised Approach
K_19.01,EU OR1 -Operational risk losses
K_19.02.a,"EU OR2 - Business Indicator, components and subcomponents"
K_19.02.b,"EU OR2 - Business Indicator, components and subcomponents"
K_19.02.c,"EU OR2 - Business indicator, components and subcomponents"
K_19.03,EU OR3 - Operational risk own funds requirements and risk exposure amounts
K_20.01,EU AE1 - Encumbered and unencumbered assets
K_20.02,EU AE2 - Collateral received and own debt securities issued
K_20.03,EU AE3 - Sources   of  encumbrance
K_21.01.a,EU CR1: Performing and non-performing exposures and related provisions
K_21.01.b,EU CR1: Performing and non-performing exposures and related provisions
K_21.01.c,EU CR1: Performing and non-performing exposures and related provisions
K_21.01.d,EU CR1: Performing and non-performing exposures and related provisions
K_21.01.e,EU CR1: Performing and non-performing exposures and related provisions
K_21.01.f,EU CR1: Performing and non-performing exposures and related provisions
K_21.02,EU CR1-A: Maturity of exposures
K_22.01,EU CR2: Changes in the stock of non-performing loans and advances
K_22.02.a,EU CR2a: Changes in the stock of non-performing loans and advances and related net accumulated recoveries
K_22.02.b,EU CR2a: Changes in the stock of non-performing loans and advances and related net accumulated recoveries
K_23.00,EU CR3 –  CRM techniques overview:  Disclosure of the use of credit risk mitigation techniques
K_24.00,EU CR4 – standardised approach – Credit risk exposure and CRM effects
K_25.00,EU CR5 – standardised approach
