lei,wikidata_id,name,mitarbeiter,mitarbeiter_stand,gruendung,rechtsform,boersennotiert
0W2PZJM8XOY22M4GG883,Q1183542,DekaBank Deutsche Girozentrale,5727,2024-12-31,1918,Anstalt des öffentlichen Rechts,nein
0W5QHUNYV4W7GJO62R27,Q1641284,Hypo Tirol Bank,519,2016-12-31,1901,Aktiengesellschaft,nein
1FOLRR5RWTWWI397R131,Q10684798,Swedish Export Credit Corporation,,,1962,Aktiebolag,nein
21380057HUGFEAF25W84,Q27016811,Noba Bank Group,,,2003,Bankaktiebolag,nein
2138007F5HA5FFJROB80,Q4048312,Rietumu Bank,388,2023-01-01,1992,akciju sabiedrība,nein
2138007JGI1M5YF7FJ53,Q12313116,Q12313116,169,2022-01-01,1872,særlig finansiel virksomhed,nein
2138009Y59EAR7H1UO97,Q14239556,Citadele-Bank,1097,2023-01-01,2010,akciju sabiedrība,nein
213800DBQIB6VBNU5C64,Q747394,Alpha Bank,8487,,1879,Anonymi Etaireia,ja
213800GO21RWIB6O9Q29,Q12327047,Q12327047,372,2022-01-01,1853,særlig finansiel virksomhed,nein
213800JF3JFF6MMR2P36,Q16323595,Fynske Bank,190,2022-01-01,2000,Aktieselskab,ja
213800M7T3CYVZ3ZRT12,Q7573582,Sparebanken Vest,720,2019-01-01,1982,Sparebank,ja
213800RENLNKMWZV8767,Q12324823,Lollands Bank,119,2022-01-01,1907,Aktieselskab,ja
213800TKOS7J5UA3ZI07,Q131550121,Q131550121,,,2018,société anonyme à conseil d'administration (s.a.i.),nein
213800UYAHIRLZ4NSN67,Q12325311,Lån og Spar Bank,479,2022-01-01,1880,Aktieselskab,ja
213800X3Q9LSAKRUWY91,Q29560723,KBC Group,36030,2016-01-01,1998,Aktiengesellschaft,ja
2534005A84927EKSR789,Q12103619,Signet Bank,149,2023-01-01,1991,akciju sabiedrība,nein
254900WR3I1Z9NPC7D84,Q115167572,Q115167572,,,,limited company,nein
259400DZXF7UJKK2AY35,Q1160928,mBank,,,1986,spółka akcyjna,ja
259400LGXW3K0GDAG361,Q806653,Erste Bank Polska,,,,spółka akcyjna,ja
259400OFDZ9KPZEO8K78,Q4855947,Bank Millennium,,,1989,spółka akcyjna,ja
259400QHDOZWMJ103294,Q9148395,Alior Bank,,,2008,spółka akcyjna,ja
259400YLRTOBISHBVX41,Q1410383,ING Bank Śląski,7215,2025-12-31,1988,spółka akcyjna,ja
2W8N8UU78PMDQKZENC08,Q1343118,Intesa Sanpaolo,,,2007,società per azioni,ja
2ZCNRR8UK83OBTEK2170,Q220189,Unicredit Bank,13405,2017-12-31,1998,Gesellschaft mit beschränkter Haftung,nein
31570010000000004460,Q24282825,Raiffeisenbank,2966,2019-12-31,1993,Akciová společnost,nein
31570014BNQ1Q99CNQ35,Q65561346,PPF Financial Holdings,,,2021,Akciová společnost,nein
3157002JBFAI478MD587,Q1718069,Tatra Banka,3726,2019-01-01,1990,akciová spoločnosť,nein
3157006K4C7PJT790450,Q12725891,BANCA CENTRALA COOPERATISTA CREDITCOOP,160,2023-12-31,1851,Genossenschaftsbank,nein
315700E9POA724IWFP59,Q20120422,J&T Finance Group,3009,2023-01-01,1994,Evropská společnost,nein
315700K45LRKNGMUIW27,Q13538661,Prima Banka,,,1993,akciová spoločnosť,nein
39120001JPAYYPDRNN92,Q1202200,Deutsche Bausparkasse Badenia,,,1931,Aktiengesellschaft,nein
391200EEGLNXBBCVKC73,Q56825902,Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG,,,,Kommanditgesellschaft,nein
3DM5DPGI3W6OU6GJ4N92,Q537886,Banco Português de Investimento,,,1981,Sociedade Anónima,ja
3M5E1GQGKL17HI6CPN30,Q136672,Jyske Bank,4000,2024-09-15,1967,Aktieselskab,ja
3TK20IVIUJ8J3ZU0QE75,Q2304977,ING Bank N.V.,,,1881,Naamloze Vennootschap,nein
485100FX5Y9YLAQLNP12,Q133822054,"Revolut Holdings Europe, UAB",,,,,nein
5299000R7WZOVIFHLN21,Q131467194,BFS SozialFinanz AG,,,,Aktiengesellschaft,nein
5299001ADI8FLGT0GU28,Q1681035,Sparkasse KölnBonn,,,2005,Anstalt des öffentlichen Rechts,nein
52990026HQOTT4AJP655,Q521818,GLS Gemeinschaftsbank,514,2017-12-31,1974,eingetragene Genossenschaft,nein
5299003ATVTQVPTW4735,Q806665,Bank für Tirol und Vorarlberg,,,1904,Aktiengesellschaft,nein
5299004R4U60UMXLSE36,Q2307494,Sparkasse Karlsruhe,,,1812,Anstalt des öffentlichen Rechts,nein
52990061592SQLEJN964,Q2531746,Volksbank Mittelhessen,1400,2015-12-31,1858,eingetragene Genossenschaft,nein
5299007S3UH5RKUYDA52,Q1202059,Deutsche Apotheker- und Ärztebank,2563,2017-01-01,1902,eingetragene Genossenschaft,nein
52990089LBIKLBM8YB23,Q15133387,VR Bank Nord,310,2016-12-31,1911,eingetragene Genossenschaft,nein
5299008I0TO44SUINZ71,Q879591,Oldenburgische Landesbank,1486,2025-02-21,1868,Aktiengesellschaft,nein
52990093INYLJNWHQ228,Q18413524,Volksbank Schwarzwald Baar Hegau,453,2016-12-31,1867,eingetragene Genossenschaft,nein
52990096Q5LMCH1WU462,Q46078814,Československá obchodná banka,2563,2016-01-01,2008,akciová spoločnosť,nein
529900AVGYYBVL1VNQ03,Q57695431,Kreditbanken,,,1926,Aktieselskab,ja
529900B91AUH0YTEXN10,Q1966870,National-Bank,,,1921,Aktiengesellschaft,nein
