lei,bank_name,country,consolidation,refdate,submission_ts,im_xbrl_bestand,url
097900BEF50000000569,"Prvá stavebná sporiteľňa, a.s.",SK,IND,2025-12-31,20260504103000000,false,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/097900BEF50000000569.IND_SK_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260504103000000.zip
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,CON,2025-06-30,20260210165930718,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/0W2PZJM8XOY22M4GG883.CON_DE_PILLAR3010000_P3NONREMDISDOCS_2025-06-30_20260210165930718.zip
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,CON,2025-09-30,20260310165930718,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/0W2PZJM8XOY22M4GG883.CON_DE_PILLAR3010000_P3NONREMDISDOCS_2025-09-30_20260310165930718.zip
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,CON,2025-12-31,20260511151059001,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/0W2PZJM8XOY22M4GG883.CON_DE_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260511151059001.zip
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,CON,2026-03-31,20260527131259001,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/0W2PZJM8XOY22M4GG883.CON_DE_PILLAR3010000_P3NONREMDISDOCS_2026-03-31_20260527131259001.zip
0W5QHUNYV4W7GJO62R27,HYPO TIROL BANK AG,AT,CON,2025-12-31,20260529113001003,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/0W5QHUNYV4W7GJO62R27.CON_AT_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260529113001003.zip
0W5QHUNYV4W7GJO62R27,HYPO TIROL BANK AG,AT,CON,2025-12-31,20260529171001007,true,https://errp.eba.europa.eu/public-documents/P3REMDISDOCS/input/0W5QHUNYV4W7GJO62R27.CON_AT_PILLAR3010000_P3REMDISDOCS_2025-12-31_20260529171001007.zip
1FOLRR5RWTWWI397R131,Aktiebolaget Svensk Exportkredit,SE,IND,2025-06-30,20260327160015001,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/1FOLRR5RWTWWI397R131.IND_SE_PILLAR3010000_P3NONREMDISDOCS_2025-06-30_20260327160015001.zip
1FOLRR5RWTWWI397R131,Aktiebolaget Svensk Exportkredit,SE,IND,2025-09-30,20260327160015002,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/1FOLRR5RWTWWI397R131.IND_SE_PILLAR3010000_P3NONREMDISDOCS_2025-09-30_20260327160015002.zip
1FOLRR5RWTWWI397R131,Aktiebolaget Svensk Exportkredit,SE,IND,2025-12-31,20260415162800002,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/1FOLRR5RWTWWI397R131.IND_SE_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260415162800002.zip
1FOLRR5RWTWWI397R131,Aktiebolaget Svensk Exportkredit,SE,IND,2025-12-31,20260511211508000,true,https://errp.eba.europa.eu/public-documents/P3REMDISDOCS/input/1FOLRR5RWTWWI397R131.IND_SE_PILLAR3010000_P3REMDISDOCS_2025-12-31_20260511211508000.zip
1FOLRR5RWTWWI397R131,Aktiebolaget Svensk Exportkredit,SE,IND,2026-03-31,20260618163500002,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/1FOLRR5RWTWWI397R131.IND_SE_PILLAR3010000_P3NONREMDISDOCS_2026-03-31_20260618163500002.zip
1VUV7VQFKUOQSJ21A208,Credit agricole corporate and investment bank,FR,CON,2025-06-30,20260624092100000,false,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/1VUV7VQFKUOQSJ21A208.CON_FR_PILLAR3010000_P3NONREMDISDOCS_2025-06-30_20260624092100000.zip
1VUV7VQFKUOQSJ21A208,Credit agricole corporate and investment bank,FR,CON,2025-09-30,20260624092100000,false,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/1VUV7VQFKUOQSJ21A208.CON_FR_PILLAR3010000_P3NONREMDISDOCS_2025-09-30_20260624092100000.zip
1VUV7VQFKUOQSJ21A208,Credit agricole corporate and investment bank,FR,CON,2025-12-31,20260624092100000,false,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/1VUV7VQFKUOQSJ21A208.CON_FR_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260624092100000.zip
1VUV7VQFKUOQSJ21A208,Credit agricole corporate and investment bank,FR,CON,2026-03-31,20260624092100000,false,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/1VUV7VQFKUOQSJ21A208.CON_FR_PILLAR3010000_P3NONREMDISDOCS_2026-03-31_20260624092100000.zip
2138002PVBMEHILJ1340,Mitsubishi UFJ Investor Services and Banking (Luxembourg) S.A.,LU,IND,2025-12-31,20260612145653977,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/2138002PVBMEHILJ1340.IND_LU_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260612145653977.zip
21380033CFFM2V1ZCK65,SPARKASSE (HOLDINGS) MALTA LIMITED,MT,CON,2025-12-31,20260424130418037,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/21380033CFFM2V1ZCK65.CON_MT_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260424130418037.zip
2138003IGGAUDLPNC244,Izola Bank plc,MT,IND,2025-12-31,20260630160802003,false,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/2138003IGGAUDLPNC244.IND_MT_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260630160802003.zip
2138003Z5ZVN16GFYV70,"Banco Finantia, SA",PT,CON,2025-12-31,20260626080000000,false,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/2138003Z5ZVN16GFYV70.CON_PT_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260626080000000.zip
21380057HUGFEAF25W84,NOBA Group,SE,CON,2025-12-31,20260417083015001,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/21380057HUGFEAF25W84.CON_SE_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260417083015001.zip
2138005M92IEIQVEL297,AS Inbank,EE,CON,2025-06-30,20260218160900001,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/2138005M92IEIQVEL297.CON_EE_PILLAR3010000_P3NONREMDISDOCS_2025-06-30_20260218160900001.zip
2138005M92IEIQVEL297,AS Inbank,EE,CON,2025-12-31,20260302140900001,true,https://errp.eba.europa.eu/public-documents/P3REMDISDOCS/input/2138005M92IEIQVEL297.CON_EE_PILLAR3010000_P3REMDISDOCS_2025-12-31_20260302140900001.zip
2138005M92IEIQVEL297,AS Inbank,EE,CON,2025-12-31,20260302150500001,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/2138005M92IEIQVEL297.CON_EE_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260302150500001.zip
2138005MGIT3X9ZTMP37,Rønde Sparekasse,DK,IND,2025-12-31,20260225103000000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/2138005MGIT3X9ZTMP37.IND_DK_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260225103000000.zip
