lei,country,refdate,paket_bytes,datei,seiten,zeichen,zeichen_pro_seite,sprache,status
213800TC9PZRBHMJW403,MT,2025-12-31,2831063,December 2025 - Pillar 3 report - MDB Group Limited.pdf,129,539470,4182,,ok
259400DZXF7UJKK2AY35,PL,2026-03-31,520133,Filar_III_PL_Q12026.pdf,18,52184,2899,,ok
2G5BKIC2CB69PRJH1W31,IE,2025-12-31,110792,Barclays Bank Ireland PLC_Pillar 3_FY'2025_Remuneration.pdf,9,29377,3264,,ok
31570014BNQ1Q99CNQ35,CZ,2025-12-31,780327,PPF Financial Holdings a.s. Pillar III Disclosure Report for 2025_signed.pdf,27,89783,3325,,ok
3157002JBFAI478MD587,SK,2025-12-31,1606499,3157002JBFAI478MD587.CON_SK_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260326143850367.pdf,142,377459,2658,,ok
315700E9POA724IWFP59,CZ,2025-06-30,1878966,P3NONREMDISDOCS_250630.pdf,106,288674,2723,,ok
315700E9POA724IWFP59,CZ,2025-06-30,1878966,PZI JTFG 6_2025.pdf,1,452,452,,ok
5299000F1CGJQ8NAXQ58,MT,2025-12-31,940817,Merkanti Bank Limited - Yr 2025 Pillar 3 Report.pdf,46,148546,3229,,ok
5299001ADI8FLGT0GU28,DE,2025-12-31,229845,Vergütungsbericht 2025.pdf,21,54840,2611,,ok
529900CJAJ0HDPPKUI53,DE,2025-12-31,158347,Offenlegungsbericht_2025_Modul P3REMDISDOCS.pdf,13,23285,1791,,ok
529900D5G4V6THXC5P79,HR,2025-06-30,1803639,529900D5G4V6THXC5P79.IND_HR_PILLAR3010000_P3NONREMDISDOCS_2025-06-30_20251106152330987.pdf,51,164813,3232,,ok
529900HEKOENJHPNN480,FI,2025-12-31,75990,MuniFin_Pillar_III_Remuneration.pdf,7,26021,3717,,ok
529900JZTYE3W7WQH904,DE,2025-09-30,595207,529900JZTYE3W7WQH904.CON_DE_PILLAR3010000_P3NONREMDISDOCS_2025-09-30_20260318000000003.pdf,16,34696,2168,,ok
529900RWC8ZYB066JF16,MT,2025-09-30,529877,529900RWC8ZYB066JF16.CON_MT_PILLAR3010000_P3NONREMDISDOCS_2025-09-30_20251125103953689.pdf,16,39501,2469,,ok
529900W3MOO00A18X956,HU,2025-12-31,1494821,529900W3MOO00A18X956.CON_HU_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260415152447124.pdf,125,275314,2203,,ok
