land,lei,bank_name,kern,urteil,n_treffer,beispiel_osm,feld
Croatia,5299005UJX6K7BQKV086,OTP banka d.d.,otp,zu_kurz,0,,
Croatia,529900D5G4V6THXC5P79,Hrvatska poštanska banka d.d.,poštanska,treffer,134,Hrvatska poštanska banka,name
Croatia,529900I1UZV70CZRAU55,Raiffeisenbank Austria d.d.,raiffeisenbank,verbundmarke,,,
Croatia,549300A2F46GR0UOM390,Erste&Steiermärkische Bank d.d.,erste steiermärkische,treffer,189,Erste,name
Croatia,549300ZHFZ4CSK7VS460,Privredna Banka Zagreb d.d.,privredna zagreb,treffer,170,Privredna banka Zagreb,operator
Croatia,PRNXTNXHBI0TSY1V8P17,Zagrebačka banka d.d.,zagrebačka,treffer,194,Zagrebačka banka,name
Croatia,RG3IZJKPYQ4H6IQPIC08,Addiko Bank d.d.,addiko,treffer,43,Addiko Bank,name
Estonia,2138005M92IEIQVEL297,AS Inbank,inbank,kein_treffer,0,,
Estonia,213800RZWHE5EUX9R444,Luminor Holding AS,luminor,treffer,5,Luminor Bank,operator
Estonia,529900JG015JC10LED24,AS LHV Group,lhv,zu_kurz,0,,
Estonia,5493007SWCCN9S3J2748,Bigbank AS,bigbank,kein_treffer,0,,
Estonia,549300EHNXQVOI120S55,Coop Pank AS,coop,zu_kurz,0,,
Estonia,549300ND1MQ8SNNYMJ22,AS SEB Pank,seb,zu_kurz,0,,
Greece,213800DBQIB6VBNU5C64,Alpha Bank S.A.,alpha,treffer,664,ATM Alpha Bank,name
Greece,213800KGF4EFNUQKAT69,EUROBANK S.A.,eurobank,treffer,556,Eurobank,name
Greece,5UMCZOEYKCVFAW8ZLO05,"National Bank of Greece, S.A.",national,treffer,12,NATIONAL BANK OF GREECE,operator
Greece,M6AD1Y1KW32H8THQ6F76,Piraeus Financial Holdings,piraeus financial,treffer,165,Piraeus,name
Latvia,2138007F5HA5FFJROB80,"Akciju sabiedrība ""Rietumu Banka""",rietumu,treffer,1,Rietumu Banka,name
Latvia,2138009Y59EAR7H1UO97,"Akciju sabiedrība ""Citadele banka""",citadele,treffer,22,Citadele,name
Latvia,2534005A84927EKSR789,Signet Bank AS,signet,treffer,1,Signet,name
Latvia,549300OMTXWX1144LP69,"Akciju sabiedrība ""Reģionālā investīciju banka""",reģionālā investīciju,treffer,1,Investīciju banka,name
Latvia,549300YW95G1VBBGGV07,"AS ""SEB banka""",seb,zu_kurz,0,,
Latvia,9845006C7B5CC707X660,Swedbank Baltics AS,swedbank baltics,treffer,50,Swedbank,operator
Malta,21380033CFFM2V1ZCK65,SPARKASSE (HOLDINGS) MALTA LIMITED,sparkasse,verbundmarke,,,
Malta,213800A1O379I6DMCU10,APS BANK P.L.C.,aps,zu_kurz,0,,
Malta,213800TC9PZRBHMJW403,MDB Group Limited,mdb,zu_kurz,0,,
Malta,213800ZOI1EW481WPV90,FCM Bank Ltd,fcm,zu_kurz,0,,
Malta,5299000F1CGJQ8NAXQ58,MERKANTI BANK LTD,merkanti,kein_treffer,0,,
Malta,529900Q2C3I7VCILLG45,FIMBank plc,fimbank,kein_treffer,0,,
Malta,529900RWC8ZYB066JF16,Bank of Valletta Plc,valletta,treffer,38,Bank of Valletta,name
Malta,529900UIRB65OY6U4B21,Lombard Bank Malta plc,lombard,treffer,10,Lombard Bank,name
Malta,5493006Z4NTMNDDBGL49,ECCM Bank plc,eccm,zu_kurz,0,,
Malta,549300KOORG6SN9LMO68,IIG Bank (Malta) Ltd,iig,zu_kurz,0,,
Malta,549300TEJKOLFN65KR76,BNF Bank plc,bnf,zu_kurz,0,,
Malta,549300X34UUBDEUL1Z91,HSBC Bank Malta p.l.c.,hsbc,zu_kurz,0,,
Portugal,2138004FIUXU3B2MR537,"Caixa Económica Montepio Geral, Caixa Económica Bancária, S.A.",caixa económica montepio geral caixa económica bancária,treffer,413,Banco Montepio,name
Portugal,213800CQ92347ZCS9V73,"ATLÂNTICO EUROPA, SGPS, SA",atlântico europa,treffer,3,Atlântico Europa,operator
Portugal,213800KYUPNOQPAQL758,BANCO DE INVESTIMENTO GLOBAL S.A.,investimento global,treffer,31,Banco de Investimento Global,operator
Portugal,3DM5DPGI3W6OU6GJ4N92,BANCO BPI S.A.,bpi,zu_kurz,0,,
Portugal,5299008FEH4GQXGZNP50,"BANCO CTT, S.A.",ctt,zu_kurz,0,,
Portugal,5493009W2E2YDCXY6S81,"NOVO BANCO, S.A.",novo,zu_kurz,0,,
Portugal,549300RMML7KXP6M1Y98,BANCO BAI EUROPA S.A.,bai europa,kein_treffer,0,,
Portugal,549300URJH9VSI58CS32,"Banco Santander Totta, SA",santander totta,treffer,1138,Banco Santander (Portugal),operator
Portugal,549300V4H4USWZUCE073,"BISON BANK, SA",bison,kein_treffer,0,,
Portugal,GDI8P8WHFH4PS5YTU851,"HAITONG BANK, S.A.",haitong,kein_treffer,0,,
Portugal,JU1U6S0DG9YLT7N8ZV32,"Banco Comercial Português, SA",comercial português,treffer,392,Banco Comercial Português,operator
Portugal,TO822O0VT80V06K0FH57,"Caixa Geral de Depósitos, S.A.",caixa geral depósitos,treffer,1343,Caixa Geral de Depósitos,operator
