lei,scope,refPeriod,bank_name,template_id,cell_row,cell_col,rule,value,reference,n_population,deviation_orders,spread_widths,robust_z,severity,vergleich_refPeriod,hinweis
7LTWFZYICNSX8D621K86,CON,2025-09-30,DEUTSCHE BANK AKTIENGESELLSCHAFT,63.02.A,0270,0010,time_jump,2.68875e+09,-9.49949e-08,650,16.45,,,hoch,2025-12-31,ab|vorzeichenwechsel
7LTWFZYICNSX8D621K86,CON,2025-12-31,DEUTSCHE BANK AKTIENGESELLSCHAFT,63.02.A,0270,0010,time_jump,-9.49949e-08,2.68875e+09,650,16.45,,,hoch,2025-09-30,ab|vorzeichenwechsel
213800DBQIB6VBNU5C64,CON,2025-06-30,Alpha Bank S.A.,45.00.A,0120,0120,time_jump,-338396,-1.45519e-11,2489,16.37,,,hoch,2025-12-31,ab
213800DBQIB6VBNU5C64,CON,2025-12-31,Alpha Bank S.A.,45.00.A,0120,0120,time_jump,-1.45519e-11,-338396,2489,16.37,,,hoch,2025-06-30,ab
7LTWFZYICNSX8D621K86,CON,2025-06-30,DEUTSCHE BANK AKTIENGESELLSCHAFT,09.04,0050,0120,time_jump,9.13368e+06,4.65661e-10,4531,16.29,,,hoch,2025-12-31,ab|frequenz=uneinheitlich
7LTWFZYICNSX8D621K86,CON,2025-12-31,DEUTSCHE BANK AKTIENGESELLSCHAFT,09.04,0050,0120,time_jump,4.65661e-10,9.13368e+06,4531,16.29,,,hoch,2025-06-30,ab|frequenz=uneinheitlich
7LTWFZYICNSX8D621K86,CON,2025-06-30,DEUTSCHE BANK AKTIENGESELLSCHAFT,09.04,0050,0010,time_jump,8.19866e+07,9.31323e-09,4531,15.94,,,hoch,2025-12-31,ab|frequenz=uneinheitlich
7LTWFZYICNSX8D621K86,CON,2025-12-31,DEUTSCHE BANK AKTIENGESELLSCHAFT,09.04,0050,0010,time_jump,9.31323e-09,8.19866e+07,4531,15.94,,,hoch,2025-06-30,ab|frequenz=uneinheitlich
7LTWFZYICNSX8D621K86,CON,2025-06-30,DEUTSCHE BANK AKTIENGESELLSCHAFT,25.00,0100,0160,time_jump,1.49012e-08,6.7053e+07,4531,15.65,,,hoch,2025-12-31,auf|frequenz=halbjaehrlich
7LTWFZYICNSX8D621K86,CON,2025-12-31,DEUTSCHE BANK AKTIENGESELLSCHAFT,25.00,0100,0160,time_jump,6.7053e+07,1.49012e-08,4531,15.65,,,hoch,2025-06-30,auf|frequenz=halbjaehrlich
7LTWFZYICNSX8D621K86,CON,2025-06-30,DEUTSCHE BANK AKTIENGESELLSCHAFT,25.00,0290,0240,time_jump,4.65661e-09,5.61866e+06,4531,15.08,,,hoch,2025-12-31,auf|frequenz=halbjaehrlich
7LTWFZYICNSX8D621K86,CON,2025-12-31,DEUTSCHE BANK AKTIENGESELLSCHAFT,25.00,0290,0240,time_jump,5.61866e+06,4.65661e-09,4531,15.08,,,hoch,2025-06-30,auf|frequenz=halbjaehrlich
7LTWFZYICNSX8D621K86,CON,2025-06-30,DEUTSCHE BANK AKTIENGESELLSCHAFT,09.04,0050,0070,time_jump,1.19223e+07,1.11759e-08,4531,15.03,,,hoch,2025-12-31,ab|frequenz=uneinheitlich
7LTWFZYICNSX8D621K86,CON,2025-12-31,DEUTSCHE BANK AKTIENGESELLSCHAFT,09.04,0050,0070,time_jump,1.11759e-08,1.19223e+07,4531,15.03,,,hoch,2025-06-30,ab|frequenz=uneinheitlich
7LTWFZYICNSX8D621K86,CON,2025-06-30,DEUTSCHE BANK AKTIENGESELLSCHAFT,09.04,0050,0150,time_jump,95378.5,1.74623e-10,4531,14.74,,,hoch,2025-12-31,ab|frequenz=uneinheitlich
7LTWFZYICNSX8D621K86,CON,2025-12-31,DEUTSCHE BANK AKTIENGESELLSCHAFT,09.04,0050,0150,time_jump,1.74623e-10,95378.5,4531,14.74,,,hoch,2025-06-30,ab|frequenz=uneinheitlich
7LTWFZYICNSX8D621K86,CON,2025-06-30,DEUTSCHE BANK AKTIENGESELLSCHAFT,09.04,0050,0110,time_jump,1.19223e+06,2.32831e-09,4531,14.71,,,hoch,2025-12-31,ab|frequenz=uneinheitlich
