datapoint,factValue,qEEA
dp3291775,1,eba_qAE:qx2014
dp3291775,1,eba_qAE:qx2012
dp3291776,4,eba_qAE:qx2082
dp3291776,3,eba_qAE:qx2018
dp3291776,7,eba_qAE:qx2014
dp3291776,208,eba_qAE:qx2012
dp3291777,1,eba_qAE:qx2082
dp3291777,1,eba_qAE:qx2018
dp3291777,7,eba_qAE:qx2014
dp3291777,58,eba_qAE:qx2012
dp3291780,2,eba_qAE:qx2082
dp3291780,1,eba_qAE:qx2014
dp3291780,2,eba_qAE:qx2012
dp3291808,42,eba_qAE:qx2082
dp3291808,83,eba_qAE:qx2018
dp3291808,32,eba_qAE:qx2014
dp3291808,591,eba_qAE:qx2012
dp3291808,1,eba_qAE:qx2020
dp3291817,19,eba_qAE:qx2012
dp3291817,3,eba_qAE:qx2018
dp3291817,4,eba_qAE:qx2014
dp3291819,9,eba_qAE:qx2014
dp3291822,1,eba_qAE:qx2082
dp3291822,1,eba_qAE:qx2014
dp3291822,11,eba_qAE:qx2012
dp3291824,2,eba_qAE:qx2014
dp3291824,292,eba_qAE:qx2012
dp3291824,34,eba_qAE:qx2082
dp3291824,1,eba_qAE:qx2020
dp3291824,76,eba_qAE:qx2018
dp3291838,3,eba_qAE:qx2082
dp3291838,2,eba_qAE:qx2012
dp3291839,3,eba_qAE:qx2082
dp3291839,3,eba_qAE:qx2018
dp3291839,2,eba_qAE:qx2014
dp3291839,1,eba_qAE:qx2012
dp3291840,2,eba_qAE:qx2082
dp3291840,1,eba_qAE:qx2018
dp3291840,2,eba_qAE:qx2014
dp3291840,2,eba_qAE:qx2012
dp3291843,3,eba_qAE:qx2018
dp3291843,1,eba_qAE:qx2012
dp3291847,2,eba_qAE:qx2082
dp3291847,3,eba_qAE:qx2020
dp3291847,2,eba_qAE:qx2018
dp3291847,1,eba_qAE:qx2014
dp3291847,1,eba_qAE:qx2012
dp3291848,3,eba_qAE:qx2082
dp3291848,3,eba_qAE:qx2014
dp3291848,3,eba_qAE:qx2012
dp3291855,3,eba_qAE:qx2082
dp3291855,3,eba_qAE:qx2020
dp3291855,2,eba_qAE:qx2018
dp3291855,2,eba_qAE:qx2014
dp3291855,1,eba_qAE:qx2012
dp3292526,0.685806,eba_qAE:qx2082
dp3292526,0.570468,eba_qAE:qx2014
dp3292526,0.69259,eba_qAE:qx2012
dp3292527,0.564947,eba_qAE:qx2082
dp3292527,0.651639,eba_qAE:qx2018
dp3292527,0.534528,eba_qAE:qx2014
dp3292527,0.43517,eba_qAE:qx2012
dp3292528,0.394498,eba_qAE:qx2082
dp3292528,0.345763,eba_qAE:qx2018
dp3292528,0.313744,eba_qAE:qx2012
dp3292528,0.375778,eba_qAE:qx2014
dp3292530,0.110335,eba_qAE:qx2020
dp3292530,0.264082,eba_qAE:qx2018
dp3292530,0.914006,eba_qAE:qx2014
dp3292530,0.248792,eba_qAE:qx2012
dp3292530,0.267352,eba_qAE:qx2082
dp3292532,0.797725,eba_qAE:qx2082
dp3292532,0.930655,eba_qAE:qx2014
dp3292532,0.797725,eba_qAE:qx2012
dp3292534,2.382316,eba_qAE:qx2018
dp3292534,1.732969,eba_qAE:qx2014
dp3292534,1.98564,eba_qAE:qx2012
dp3292536,1.202192,eba_qAE:qx2014
dp3292539,0.166303,eba_qAE:qx2012
dp3292539,0.221472,eba_qAE:qx2014
dp3292539,0.267344,eba_qAE:qx2082
dp3292539,0.110335,eba_qAE:qx2020
dp3292539,0.254021,eba_qAE:qx2018
dp3292894,20603049.27,eba_qAE:qx2014
dp3292896,7.9,eba_qAE:qx2082
dp3292896,11581232.94,eba_qAE:qx2014
dp3292896,90715288.7,eba_qAE:qx2012
dp3292896,15037311.57,eba_qAE:qx2018
dp3292897,9.46,eba_qAE:qx2082
dp3292897,2450128.9,eba_qAE:qx2014
dp3292897,852117101.28,eba_qAE:qx2012
dp3292897,282092396.06,eba_qAE:qx2018
dp3292899,187333.57,eba_qAE:qx2014
dp3292899,8627710.23,eba_qAE:qx2012
dp3293106,2.34,eba_qAE:qx2012
dp3293106,2.34,eba_qAE:qx2082
dp3293106,418210.94,eba_qAE:qx2014
dp3293109,372680.18,eba_qAE:qx2018
dp3293109,3140783.31,eba_qAE:qx2014
dp3293109,14948138.79,eba_qAE:qx2012
dp3293113,7.08,eba_qAE:qx2082
dp3293113,1573906.71,eba_qAE:qx2014
dp3293113,11294331.4,eba_qAE:qx2012
dp3293114,922591.47,eba_qAE:qx2082
dp3293114,2566201.4,eba_qAE:qx2020
dp3293114,2947887143.67,eba_qAE:qx2018
dp3293114,3019651.87,eba_qAE:qx2014
