datapoint,factValue
dp3527867,207548722.98
dp3527869,10097437502.18
dp3527870,5715384015.5
dp3527871,60866467.36
dp3527872,244437828.63
dp3527873,21980448347.93
dp3527874,27964247553.78
dp3528244,11638573017.12
dp3529552,59128037.06
dp3529555,3780580784.77
dp3529556,888257690.56
dp3529557,7408201114.67
dp3529558,7967771805.35
dp3529559,8354560618.72
dp3529611,50362195.06
dp3529612,3600312766.61
dp3529613,3959707344.08
dp3529614,3759014790.89
dp3529615,905054472.2
dp3529616,7739618.42
dp3529617,236916892.71
dp3529618,48873557.18
dp3529619,227483676.5
dp3529620,9168871207.32
dp3530395,0.005963
dp3530397,0.015453
dp3530398,0.532122
dp3530420,0.203259
dp3530568,0.198572
dp3530569,0.004687
dp3530586,0.25263
dp3530592,0.011262
dp3530594,0.258593
dp3530597,0.532122
dp3530598,0.026715
