datapoint,factValue,qABI
dp3526626,0,Beteiligungen behandelt nach Art.133 Abs.3 unter Anwendung der Übergangsregeln nach Art. 495a Abs.1
dp3526626,0,Beteiligungen behandelt nach Art. 133 Abs. 3
dp3526958,10790862.45,Beteiligungen behandelt nach Art.133 Abs.3 unter Anwendung der Übergangsregeln nach Art. 495a Abs.1
dp3526958,281667888.7,Beteiligungen behandelt nach Art. 133 Abs. 3
dp3526959,10790862.45,Beteiligungen behandelt nach Art.133 Abs.3 unter Anwendung der Übergangsregeln nach Art. 495a Abs.1
dp3526959,281592888.7,Beteiligungen behandelt nach Art. 133 Abs. 3
dp3527019,75000,Beteiligungen behandelt nach Art. 133 Abs. 3
dp3529493,1,Beteiligungen behandelt nach Art.133 Abs.3 unter Anwendung der Übergangsregeln nach Art. 495a Abs.1
dp3529493,2.5,Beteiligungen behandelt nach Art. 133 Abs. 3
dp3529768,704169721.75,Beteiligungen behandelt nach Art. 133 Abs. 3
dp3529768,10790862.45,Beteiligungen behandelt nach Art.133 Abs.3 unter Anwendung der Übergangsregeln nach Art. 495a Abs.1
