datapoint,factValue
dp134665,16064153276.03
dp143076,1.731389
dp145637,27607337308.23
dp146049,20742874662.08
dp3294197,0.255897
dp3294198,0.210678
dp3294199,0.231344
dp3294908,28965357494.21
dp33411,6102372814.71
dp33413,7412158070.76
dp3529431,0.215
dp3529433,0.261
dp3529440,0.236
dp3529852,28815090686.81
dp38483,28965357494.21
dp410432,0.130655
dp410438,0.015
dp424336,0.008438
dp424337,0.01125
dp457447,0.03
dp457448,0.03
dp458571,1.305902
dp458581,40779459895.92
dp458851,53253973550.96
dp475209,0.157241
dp475210,0.1615
dp475211,0.1446
dp475212,0.1307
dp475213,0.129385
dp475214,89166982542.5
dp475215,84639738013.69
dp475216,81838966735.96
dp475217,82541000000
dp475218,82005466312.19
dp475219,16258294972.41
dp475220,15661551934.2
dp475221,15564891558.41
dp475222,15153051502.89
dp475223,6193371300.57
dp475224,6103541436.46
dp475225,5667386936.16
dp475226,5710336714.45
dp475227,6791971300.57
dp475228,6702141436.46
dp475229,6265986936.16
dp475230,6308936714.45
dp475231,7523275726
dp475232,7448398883.64
dp475233,7054236106.02
dp475234,7112717049.62
dp475450,28815090686.81
dp475451,30814453609.67
dp475452,30769686171.54
dp475453,31234369448.65
dp475458,0.215
dp475459,0.198
dp475460,0.184
dp475461,0.182822
dp475462,0.236
dp475463,0.217
dp475464,0.204
dp475465,0.201987
dp475466,0.261
dp475467,0.242
dp475468,0.229
dp475469,0.227721
dp475470,0.095
dp475471,0.095
dp475472,0.095
dp475473,0.095
dp475474,0.1306
dp475475,0.1306
dp475476,0.1308
dp475477,0.131002
dp475478,0.00844
dp475479,0.0084
dp475480,0.00844
dp475481,0.008438
dp475482,0.01125
dp475483,0.0113
dp475484,0.01125
dp475485,0.01125
dp475486,0.015
dp475487,0.015
dp475488,0.015
dp475489,0.015
dp475490,1.661973
dp475491,1.648435
dp475492,1.625793
dp475493,1.623
dp475494,4678721386.06
dp475495,4658782137.17
dp475496,4771349519.77
dp475497,4905255354.03
dp475498,4670277248.49
dp475499,26936850725.55
dp475500,25717981575.38
dp475501,25025176848.41
dp475502,24334568273.67
dp475503,20917077109.58
dp475504,20432901453.98
dp475505,20470146912.46
dp475506,19823328751.38
dp475547,0.03
dp475548,0.03
dp475549,0.03
dp475550,0.03
dp475551,0.03
dp475552,0.03
dp475553,0.03
dp475554,0.03
dp475564,1.227732
dp475565,1.179383
dp475566,1.233946
dp475567,1.218
dp475569,41859512819.25
dp475570,43167143240.23
dp475571,43099215863.71
dp475572,43714000000
dp475573,51392244299.85
dp475574,50910587110.09
dp475575,53182113779.42
dp475576,53265000000
dp475577,0.025
dp475578,0.025
dp475579,0.025
dp475580,0.025
dp475581,0.025
dp475582,0.035655
dp475583,0.0356
dp475584,0.0356
dp475585,0.0358
dp475586,0.036002
dp475587,0.007398
dp475588,0.0074
dp475589,0.0072
dp475590,0.0074
dp475591,0.007637
dp475592,0.075702
dp475593,0.08
dp475594,0.09
dp475595,0.09
dp475596,0.086445
dp475607,0.0025
dp475608,0.0025
dp475609,0.0025
dp475610,0.0025
dp475611,0.0025
dp475724,0.075151
dp475725,0.08
dp475726,0.082
dp475727,0.076
dp475728,0.077
dp84817,6700972814.71
dp85151,0.210678
dp85152,0.231344
dp85153,0.255897
dp85156,0.095
