datapoint,factValue
dp3530759,0
dp3530760,0
dp3530761,0
dp3530762,0
dp3530763,0
dp3530764,0
dp3530766,7517170454.24
dp3530767,155546839.6
dp3530768,1782410396.28
dp3530769,0
dp3530770,0
dp3530771,120760260.6
dp3530772,0
dp3530773,365651568.13
dp3530774,772234784.35
dp3530775,0
dp3530776,1564708837.83
dp3530777,9455127690.12
dp3530778,1082232020.98
dp3530779,387231113.82
dp3530780,0
dp3530781,898328812.57
dp3530782,47005109.47
dp3530783,6220476672.92
dp3530784,10455712175.05
dp3530785,238581013.71
dp3530786,12413702540.75
dp3530787,0
dp3530788,386833304.1
dp3530789,0
dp3530790,898328812.57
dp3530791,47005109.47
dp3530793,27003971136.85
dp3530794,24045396286.22
dp3530797,63393535.7
dp3530798,77788888.72
dp3530799,89160134.45
dp3530800,89160134.45
dp3530801,0
dp3530802,3592393.81
dp3530804,0
dp3530805,0
dp3530806,0
dp3530807,2854558.93
dp3530810,19785502214.99
dp3530811,63393535.7
dp3530812,3592393.81
dp3530813,0
dp3530814,0
dp3530815,0
dp3530816,6083544424.81
dp3530817,1442435066.72
dp3530818,9455127690.12
dp3530819,1082232020.98
dp3530820,382872951.64
dp3530822,0
dp3530823,0
dp3530824,13420204143.67
dp3530825,2125844473.33
dp3530826,387231113.82
dp3530827,1082232020.98
dp3530828,714960584.2
dp3530829,1564708837.83
dp3530830,2725910954.91
dp3530831,0
dp3530832,386833304.1
dp3530833,0
dp3530834,10461629293.04
dp3530835,2125844473.33
dp3530836,714960584.2
dp3530837,0
dp3530838,2245335272.02
dp3530839,155546839.6
dp3530840,8060747181.42
dp3530841,6220476672.92
dp3530842,0
dp3530843,0
dp3530844,9455127690.12
