datapoint,factValue
dp109296,-38360268.84
dp235707,228227882.56
dp32679,6209314.89
dp33334,-1401883.81
dp33339,-61108722.67
dp33341,-55097340.27
dp33342,-156540204.24
dp33411,6102372814.71
dp3525504,598600000
dp3525575,525813928.96
dp3525606,598600000
dp3525619,711185256.05
dp3525620,286334112.9
dp3525635,31943324.33
dp3526562,0.007398
dp3529844,-23961093.52
dp3529848,-664699328.42
dp3529879,0.089093
dp3529880,0.008438
dp3529883,7412158070.76
dp3529884,6700972814.71
dp3529885,598600000
dp3529886,6767072143.14
dp3529888,-233635702.17
dp3529891,252594.67
dp3529893,-94594112.9
dp3529906,598600000
dp3529907,711185256.05
dp3529908,711185256.05
dp3529911,263137337.28
dp3530359,0.025
dp3530602,0.000757
dp3530603,0.0025
dp38483,28965357494.21
dp454688,0.16
dp70027,64461143.13
dp76880,54528294.67
dp85151,0.210678
dp85152,0.231344
dp85153,0.255897
