datapoint,factValue,qADP
dp3525510,23805828989.25,Forderungen an Kunden
dp3525510,32596333611.65,Forderungen an Kreditinstitute
dp3525510,22038350564.2,Zum Fair Value bewertete Finanzaktiva
dp3525510,14929816715.93,Finanzanlagen netto
dp3525510,917123848.24,Sonstige Aktiva
dp3525510,428399539.02,Ertragsteueransprüche
dp3525510,426988083.21,Sachanlagen
dp3525510,13943547.43,Davon: Sonstige immaterielle Vermögenswerte
dp3525510,236586089.83,Positive Marktwerte aus derivativen Sicherungsinstrumenten (Hedge)
dp3525510,155883594.83,Davon: Goodwill
dp3525510,313407544.41,Immaterielle Vermögenswerte
dp3525510,387143449.51,Barreserve
dp3525514,155883594.83,Davon: Goodwill
dp3525514,12937047.43,Davon: Sonstige immaterielle Vermögenswerte
dp3525514,429251338.82,Ertragsteueransprüche
dp3525514,919217064.05,Sonstige Aktiva
dp3525514,14931910245.02,Finanzanlagen netto
dp3525514,32599396820.28,Forderungen an Kreditinstitute
dp3525514,236586089.83,Positive Marktwerte aus derivativen Sicherungsinstrumenten (Hedge)
dp3525514,23801908360.74,Forderungen an Kunden
dp3525514,387143449.51,Barreserve
dp3525514,312408615.41,Immaterielle Vermögenswerte
dp3525514,22017618529.97,Zum Fair Value bewertete Finanzaktiva
dp3525514,427577065.74,Sachanlagen
dp3530643,Nr. 8,Davon: Goodwill
dp3530643,"Nr. 8, 10",Ertragsteueransprüche
