datapoint,factValue,qADQ
dp3525623,350766824.67,Davon: Konzern-Bilanzgewinn
dp3525623,45018900.41,Davon: Neubewertungsrücklage
dp3525623,-94594112.9,Davon: Zurückerworbene eigene Anteile
dp3525623,598600000,Davon: Zusätzliche Eigenkapitalbestandteile (Additional Tier 1)
dp3525623,7635796155.85,Eigenkapital
dp3525623,26472450567.55,Zum Fair Value bewertete Finanzpassiva
dp3525623,15541855087.69,Verbriefte Verbindlichkeiten
dp3525623,987861393.04,Nachrangkapital
dp3525623,0,Atypisch stille Einlage
dp3525623,239479816.06,Davon: Kapitalrücklage
dp3525623,34180107359.6,Verbindlichkeiten gegenüber Kunden
dp3525623,67819947.6,Ertragsteuerverpflichtungen
dp3525623,9852155307.76,Verbindlichkeiten gegenüber Kreditinstituten
dp3525623,1044161726.18,Sonstige Passiva
dp3525623,221566171.7,Rückstellungen
dp3525623,59243862.4,Negative Marktwerte aus derivativen Sicherungsinstrumenten
dp3525623,6210190614.71,Davon: Gewinnrücklage
dp3525623,286334112.9,Davon: Eingezahltes Kapital
dp3525627,221552335.63,Rückstellungen
dp3525627,26479598672.05,Zum Fair Value bewertete Finanzpassiva
dp3525627,987861393.04,Nachrangkapital
dp3525627,15541855087.69,Verbriefte Verbindlichkeiten
dp3525627,67639861.71,Ertragsteuerverpflichtungen
dp3525627,34188814971.34,Verbindlichkeiten gegenüber Kunden
dp3525627,6209051515.54,Davon: Gewinnrücklage
dp3525627,7639316492.96,Eigenkapital
dp3525627,9852155307.76,Verbindlichkeiten gegenüber Kreditinstituten
dp3525627,286334112.9,Davon: Eingezahltes Kapital
dp3525627,598600000,Davon: Zusätzliche Eigenkapitalbestandteile (Additional Tier 1)
dp3525627,1041940450.67,Sonstige Passiva
dp3525627,0,Atypisch stille Einlage
dp3525627,-94594112.9,Davon: Zurückerworbene eigene Anteile
dp3525627,43798570.56,Davon: Neubewertungsrücklage
dp3525627,356646590.8,Davon: Konzern-Bilanzgewinn
dp3525627,59243862.4,Negative Marktwerte aus derivativen Sicherungsinstrumenten
dp3525627,239479816.06,Davon: Kapitalrücklage
dp3530644,Nr. 46,Nachrangkapital
dp3530644,"Nr. 30, 31",Davon: Zusätzliche Eigenkapitalbestandteile (Additional Tier 1)
dp3530644,Nr. 16,Davon: Zurückerworbene eigene Anteile
dp3530644,Nr. 3,Davon: Neubewertungsrücklage
dp3530644,Nr. 1,Davon: Kapitalrücklage
dp3530644,Nr. 2,Davon: Gewinnrücklage
dp3530644,Nr. 1,Davon: Eingezahltes Kapital
