datapoint,factValue,RIO
dp148983,1688919250.04,eba_GA:NL
dp148983,991946358.7,eba_GA:LU
dp148983,216993405.08,eba_GA:JP
dp148983,1940794328.65,eba_GA:x28
dp148983,501574716.82,eba_GA:IE
dp148983,4140095500.61,eba_GA:US
dp148983,76110090.67,eba_GA:CZ
dp148983,42146943.04,eba_GA:HU
dp148983,521023306.24,eba_GA:SE
dp148983,1141361672.03,eba_GA:CA
dp148983,55293246.84,eba_GA:HK
dp148983,345861680.26,eba_GA:NO
dp148983,98493859.01,eba_GA:BE
dp148983,3067309850.25,eba_GA:GB
dp148983,18111134.52,eba_GA:AU
dp148983,2343981148.61,eba_GA:FR
dp148983,97366880.63,eba_GA:DK
dp148983,7970333987.76,eba_GA:DE
dp148983,25257717359.76,eba_GA:x1
dp149275,601028.16,eba_GA:RO
dp149275,233721.01,eba_GA:EE
dp149275,39712324.78,eba_GA:NO
dp149275,954367890.11,eba_GA:x28
dp149275,5720855691.24,eba_GA:x1
dp149275,148914398.09,eba_GA:NL
dp149275,78933596.56,eba_GA:US
dp149275,560.3,eba_GA:LV
dp149275,194927.32,eba_GA:SK
dp149275,302267.32,eba_GA:HU
dp149275,820058810.3,eba_GA:LU
dp149275,186527.6,eba_GA:SI
dp149275,283747.29,eba_GA:HR
dp149275,87537.83,eba_GA:LT
dp149275,11795565.97,eba_GA:SE
dp149275,46549679.76,eba_GA:HK
dp149275,16593.78,eba_GA:KR
dp149275,120688467.87,eba_GA:GB
dp149275,15905421.68,eba_GA:JP
dp149275,686952.7,eba_GA:CL
dp149275,5993.74,eba_GA:IS
dp149275,102292208.28,eba_GA:CA
dp149275,49771524.93,eba_GA:IE
dp149275,338482.47,eba_GA:DK
dp149275,787709.23,eba_GA:CZ
dp149275,104174.03,eba_GA:CY
dp149275,286396907.51,eba_GA:FR
dp149275,3.34,eba_GA:AM
dp149275,3034824932.86,eba_GA:DE
dp149275,899274.61,eba_GA:AU
dp149275,5913728.22,eba_GA:BE
dp149275,733.58,eba_GA:BG
