datapoint,factValue
dp3525231,4678721386.06
dp3525232,1710770133.28
dp3525233,4905255354.03
dp3525234,1571777107.24
dp3525236,1427555825.08
dp3525238,0
dp3525239,0
dp3525240,4905255354.04
dp3525241,4658782137.17
dp3525242,0
dp3525243,0
dp3525244,0
dp3525245,1556008262.1
dp3525250,1682614752.43
dp3525251,1787785432.59
dp3525252,1619928108.65
dp3525256,0
dp3525257,0
dp3525258,0
dp3525284,4771349519.77
dp3525285,4658782137.17
dp3525286,1510256108.89
dp3525287,0
dp3525288,0
dp3525289,4678721386.06
dp3525290,4771349519.77
dp3525291,0
dp3525292,1374926124.11
dp3525293,1713550138.14
dp3525294,1465911275.85
dp3525302,1593025128.68
dp3525316,0
dp3525317,0
dp3525318,0
dp3525319,0
dp3525320,0
dp3525326,27199388384.97
dp3525327,27369852011.27
dp3525328,23878647433.87
dp3525329,26753340924.5
dp3525330,23258819970.26
dp3525331,26737875024.61
dp3525332,23459730007.56
dp3525333,0
dp3525334,0
dp3525335,0
dp3525336,8323563553.64
dp3525337,8165105395.33
dp3525338,0
dp3525339,0
dp3525340,1489835744.47
dp3525341,1864934404.77
dp3525342,1700642218.06
dp3525343,1589629221.88
dp3525344,1626270172.63
dp3525345,24110513598.01
dp3525346,0
dp3525347,7688030154.11
dp3525348,7879886447.35
dp3525349,0
dp3525350,0
dp3525351,1599039042.49
dp3525352,1793878736.18
dp3525353,1688515795.17
