datapoint,factValue
dp3525202,3855015931.49
dp3525203,12063948.63
dp3525204,0
dp3525205,0
dp3525206,3886772961
dp3525207,23308832.69
dp3525208,88193949.68
dp3525209,0
dp3525212,7318045612.75
dp3525213,4105380842.94
dp3525214,4386413447
dp3525215,7195467561.59
dp3525217,2373658789.79
dp3525218,258898279.09
dp3525219,182979699.39
dp3525220,2902238.82
dp3525221,6597134547.48
dp3525222,7617102163.21
dp3525224,2521080295.93
dp3525225,2623509141.4
dp3525226,2354721709.69
dp3525227,0
dp3525228,0
dp3525229,12385828.55
dp3525357,2304947627.42
dp3525358,2021325961.02
dp3525383,5185731440.66
dp3525439,2027864327.66
dp3525440,4994395435.58
dp3525455,4864319028.6
dp3525456,5134677593.49
dp3525461,2153446205.81
