lei,consolidation,refdate,status,grund
097900BEF50000000569,IND,2025-12-31,nur_pdf,"veröffentlicht nur DISDOCS (PDF), kein XBRL-CSV"
0W2PZJM8XOY22M4GG883,CON,2025-06-30,geladen,im Parquet
0W2PZJM8XOY22M4GG883,CON,2025-09-30,geladen,im Parquet
0W2PZJM8XOY22M4GG883,CON,2025-12-31,geladen,im Parquet
0W2PZJM8XOY22M4GG883,CON,2026-03-31,geladen,im Parquet
0W5QHUNYV4W7GJO62R27,CON,2025-12-31,geladen,im Parquet
1FOLRR5RWTWWI397R131,IND,2025-06-30,geladen,im Parquet
1FOLRR5RWTWWI397R131,IND,2025-09-30,geladen,im Parquet
1FOLRR5RWTWWI397R131,IND,2025-12-31,geladen,im Parquet
1FOLRR5RWTWWI397R131,IND,2026-03-31,geladen,im Parquet
1VUV7VQFKUOQSJ21A208,CON,2025-06-30,nur_pdf,"veröffentlicht nur DISDOCS (PDF), kein XBRL-CSV"
1VUV7VQFKUOQSJ21A208,CON,2025-09-30,nur_pdf,"veröffentlicht nur DISDOCS (PDF), kein XBRL-CSV"
1VUV7VQFKUOQSJ21A208,CON,2025-12-31,nur_pdf,"veröffentlicht nur DISDOCS (PDF), kein XBRL-CSV"
1VUV7VQFKUOQSJ21A208,CON,2026-03-31,nur_pdf,"veröffentlicht nur DISDOCS (PDF), kein XBRL-CSV"
2138002PVBMEHILJ1340,IND,2025-12-31,geladen,im Parquet
21380033CFFM2V1ZCK65,CON,2025-12-31,geladen,im Parquet
2138003IGGAUDLPNC244,IND,2025-12-31,nur_pdf,"veröffentlicht nur DISDOCS (PDF), kein XBRL-CSV"
2138003Z5ZVN16GFYV70,CON,2025-12-31,nur_pdf,"veröffentlicht nur DISDOCS (PDF), kein XBRL-CSV"
2138004FIUXU3B2MR537,CON,2025-06-30,geladen,im Parquet
2138004FIUXU3B2MR537,CON,2025-09-30,geladen,im Parquet
2138004FIUXU3B2MR537,CON,2026-03-31,geladen,im Parquet
21380057HUGFEAF25W84,CON,2025-06-30,geladen,im Parquet
21380057HUGFEAF25W84,CON,2025-12-31,geladen,im Parquet
2138005M92IEIQVEL297,CON,2025-06-30,geladen,im Parquet
2138005M92IEIQVEL297,CON,2025-12-31,geladen,im Parquet
2138005MGIT3X9ZTMP37,IND,2025-12-31,geladen,im Parquet
2138007F5HA5FFJROB80,CON,2025-12-31,geladen,im Parquet
2138007JGI1M5YF7FJ53,CON,2025-12-31,geladen,im Parquet
2138007WKF5CM2EUM824,IND,2025-12-31,geladen,im Parquet
213800984CWACNBY8F31,IND,2025-12-31,geladen,im Parquet
2138009Y59EAR7H1UO97,CON,2025-06-30,geladen,im Parquet
2138009Y59EAR7H1UO97,CON,2025-09-30,geladen,im Parquet
2138009Y59EAR7H1UO97,CON,2025-12-31,geladen,im Parquet
2138009Y59EAR7H1UO97,CON,2026-03-31,geladen,im Parquet
213800A1O379I6DMCU10,IND,2025-06-30,geladen,im Parquet
213800A1O379I6DMCU10,IND,2025-09-30,geladen,im Parquet
213800A1O379I6DMCU10,IND,2025-12-31,geladen,im Parquet
213800A1O379I6DMCU10,IND,2026-03-31,geladen,im Parquet
213800C78WI8VFJCYR09,IND,2025-12-31,geladen,im Parquet
213800CBW4NPFP73ZK64,CON,2025-12-31,geladen,im Parquet
213800CQ92347ZCS9V73,CON,2025-12-31,geladen,im Parquet
213800DBQIB6VBNU5C64,CON,2025-06-30,geladen,im Parquet
213800DBQIB6VBNU5C64,CON,2025-09-30,geladen,im Parquet
213800DBQIB6VBNU5C64,CON,2025-12-31,geladen,im Parquet
213800GO21RWIB6O9Q29,CON,2025-12-31,geladen,im Parquet
213800HDJ876ACJXXD05,CON,2025-06-30,geladen,im Parquet
213800HDJ876ACJXXD05,CON,2025-09-30,geladen,im Parquet
213800JF3JFF6MMR2P36,CON,2025-12-31,geladen,im Parquet
213800KGF4EFNUQKAT69,CON,2025-12-31,geladen,im Parquet
213800KOJ5JSZ6ID2R91,IND,2025-12-31,geladen,im Parquet
213800KYUPNOQPAQL758,CON,2025-12-31,geladen,im Parquet
213800M7T3CYVZ3ZRT12,CON,2025-06-30,geladen,im Parquet
213800M7T3CYVZ3ZRT12,CON,2025-09-30,geladen,im Parquet
213800M7T3CYVZ3ZRT12,CON,2025-12-31,geladen,im Parquet
213800M7T3CYVZ3ZRT12,CON,2026-03-31,geladen,im Parquet
213800MLL4APN9UP1J53,IND,2025-12-31,geladen,im Parquet
213800P1P13ABO5R9V78,IND,2025-12-31,geladen,im Parquet
213800RENLNKMWZV8767,CON,2025-12-31,geladen,im Parquet
213800RZWHE5EUX9R444,CON,2025-12-31,geladen,im Parquet
213800TC9PZRBHMJW403,CON,2025-06-30,geladen,im Parquet
213800TC9PZRBHMJW403,CON,2025-09-30,geladen,im Parquet
213800TC9PZRBHMJW403,CON,2025-12-31,geladen,im Parquet
213800TKOS7J5UA3ZI07,IND,2025-12-31,geladen,im Parquet
