refPeriod,kind_lei,kind_name,mutter_lei,mutter_name,beziehung,kind_exposure_eur,mutter_exposure_eur,quote,kind_laender,mutter_laender,mutter_x28,fehlende_laender,urteil,grund
2025-06-30,529900JZXXU699FCKK89,Bausparkasse Schwäbisch Hall Aktiengesellschaft - Bausparkasse der Volksbanken und Raiffeisenbanken,529900HNOAA1KXQJUQ27,"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main",direkt|oberste,71831311201.25,280102634988.58,0.2564,61,1,0.0000,Argentina|Armenia|Australia|Austria|Barbados|Belgium|Bosnia and Herzegovina|Bulgaria,laender_fehlen,60 von 61 Ländern der Tochter fehlen im Gruppenprofil
2025-06-30,529900K16YGKC8BES892,Deutsche Kreditbank Aktiengesellschaft,VDYMYTQGZZ6DU0912C88,Bayerische Landesbank,direkt|oberste,96962248801.70,166101216037.84,0.5838,169,27,0.0895,Albania|Algeria|Andorra|Angola|Antigua and Barbuda|Argentina|Aruba|Austria,laender_fehlen,142 von 169 Ländern der Tochter fehlen im Gruppenprofil
2025-06-30,549300TJREQ7GHIXWR36,Swedbank Hypotek AB,M312WZV08Y7LYUC71685,Swedbank - Grupp,direkt|oberste,100152113830.79,183729847820.00,0.5451,10,10,0.0060,China|Germany|Ireland|Netherlands|Portugal|United Kingdom,laender_fehlen,6 von 10 Ländern der Tochter fehlen im Gruppenprofil
2025-06-30,I6SS27Q1Q3385V753S50,Raiffeisenlandesbank Oberösterreich Aktiengesellschaft,529900XSTAE561178282,Raiffeisenbankengruppe OÖ Verbund eGen,direkt|oberste,31785663986.00,33540699359.11,0.9477,73,78,0.0000,,stimmig,
2025-12-31,529900JZXXU699FCKK89,Bausparkasse Schwäbisch Hall Aktiengesellschaft - Bausparkasse der Volksbanken und Raiffeisenbanken,529900HNOAA1KXQJUQ27,"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main",direkt|oberste,71044642578.84,347351202032.62,0.2045,64,128,0.0021,,stimmig,
2025-12-31,529900K16YGKC8BES892,Deutsche Kreditbank Aktiengesellschaft,VDYMYTQGZZ6DU0912C88,Bayerische Landesbank,direkt|oberste,101235580999.69,172166073868.34,0.5880,169,30,0.0842,Albania|Algeria|Andorra|Angola|Antigua and Barbuda|Argentina|Aruba|Austria,laender_fehlen,139 von 169 Ländern der Tochter fehlen im Gruppenprofil
2025-12-31,529900SS7ZWCX82U3W60,DEUTSCHE BANK S.P.A.,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,direkt|oberste,24796969064.00,742653113143.26,0.0334,79,61,0.0466,Albania|Algeria|Angola|Azerbaijan|Bahrain|Bangladesh|Bosnia and Herzegovina|Cameroon,laender_fehlen,32 von 79 Ländern der Tochter fehlen im Gruppenprofil
2025-12-31,549300O2UN9JLME31F08,UniCredit Banka Slovenija d.d.,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI",direkt|oberste,2271456.00,538763722845.00,0.0000,34,106,0.0060,Cabo Verde|Dominican Republic,stimmig,
2025-12-31,549300SBPFE9JX7N8J82,AB SEB bankas,F3JS33DEI6XQ4ZBPTN86,Skandinaviska Enskilda Banken - gruppen,direkt|oberste,9340370794.72,204622082236.21,0.0456,10,150,0.0000,,stimmig,
2025-12-31,549300TJREQ7GHIXWR36,Swedbank Hypotek AB,M312WZV08Y7LYUC71685,Swedbank - Grupp,direkt|oberste,103465470350.00,198471636890.00,0.5213,10,10,0.0069,China|Germany|Ireland|Netherlands|Portugal|United Arab Emirates|United Kingdom,laender_fehlen,7 von 10 Ländern der Tochter fehlen im Gruppenprofil
2025-12-31,549300UOX05QGUJJ5707,Stadshypotek AB,NHBDILHZTYCNBV5UYZ31,Svenska Handelsbanken - gruppen,direkt|oberste,144202393781.51,219640091407.06,0.6565,76,126,0.0000,,stimmig,
2025-12-31,549300XGJX6FOWLOI640,FIDEURAM - INTESA SANPAOLO PRIVATE BANKING S.P.A.,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,direkt|oberste,9100265567.00,503746000000.00,0.0181,98,113,0.0000,"Afghanistan|Andorra|Bolivia, Plurinational State of|Cabo Verde|Costa Rica|Guatemala|Guinea|Haiti",stimmig,
2025-12-31,GTQYZJON3I7SXRNJTT73,BSK 1818 AG,391200EEGLNXBBCVKC73,Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG,direkt|oberste,37634574331.19,37641128216.83,0.9998,157,157,0.0000,,stimmig,
2025-12-31,I6SS27Q1Q3385V753S50,Raiffeisenlandesbank Oberösterreich Aktiengesellschaft,529900XSTAE561178282,Raiffeisenbankengruppe OÖ Verbund eGen,direkt|oberste,33107432341.56,34960720918.57,0.9470,76,79,0.0000,,stimmig,
2025-12-31,PSNL19R2RXX5U3QWHI44,MEDIOBANCA - BANCA DI CREDITO FINANZIARIO S.P.A.,J4CP7MHCXR8DAQMKIL78,Banca Monte dei Paschi di Siena S.p.A.,direkt|oberste,33194790630.00,153128718108.00,0.2168,43,37,0.0370,Austria|Canada|Cayman Islands|China|Ethiopia|Finland|Mexico|Monaco,stimmig,
2025-12-31,RG3IZJKPYQ4H6IQPIC08,Addiko Bank d.d.,529900UKZBMDBDZIXD62,Addiko Bank AG,direkt|oberste,1368637492.25,4296.63,,69,23,0.0000,,nicht_pruefbar,Mutter: skalenvorbehalt: skala
