refPeriod,kopf_a,name_a,heimat_a,kopf_b,name_b,heimat_b,ueberlappung,ueberlappung_spezifisch,spezifisch_moeglich,spezifisch_ausgeschoepft,n_gemeinsam,top_gemeinsam,grenzueberschreitend
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,1FOLRR5RWTWWI397R131,Aktiebolaget Svensk Exportkredit,Sweden,0.5651,0.0000,0.0000,0.0000,19,France|United Kingdom|United States,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,213800A1O379I6DMCU10,APS BANK P.L.C.,Malta,0.4871,0.0000,0.0000,,15,France|United Kingdom|Netherlands,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,213800DBQIB6VBNU5C64,Alpha Bank S.A.,Greece,0.3316,0.0000,0.0000,,6,United Kingdom|Netherlands|France,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,213800LBQA1Y9L22JB70,Barclays Bank Ireland plc,Ireland,0.6024,0.0000,0.0000,0.0000,23,France|United States|Luxembourg,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,254900RNFMDM0P11YR84,Atlantic Lux HoldCo S.à r.l.,Luxembourg,0.6136,0.0000,0.0000,0.0000,13,United States|United Kingdom|France,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,Italy,0.3681,0.0000,0.0000,1.0000,29,United States|France|Luxembourg,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,3H0Q3U74FVFED2SHZT16,MBH bankcsoport,Hungary,0.3725,0.0000,0.0000,0.0000,24,United States|France|Netherlands,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,5299003ONUYCE70HZ185,Banque Internationale à Luxembourg,Luxembourg,0.3800,0.0000,0.0000,0.0000,26,France|Netherlands|United States,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,5299007S3UH5RKUYDA52,DEUTSCHE APOTHEKER- UND ÄRZTEBANK EG,Germany,0.5230,0.0000,0.0000,0.0000,24,France|Netherlands|Luxembourg,nein
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,529900HNOAA1KXQJUQ27,Bausparkasse Schwäbisch Hall Aktiengesellschaft - Bausparkasse der Volksbanken und Raiffeisenbanken,Germany,0.6422,0.0000,0.0000,1.0000,24,France|Netherlands|United Kingdom,nein
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,529900JZTYE3W7WQH904,HASPA Finanzholding,Germany,0.6962,0.0000,0.0000,,24,France|United States|Netherlands,nein
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,529900RWC8ZYB066JF16,Bank of Valletta Plc,Malta,0.3832,0.0000,0.0000,1.0000,23,United Kingdom|France|Netherlands,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,549300DYPOFMXOR7XM56,Crelan,Belgium,0.4531,0.0000,0.0000,0.0000,26,France|Netherlands|Luxembourg,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,549300GKFG0RYRRQ1414,DNB BANK ASA,Norway,0.4526,0.0000,0.0000,0.0000,23,United States|United Kingdom|Luxembourg,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,549300IQZVZ949N37S44,Euroclear Holding,Belgium,0.4672,0.0000,0.0000,0.0000,17,United Kingdom|France|United States,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,549300L7YCATGO57ZE10,FINECOBANK BANCA FINECO S.P.A. (IN BREVE FINECOBANK S.P.A. OVVERO BANCA FINECO S.P.A. OVVERO FINECO BANCA S.P.A.),Italy,0.6711,0.0000,0.0000,0.0000,27,France|United States|Netherlands,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,549300NYKK9MWM7GGW15,ING Groep N.V.,Netherlands,0.3059,0.0000,0.0000,1.0000,28,United States|Luxembourg|France,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,635400AKJBGNS5WNQL34,AIB Group plc,Ireland,0.5298,0.0000,0.0000,0.0000,26,United States|United Kingdom|France,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,6SHGI4ZSSLCXXQSBB395,Citibank Europe plc,Ireland,0.4620,0.0000,0.0000,1.0000,28,France|Netherlands|United Kingdom,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,724500A1FNICHSDF2I11,ASN Bank N.V.,Netherlands,0.4565,0.0000,0.0000,,8,France|United Kingdom|Luxembourg,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,724500JIWG886A9RRT57,RBS Holdings N.V.,Netherlands,0.4256,0.0000,0.0000,,10,France|United States|United Kingdom,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,7437003B5WFBOIEFY714,OP Osuuskunta,Finland,0.3006,0.0000,0.0000,,15,France|Netherlands|Norway,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,7CUNS533WID6K7DGFI87,"CaixaBank, S.A.",Spain,0.3480,0.0000,0.0000,1.0000,29,United Kingdom|France|United States,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,Germany,0.4450,0.0000,0.0000,1.0000,29,United States|Luxembourg|United Kingdom,nein
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,815600AD83B2B6317788,CREDITO EMILIANO HOLDING SOCIETA' PER AZIONI,Italy,0.7255,0.0000,0.0000,0.0000,17,France|United States|Netherlands,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,815600E4E6DCD2D25E30,BANCO BPM SOCIETA' PER AZIONI,Italy,0.6589,0.0000,0.0000,1.0000,26,France|United Kingdom|Netherlands,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,95980020140005881190,Banco de Crédito Social Cooperativo,Spain,0.5106,0.0000,0.0000,,23,United Kingdom|France|Netherlands,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,9695000CG7B84NLR5984,Caisse fédérale de crédit mutuel,France,0.3772,0.0000,0.0000,,24,United Kingdom|Luxembourg|Netherlands,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,9695005MSX1OYEMGDF46,Natixis,France,0.3698,0.0000,0.0000,1.0000,28,United States|Luxembourg|United Kingdom,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,969500TJ5KRTCJQWXH05,CRÉDIT AGRICOLE AUTO BANK S.P.A.,Italy,0.4380,0.0000,0.0000,0.0000,16,United Kingdom|France|Netherlands,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,A5GWLFH3KM7YV2SFQL84,Belfius Bank,Belgium,0.7109,0.0000,0.0000,1.0000,27,France|United Kingdom|Netherlands,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,BFXS5XCH7N0Y05NIXW11,ABN AMRO Bank N.V.,Netherlands,0.6237,0.0000,0.0000,,25,France|United Kingdom|Luxembourg,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,DIZES5CFO5K3I5R58746,Landesbank Hessen-Thüringen Girozentrale,Germany,0.6924,0.0000,0.0000,1.0000,29,United States|France|United Kingdom,nein
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,DZZ47B9A52ZJ6LT6VV95,Deutsche Pfandbriefbank AG,Germany,0.6375,0.0000,0.0000,0.0000,13,France|United States|United Kingdom,nein
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,FR9695005MSX1OYEMGDF,Groupe BPCE,France,0.3680,0.0000,0.0000,1.0000,28,United States|Luxembourg|United Kingdom,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,J48C8PCSJVUBR8KCW529,BANCA POPOLARE DI SONDRIO SOCIETA' PER AZIONI,Italy,0.6089,0.0000,0.0000,1.0000,25,France|United Kingdom|Luxembourg,ja
2025-06-30,0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,J4CP7MHCXR8DAQMKIL78,MEDIOBANCA - BANCA DI CREDITO FINANZIARIO S.P.A.,Italy,0.6035,0.0000,0.0000,1.0000,29,United Kingdom|France|United States,ja
