lei,bank_name,country,scope,modul,refPeriod,fassung,ts_alt,ts_neu,abstand_tage,latenzklasse,art,kennzahl,zeile,periode,wert_alt,wert_neu,delta_pp,urteil
2138007F5HA5FFJROB80,"Akciju sabiedrība ""Rietumu Banka""",Latvia,CON,020000,2025-12-31,1,20260522170313364,20260527125254835,4.8262,unter_7t,wertkorrektur,CET1 nach SREP-Anforderung,0200,T-1,,0.110103,,neu_gemeldet
2138007F5HA5FFJROB80,"Akciju sabiedrība ""Rietumu Banka""",Latvia,CON,020000,2025-12-31,1,20260522170313364,20260527125254835,4.8262,unter_7t,wertkorrektur,CET1 nach SREP-Anforderung,0200,T-3,,0.148612,,neu_gemeldet
2138007F5HA5FFJROB80,"Akciju sabiedrība ""Rietumu Banka""",Latvia,CON,020000,2025-12-31,1,20260522170313364,20260527125254835,4.8262,unter_7t,wertkorrektur,CET1-Quote,0050,T-1,,0.216103,,neu_gemeldet
2138007F5HA5FFJROB80,"Akciju sabiedrība ""Rietumu Banka""",Latvia,CON,020000,2025-12-31,1,20260522170313364,20260527125254835,4.8262,unter_7t,wertkorrektur,CET1-Quote,0050,T-3,,0.254612,,neu_gemeldet
2138007F5HA5FFJROB80,"Akciju sabiedrība ""Rietumu Banka""",Latvia,CON,020000,2025-12-31,1,20260522170313364,20260527125254835,4.8262,unter_7t,wertkorrektur,Gesamtkapitalquote,0070,T-1,,0.222757,,neu_gemeldet
2138007F5HA5FFJROB80,"Akciju sabiedrība ""Rietumu Banka""",Latvia,CON,020000,2025-12-31,1,20260522170313364,20260527125254835,4.8262,unter_7t,wertkorrektur,Gesamtkapitalquote,0070,T-3,,0.263916,,neu_gemeldet
2138007F5HA5FFJROB80,"Akciju sabiedrība ""Rietumu Banka""",Latvia,CON,020000,2025-12-31,1,20260522170313364,20260527125254835,4.8262,unter_7t,wertkorrektur,LCR,0320,T-1,,2.768228,,neu_gemeldet
2138007F5HA5FFJROB80,"Akciju sabiedrība ""Rietumu Banka""",Latvia,CON,020000,2025-12-31,1,20260522170313364,20260527125254835,4.8262,unter_7t,wertkorrektur,LCR,0320,T-2,2.8752,2.875177,-0.0023,unveraendert
2138007F5HA5FFJROB80,"Akciju sabiedrība ""Rietumu Banka""",Latvia,CON,020000,2025-12-31,1,20260522170313364,20260527125254835,4.8262,unter_7t,wertkorrektur,LCR,0320,T-3,,2.956535,,neu_gemeldet
2138007F5HA5FFJROB80,"Akciju sabiedrība ""Rietumu Banka""",Latvia,CON,020000,2025-12-31,1,20260522170313364,20260527125254835,4.8262,unter_7t,wertkorrektur,NSFR,0350,T-1,,1.198525,,neu_gemeldet
2138007F5HA5FFJROB80,"Akciju sabiedrība ""Rietumu Banka""",Latvia,CON,020000,2025-12-31,1,20260522170313364,20260527125254835,4.8262,unter_7t,wertkorrektur,NSFR,0350,T-2,1.1982,1.19817,-0.003,unveraendert
2138007F5HA5FFJROB80,"Akciju sabiedrība ""Rietumu Banka""",Latvia,CON,020000,2025-12-31,1,20260522170313364,20260527125254835,4.8262,unter_7t,wertkorrektur,NSFR,0350,T-3,,1.208075,,neu_gemeldet
2138007F5HA5FFJROB80,"Akciju sabiedrība ""Rietumu Banka""",Latvia,CON,020000,2025-12-31,1,20260522170313364,20260527125254835,4.8262,unter_7t,wertkorrektur,NSFR,0350,T-4,1.2269,1.226947,0.0047,unveraendert
2138007F5HA5FFJROB80,"Akciju sabiedrība ""Rietumu Banka""",Latvia,CON,020000,2025-12-31,1,20260522170313364,20260527125254835,4.8262,unter_7t,wertkorrektur,Tier-1-Quote,0060,T-1,,0.216103,,neu_gemeldet
2138007F5HA5FFJROB80,"Akciju sabiedrība ""Rietumu Banka""",Latvia,CON,020000,2025-12-31,1,20260522170313364,20260527125254835,4.8262,unter_7t,wertkorrektur,Tier-1-Quote,0060,T-3,,0.254612,,neu_gemeldet
2138007F5HA5FFJROB80,"Akciju sabiedrība ""Rietumu Banka""",Latvia,CON,020000,2025-12-31,1,20260522170313364,20260527125254835,4.8262,unter_7t,wertkorrektur,Verschuldungsquote,0220,T-1,,0.182505,,neu_gemeldet
2138007F5HA5FFJROB80,"Akciju sabiedrība ""Rietumu Banka""",Latvia,CON,020000,2025-12-31,1,20260522170313364,20260527125254835,4.8262,unter_7t,wertkorrektur,Verschuldungsquote,0220,T-3,,0.216324,,neu_gemeldet
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,CET1 nach SREP-Anforderung,0200,T,,0.15577,,neu_gemeldet
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,CET1 nach SREP-Anforderung,0200,T-1,,0.15117,,neu_gemeldet
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,CET1 nach SREP-Anforderung,0200,T-2,,0.1556,,neu_gemeldet
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,CET1 nach SREP-Anforderung,0200,T-3,,0.13924,,neu_gemeldet
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,CET1 nach SREP-Anforderung,0200,T-4,,0.16965,,neu_gemeldet
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,CET1-Quote,0050,T,-0.00238,0.25207,25.445,unplausibel
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,CET1-Quote,0050,T-1,-0.00402,0.24617,25.019,unplausibel
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,CET1-Quote,0050,T-2,-0.0043,0.2506,25.49,unplausibel
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,CET1-Quote,0050,T-3,-0.00217,0.23169,23.386,unplausibel
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,CET1-Quote,0050,T-4,,0.26445,,neu_gemeldet
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,Gesamtkapitalquote,0070,T,-0.00238,0.25611,25.849,unplausibel
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,Gesamtkapitalquote,0070,T-1,-0.00402,0.2504,25.442,unplausibel
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,Gesamtkapitalquote,0070,T-2,-0.0043,0.2549,25.92,unplausibel
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,Gesamtkapitalquote,0070,T-3,-0.00217,0.23604,23.821,unplausibel
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,Gesamtkapitalquote,0070,T-4,,0.2693,,neu_gemeldet
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,LCR,0320,T,23.24849,7.37778,-1587.071,unguenstiger
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,LCR,0320,T-1,21.47733,7.94663,-1353.07,unguenstiger
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,LCR,0320,T-2,20.00604,7.82624,-1217.98,unguenstiger
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,LCR,0320,T-3,16.17266,7.4921,-868.056,unguenstiger
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,LCR,0320,T-4,24.1131,7.66001,-1645.309,unguenstiger
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,NSFR,0350,T,1.5541,1.8437,28.96,guenstiger
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,NSFR,0350,T-1,1.567,1.84896,28.196,guenstiger
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,NSFR,0350,T-2,1.56984,1.86474,29.49,guenstiger
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,NSFR,0350,T-3,1.58927,1.85251,26.324,guenstiger
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,NSFR,0350,T-4,1.63884,1.89326,25.442,guenstiger
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,Tier-1-Quote,0060,T,-0.00238,0.25207,25.445,unplausibel
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,Tier-1-Quote,0060,T-1,-0.00402,0.24617,25.019,unplausibel
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,Tier-1-Quote,0060,T-2,-0.0043,0.2506,25.49,unplausibel
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,Tier-1-Quote,0060,T-3,-0.00217,0.23169,23.386,unplausibel
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,Tier-1-Quote,0060,T-4,,0.26445,,neu_gemeldet
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,Verschuldungsquote,0220,T,,0.11214,,neu_gemeldet
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,Verschuldungsquote,0220,T-1,,0.10708,,neu_gemeldet
