lei,bank_name,country,scope,modul,refPeriod,fassung,ts_alt,ts_neu,abstand_tage,latenzklasse,art,n_fakten_alt,n_fakten_neu,n_nur_neu,n_nur_alt,n_wert_geaendert,n_kennzahl_beruehrt,n_guenstiger,n_unguenstiger,gesamturteil
1FOLRR5RWTWWI397R131,Aktiebolaget Svensk Exportkredit,Sweden,IND,020000,2025-06-30,1,20260409113127000,20260527103127099,47.9583,ueber_30t,kuerzung,1419,1405,0,14,0,0,0,0,kennzahl_unberuehrt
1FOLRR5RWTWWI397R131,Aktiebolaget Svensk Exportkredit,Sweden,IND,020000,2025-06-30,2,20260527103127099,20260529011232000,1.6119,unter_7t,vervollstaendigung,1405,1458,53,0,0,0,0,0,kennzahl_unberuehrt
1FOLRR5RWTWWI397R131,Aktiebolaget Svensk Exportkredit,Sweden,IND,020000,2025-12-31,1,20260513085118000,20260521070928002,7.9293,unter_30t,wertkorrektur,1283,1281,48,50,9,0,0,0,kennzahl_unberuehrt
2138007F5HA5FFJROB80,"Akciju sabiedrība ""Rietumu Banka""",Latvia,CON,020000,2025-12-31,1,20260522170313364,20260527125254835,4.8262,unter_7t,wertkorrektur,214,279,65,0,151,17,0,0,ohne_richtung
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,CON,020000,2025-12-31,1,20260310124501716,20260324114906012,13.9612,unter_30t,wertkorrektur,161,291,130,0,141,35,5,5,gemischt
2138009Y59EAR7H1UO97,"Akciju sabiedrība ""Citadele banka""",Latvia,CON,020000,2025-12-31,1,20260320163400100,20260415141500100,25.9035,unter_30t,wertkorrektur,1598,1598,0,0,42,1,1,0,guenstiger
2594000ZNGGQZXZKXH36,VELOBANK SA,Poland,CON,020000,2025-12-31,1,20260427184042133,20260428120911090,0.7281,unter_1t,inhaltsgleich,143,143,0,0,0,0,0,0,kennzahl_unberuehrt
259400DZXF7UJKK2AY35,mBank S.A.,Poland,CON,020000,2025-06-30,1,20260417113951967,20260512172019024,25.2364,unter_30t,wertkorrektur,2515,2515,0,0,235,0,0,0,kennzahl_unberuehrt
259400DZXF7UJKK2AY35,mBank S.A.,Poland,CON,020000,2025-09-30,1,20260402125514225,20260513172257658,41.1859,ueber_30t,wertkorrektur,450,450,0,0,148,0,0,0,kennzahl_unberuehrt
259400OFDZ9KPZEO8K78,BANK MILLENNIUM SA,Poland,CON,020000,2025-06-30,1,20260522105243393,20260617210234978,26.4235,unter_30t,wertkorrektur,464,649,187,2,85,2,0,0,ohne_richtung
3157002JBFAI478MD587,"Tatra banka, a.s.",Slovakia,CON,020000,2025-12-31,1,20260327075344068,20260327081044159,0.0118,unter_1h,inhaltsgleich,3666,3666,0,0,0,0,0,0,kennzahl_unberuehrt
3157002JBFAI478MD587,"Tatra banka, a.s.",Slovakia,CON,020100,2026-03-31,1,20260608132350232,20260608132828133,0.0032,unter_1h,inhaltsgleich,531,531,0,0,0,0,0,0,kennzahl_unberuehrt
3157002JBFAI478MD587,"Tatra banka, a.s.",Slovakia,CON,020100,2026-03-31,2,20260608132828133,20260611130356218,2.983,unter_7t,wertkorrektur,531,572,41,0,18,0,0,0,kennzahl_unberuehrt
391200EEGLNXBBCVKC73,Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG,Germany,CON,020000,2025-06-30,1,20260409121030456,20260507134230451,28.0639,unter_30t,wertkorrektur,149,149,0,0,131,31,0,0,ohne_richtung
529900BI5KIGX6YLX375,Oberösterreichische Landesbank Aktiengesellschaft,Austria,CON,020000,2025-12-31,1,20260622010659296,20260625020602298,3.041,unter_7t,inhaltsgleich,585,585,0,0,0,0,0,0,kennzahl_unberuehrt
529900D5G4V6THXC5P79,Hrvatska poštanska banka d.d.,Croatia,IND,020000,2025-06-30,1,20260526142839877,20260529090444914,2.7751,unter_7t,wertkorrektur,2099,2099,0,0,2,0,0,0,kennzahl_unberuehrt
529900D5G4V6THXC5P79,Hrvatska poštanska banka d.d.,Croatia,IND,020000,2025-12-31,1,20260601145504794,20260610164015412,9.073,unter_30t,wertkorrektur,2391,2390,0,1,7,0,0,0,kennzahl_unberuehrt
