land,refPeriod,n_traeger,auslandsexposure_eur,hhi,groesster_traeger,groesster_anteil,top3_anteil,urteil,tauschverdacht
Afghanistan,2025-06-30,14,3590073.80,0.2633,Groupe BPCE,0.3263,0.8150,gestreut,nein
Albania,2025-06-30,24,2441444410.26,0.5753,Raiffeisen Bank International AG,0.6970,0.9989,konzentriert,nein
Algeria,2025-06-30,21,2701138808.53,0.4521,Groupe BPCE,0.4862,0.9835,gestreut,nein
American Samoa,2025-06-30,1,248.00,1.0000,Groupe BPCE,1.0000,1.0000,zu_duenn,nein
Andorra,2025-06-30,19,72715294.51,0.5660,"CaixaBank, S.A.",0.7391,0.9093,konzentriert,nein
Angola,2025-06-30,16,603803720.67,0.4431,"CaixaBank, S.A.",0.5267,0.9661,konzentriert,nein
Anguilla,2025-06-30,5,527241024.18,0.6685,"Banco Bilbao Vizcaya Argentaria, S.A.",0.8061,0.9999,konzentriert,nein
Antarctica,2025-06-30,2,729.88,0.7074,ING Groep N.V.,0.8221,1.0000,zu_duenn,nein
Antigua and Barbuda,2025-06-30,8,1235630.07,0.6726,Intesa Sanpaolo S.p.A.,0.8093,0.9968,konzentriert,nein
Argentina,2025-06-30,30,10471160820.88,0.8785,"Banco Bilbao Vizcaya Argentaria, S.A.",0.9366,0.9819,konzentriert,nein
Armenia,2025-06-30,28,34474586.27,0.1271,Belfius Bank,0.2089,0.5064,gestreut,nein
Aruba,2025-06-30,8,2054440.10,0.5059,ING Groep N.V.,0.6681,0.9938,konzentriert,nein
Australia,2025-06-30,59,88540822554.88,0.3742,ING Groep N.V.,0.5908,0.7738,konzentriert,nein
Austria,2025-06-30,47,146986384703.92,0.6460,"UNICREDIT, SOCIETA' PER AZIONI",0.7970,0.9139,konzentriert,nein
Azerbaijan,2025-06-30,23,493429901.06,0.3903,Intesa Sanpaolo S.p.A.,0.5229,0.9356,konzentriert,nein
Bahamas,2025-06-30,26,508142828.07,0.2300,AIB Group plc,0.3152,0.7964,gestreut,nein
Bahrain,2025-06-30,23,484581502.35,0.2728,Groupe BPCE,0.3111,0.8913,gestreut,nein
