lei,name,typ,land,signifikanz,gruppenkopf_lei,gruppenkopf_name,im_bestand,gruppe_im_bestand,einordnung,namenstreffer
0W5QHUNYV4W7GJO62R27,HYPO TIROL BANK AG,CI,Austria,LSI,,,true,false,meldet_selbst,
52990001LP4SHV9LRI48,Raiffeisenbank Tux eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
52990001X55ZFHKXU724,"Raiffeisenbank Friesach-Metnitztal, registrierte Genossenschaft mit beschränkter Haftung",CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
52990002L2FUVOJEWS11,Raiffeisenbank Graz-Straßgang eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299000DNBTCYOMV1W76,Raiffeisenbank Region Schallaburg eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299000DS6PEAJA28H06,Raiffeisenbank Großarl-Hüttschlag eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299000LO77G7PYWD232,Raiffeisenbank Völkermarkt-Bleiburg-Brückl eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299000OBYTT24O0ST84,Raiffeisenbank Weiz-Anger eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299000ZVON1HSFMRU07,Raiffeisenbank Straß-Spielfeld eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
52990010KATB4A736397,"Raiffeisenbank Wernberg, registrierte Genossenschaft mit beschränkter Haftung",CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
52990010T57RAF234Z30,Schelhammer Capital Bank AG,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
52990011EY5WB0027820,Raiffeisenbank Weissachtal eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
52990015I96TLGKUIX18,Raiffeisenbank Geretsberg eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
52990017AXISC0US4773,Raiffeisenbank Tulln-Klosterneuburg eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299001AH9W3WV8CMJ04,Raiffeisenkasse Rum-Innsbruck/Arzl eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
5299001M22M20MLUQL39,Raiffeisenbank Ehrwald-Lermoos-Biberwier eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
