lei,scope,refPeriod,bank_name,country,institution_type,kredite_eur,npe_eur,npl_quote,forborne_performing_eur,vorstufe_quote,forborne_non_performing_eur,npf_quote,vorstufe_verhaeltnis,wb_npe_eur,wb_vorzeichen,deckungsquote,npl_unter_median,fruehwarnung
213800DBQIB6VBNU5C64,CON,2025-06-30,Alpha Bank S.A.,Greece,Large highest EEA,43935841635.00,1531086783.00,0.034848,1245769008.00,0.028354,706800257.00,0.016087,0.8137,-579954966.00,negativ,0.378786,nein,nein
259400LGXW3K0GDAG361,CON,2025-06-30,Santander Bank Polska S.A.,Poland,Large subsidiaries,42160057795.71,1457903171.01,0.034580,535027902.87,0.012690,449077672.37,0.010652,0.3670,-677385780.15,negativ,0.464630,nein,nein
315700K45LRKNGMUIW27,IND,2025-06-30,"Prima banka Slovensko, a.s.",Slovakia,Large highest EEA,5618.00,39.00,0.006942,24.00,0.004272,1.00,0.000178,0.6154,-34.00,negativ,0.871795,nein,nein
529900HEKOENJHPNN480,CON,2025-06-30,Kuntarahoitus Oyj,Finland,Large highest EEA,39898476000.00,328277000.00,0.008228,425672000.00,0.010669,242146000.00,0.006069,1.2967,-560000.00,negativ,0.001706,ja,nein
529900JZXXU699FCKK89,IND,2025-06-30,Bausparkasse Schwäbisch Hall Aktiengesellschaft - Bausparkasse der Volksbanken und Raiffeisenbanken,Germany,Large subsidiaries,70251562487.22,653484428.70,0.009302,408102813.11,0.005809,292910247.89,0.004169,0.6245,-83637521.20,negativ,0.127987,nein,nein
529900K16YGKC8BES892,IND,2025-06-30,Deutsche Kreditbank Aktiengesellschaft,Germany,Large subsidiaries,108989307139.29,656436438.39,0.006023,303872718.18,0.002788,174174808.91,0.001598,0.4629,-200419585.62,negativ,0.305315,ja,nein
549300S2T3FWVVXWJI89,CON,2025-06-30,"Slovenská sporiteľňa, a.s.",Slovakia,Large subsidiaries,20618402.00,410679.00,0.019918,321201.00,0.015578,116291.00,0.005640,0.7821,-220645.00,negativ,0.537269,ja,nein
549300URJH9VSI58CS32,CON,2025-06-30,"Banco Santander Totta, SA",Portugal,Large subsidiaries,42041179747.00,802400114.00,0.019086,0.00,0.000000,8413268.00,0.000200,0.0000,540569430.00,positiv,0.673691,ja,nein
549300X34UUBDEUL1Z91,CON,2025-06-30,HSBC Bank Malta p.l.c.,Malta,Large subsidiaries,3131029000.00,78016000.00,0.024917,32238000.00,0.010296,39261000.00,0.012539,0.4132,-17404000.00,negativ,0.223082,ja,nein
7437003B5WFBOIEFY714,CON,2025-06-30,OP Osuuskunta,Finland,Large highest EEA,101312000000.00,2590000000.00,0.025565,3199000000.00,0.031576,1383000000.00,0.013651,1.2351,-457000000.00,negativ,0.176448,nein,nein
815600DDCE9083CAC598,IND,2025-06-30,MEDIOBANCA PREMIER S.P.A.,Italy,Large subsidiaries,31687589024.00,142263165.00,0.004490,60034707.00,0.001895,24191604.00,0.000763,0.4220,-80629296.00,negativ,0.566762,ja,nein
O2RNE8IBXP4R0TD8PU41,CON,2025-06-30,Société générale S.A.,France,Large highest EEA,506510000000.00,14007000000.00,0.027654,4288000000.00,0.008466,3844000000.00,0.007589,0.3061,-6156411278.14,negativ,0.439524,nein,nein
PSNL19R2RXX5U3QWHI44,CON,2025-06-30,MEDIOBANCA - BANCA DI CREDITO FINANZIARIO S.P.A.,Italy,Large subsidiaries,66423702207.00,1175091708.00,0.017691,413133000.00,0.006220,436718000.00,0.006575,0.3516,-706440075.00,negativ,0.601179,ja,nein
TUKDD90GPC79G1KOE162,CON,2025-06-30,Hamburg Commercial Bank AG,Germany,Large highest EEA,18046785771.89,596780405.92,0.033069,614148952.04,0.034031,490572010.68,0.027183,1.0291,-151899580.66,negativ,0.254532,nein,nein
5493000YPN33HF74SN02,IND,2025-10-31,Bank of Montreal Europe plc,Ireland,Other highest EEA,3773461426.50,12652744.50,0.003353,,,,,,2333388.00,positiv,0.184418,nein,nein
747DLM6L5TO7LXZY5T60,IND,2025-10-31,Scotiabank (Ireland) Designated Activity Company,Ireland,Other highest EEA,4710666714.04,0.00,0.000000,,,,,,,,,ja,nein
RUOKPID0PZ0UWJYU9J61,CON,2025-10-31,John Deere Bank S.A.,Luxembourg,Other highest EEA,3074151191.43,119436940.88,0.038852,2954714250.55,0.961148,119436940.88,0.038852,24.7387,-15169820.64,negativ,0.127011,nein,nein
0W2PZJM8XOY22M4GG883,CON,2025-12-31,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,41146802737.31,1065595381.02,0.025897,915569168.52,0.022251,676134314.01,0.016432,0.8592,-321224457.74,negativ,0.301451,nein,nein
