institution_type,template_id,template_title,n_institute,frequenz,muster_modal,anteil_modal,eindeutig,n_vierteljaehrlich,n_halbjaehrlich,n_jaehrlich,n_nie,n_uneinheitlich
Large highest EEA,00.02,Accompanying narrative CONDIS,58,uneinheitlich,1111,0.397,nein,23,6,2,16,11
Large highest EEA,00.05,Accompanying narrative MREL/TLACDIS,9,uneinheitlich,0000,0.556,nein,2,1,0,5,1
Large highest EEA,01.00,Template EU CAE1 – Exposures to crypto-assets,58,nie,0000,0.69,ja,0,3,13,40,2
Large highest EEA,02.00,EU CCR1 – Analysis of CCR exposure by approach,58,halbjaehrlich,1010,0.914,ja,1,53,0,1,3
Large highest EEA,03.00,EU CCR3 – Standardised approach – CCR exposures by regulatory exposure class and risk weights,58,halbjaehrlich,1010,0.897,ja,0,52,0,3,3
Large highest EEA,04.00,EU CCR4 – IRB approach – CCR exposures by exposure class and PD scale (II),58,halbjaehrlich,1010,0.603,ja,0,35,0,22,1
Large highest EEA,05.00,EU CCR5 – Composition of collateral for CCR exposures (II),58,halbjaehrlich,1010,0.879,ja,0,51,0,5,2
Large highest EEA,06.00,EU CCR6 – Credit derivatives exposures,58,uneinheitlich,1010,0.517,nein,0,30,1,24,3
Large highest EEA,07.00,EU CCR7 – RWEA flow statements of CCR exposures under the IMM,58,nie,0000,0.69,ja,12,1,0,40,5
Large highest EEA,08.00,EU CCR8 – Exposures to CCPs,58,halbjaehrlich,1010,0.879,ja,0,51,0,5,2
Large highest EEA,09.01,EU-SEC1 - Securitisation exposures in the non-trading book,58,halbjaehrlich,1010,0.638,ja,0,37,1,18,2
Large highest EEA,09.02,EU-SEC2 - Securitisation exposures in the trading book,58,nie,0000,0.724,ja,0,14,0,42,2
Large highest EEA,09.03,EU-SEC3 - Securitisation exposures in the non-trading book and associated regulatory capital requirements - institution acting as originator or as sponsor,58,uneinheitlich,1010,0.5,nein,0,29,2,25,2
Large highest EEA,09.04,EU-SEC4 - Securitisation exposures in the non-trading book and associated regulatory capital requirements - institution acting as investor,58,uneinheitlich,1010,0.569,nein,0,33,0,23,2
Large highest EEA,09.05,EU-SEC5 - Exposures securitised by the institution - Exposures in default and specific credit risk adjustments,58,uneinheitlich,1010,0.483,nein,0,28,1,27,2
Large highest EEA,10.00,EU MR1 - Market risk under the standardised approach,58,halbjaehrlich,1010,0.759,ja,0,44,1,11,2
Large highest EEA,11.00,EU MR2-A - Market risk under the internal Model Approach (IMA) - RWEA,58,uneinheitlich,0000,0.552,nein,0,24,0,32,2
Large highest EEA,12.00,EU MR2-B - RWA flow statements of market risk exposures under the IMA,58,uneinheitlich,0000,0.552,nein,18,4,0,32,4
Large highest EEA,13.00,EU MR3 - IMA values for trading portfolios,58,uneinheitlich,0000,0.552,nein,0,24,0,32,2
Large highest EEA,18.01,EU CVA 1 – Credit valuation adjustment risk under the Reduced Basic Approach - OFRs,58,jaehrlich,0010,0.672,ja,0,1,39,16,2
Large highest EEA,18.02,EU CVA 2 – Credit valuation adjustment risk under the Full Basic Approach - OFRs,58,uneinheitlich,0000,0.569,nein,0,1,22,33,2
Large highest EEA,18.03,EU CVA3 – Credit valuation adjustment risk under the Standardised Approach,58,nie,0000,0.69,ja,0,1,15,40,2
Large highest EEA,18.04,EU CVA4 – RWEA flow statements of credit valuation adjustment risk under the Standardised Approach,58,nie,0000,0.655,ja,10,2,0,38,8
Large highest EEA,19.01,EU OR1 -Operational risk losses,58,jaehrlich,0010,0.793,ja,0,1,46,9,2
Large highest EEA,19.02,"EU OR2 - Business indicator, components and subcomponents",58,jaehrlich,0010,0.897,ja,0,1,52,3,2
Large highest EEA,19.03,EU OR3 - Operational risk own funds requirements and risk exposure amounts,58,jaehrlich,0010,0.931,ja,0,1,54,1,2
Large highest EEA,24.00,EU CR4 – standardised approach – Credit risk exposure and CRM effects,58,halbjaehrlich,1010,0.948,ja,0,55,1,0,2
Large highest EEA,25.00,EU CR5 – standardised approach,58,halbjaehrlich,1010,0.966,ja,0,56,0,0,2
Large highest EEA,26.00,EU CR6 – IRB approach – Credit risk exposures by exposure class and PD range (II),58,halbjaehrlich,1010,0.638,ja,0,37,3,17,1
Large highest EEA,26.01,EU CR6-A – Scope of the use of IRB and SA approaches,58,jaehrlich,0010,0.621,ja,0,2,36,19,1
Large highest EEA,27.01,EU CR7 – IRB approach – Effect on the RWEAs of credit derivatives used as CRM techniques,58,uneinheitlich,0000,0.517,nein,0,27,0,30,1
Large highest EEA,27.02,EU CR7-A – IRB approach – Disclosure of the extent of the use of CRM techniques,58,halbjaehrlich,1010,0.655,ja,0,38,1,18,1
Large highest EEA,28.00,EU CR8 –  RWEA flow statements of credit risk exposures under the IRB approach,58,uneinheitlich,1111,0.586,nein,34,1,0,17,6
Large highest EEA,29.00,EU CR9 –IRB approach – Back-testing of PD per exposure class (fixed PD scale),58,jaehrlich,0010,0.621,ja,0,1,36,20,1
Large highest EEA,29.01,EU CR9.1 –IRB approach – Back-testing of PD per exposure class (only for PD estimates according to point (f) of Article 180(1) CRR) (II),58,nie,0000,0.741,ja,0,1,13,43,1
Large highest EEA,29.02,EU CR10 –  Specialised lending and equity exposures under the simple riskweighted approach,58,uneinheitlich,1010,0.569,nein,0,33,3,20,2
Large highest EEA,60.00,EU OV1 – Overview of total risk exposure amounts (III),58,vierteljaehrlich,1111,0.983,ja,57,0,0,0,1
Large highest EEA,61.00,EU KM1 - Key metrics template,58,vierteljaehrlich,1111,0.983,ja,57,0,0,0,1
Large highest EEA,62.01,EU INS1 - Insurance participations,58,uneinheitlich,0000,0.517,nein,0,2,24,30,2
Large highest EEA,62.02,EU INS2 - Financial conglomerates information on own funds and capital adequacy ratio,58,uneinheitlich,0000,0.586,nein,1,1,20,34,2
Large highest EEA,63.01,EU CMS1 – Comparison of modelled and standardised risk weighted exposure amounts at risk level,58,vierteljaehrlich,1111,0.638,ja,37,1,0,16,4
Large highest EEA,63.02,EU CMS2 – Comparison of modelled and standardised risk weighted exposure amounts for credit risk at asset class level,58,vierteljaehrlich,1111,0.621,ja,36,1,0,18,3
Large highest EEA,64.01,EU LI1 - Differences between the accounting scope and the scope of prudential consolidation and mapping of financial statement categories with regulatory risk categories,58,jaehrlich,0010,0.862,ja,0,1,50,5,2
Large highest EEA,64.02,EU LI3 - Outline of the differences in the scopes of consolidation (entity by entity),58,jaehrlich,0010,0.828,ja,0,1,48,8,1
Large highest EEA,64.03,EU LI2 - Main sources of differences between regulatory exposure amounts and carrying values in financial statements,58,jaehrlich,0010,0.879,ja,0,2,51,3,2
