lei,bank_name,country,institution_type,refdate,module,lag_days,lag_days_last,n_submissions,submitted_at,klasse_n,klasse_median,percentile,belastbar
097900BEF50000000569,"Prvá stavebná sporiteľňa, a.s.",Slovakia,Other highest EEA,2025-12-31,010000,124,124,1,20260504,439,141,37.8,false
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,2025-06-30,010000,225,288,3,20260210,210,234.0,43.8,false
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,2025-06-30,020000,226,324,3,20260211,210,234.0,45.7,false
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,2025-09-30,010000,161,161,1,20260310,161,155,57.8,false
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,2025-09-30,020000,134,134,1,20260211,161,155,36.3,false
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,2025-12-31,010000,119,131,2,20260429,241,113,56.6,false
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,2025-12-31,020000,110,140,3,20260420,241,113,44.8,false
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,2026-03-31,010000,57,57,1,20260527,155,58,44.8,true
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,2026-03-31,020100,41,41,1,20260511,155,58,15.8,true
0W5QHUNYV4W7GJO62R27,HYPO TIROL BANK AG,Austria,Other highest EEA,2025-12-31,010000,135,149,4,20260515,439,141,44.8,false
0W5QHUNYV4W7GJO62R27,HYPO TIROL BANK AG,Austria,Other highest EEA,2025-12-31,020000,133,146,3,20260513,439,141,42.1,false
1FOLRR5RWTWWI397R131,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,2025-06-30,010000,196,270,2,20260112,210,234.0,22.1,false
1FOLRR5RWTWWI397R131,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,2025-06-30,020000,269,333,5,20260326,210,234.0,66.7,false
1FOLRR5RWTWWI397R131,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,2025-09-30,010000,178,178,1,20260327,161,155,65.8,false
1FOLRR5RWTWWI397R131,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,2025-09-30,020000,204,204,1,20260422,161,155,81.1,false
1FOLRR5RWTWWI397R131,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,2025-12-31,010000,34,131,5,20260203,241,113,2.3,false
1FOLRR5RWTWWI397R131,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,2025-12-31,020000,49,145,7,20260218,241,113,3.7,false
1FOLRR5RWTWWI397R131,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,2026-03-31,010000,79,79,1,20260618,155,58,85.8,true
1FOLRR5RWTWWI397R131,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,2026-03-31,020100,79,79,1,20260618,155,58,85.8,true
1VUV7VQFKUOQSJ21A208,Credit agricole corporate and investment bank,France,Large subsidiaries,2025-06-30,010000,359,359,1,20260624,128,260.0,94.5,false
1VUV7VQFKUOQSJ21A208,Credit agricole corporate and investment bank,France,Large subsidiaries,2025-09-30,010000,267,267,1,20260624,72,176.0,95.1,false
1VUV7VQFKUOQSJ21A208,Credit agricole corporate and investment bank,France,Large subsidiaries,2025-12-31,010000,175,175,1,20260624,188,124.0,91.0,false
1VUV7VQFKUOQSJ21A208,Credit agricole corporate and investment bank,France,Large subsidiaries,2026-03-31,010000,85,85,1,20260624,62,69.0,87.1,true
2138002PVBMEHILJ1340,Mitsubishi UFJ Investor Services and Banking (Luxembourg) S.A.,Luxembourg,Other highest EEA,2025-12-31,010000,163,163,1,20260612,439,141,67.7,false
2138002PVBMEHILJ1340,Mitsubishi UFJ Investor Services and Banking (Luxembourg) S.A.,Luxembourg,Other highest EEA,2025-12-31,020000,163,163,2,20260612,439,141,67.7,false
21380033CFFM2V1ZCK65,SPARKASSE (HOLDINGS) MALTA LIMITED,Malta,Other highest EEA,2025-12-31,010000,114,114,3,20260424,439,141,31.7,false
21380033CFFM2V1ZCK65,SPARKASSE (HOLDINGS) MALTA LIMITED,Malta,Other highest EEA,2025-12-31,020000,86,114,4,20260327,439,141,17.8,false
2138003IGGAUDLPNC244,Izola Bank plc,Malta,Other highest EEA,2025-12-31,010000,181,181,1,20260630,439,141,97.2,false
2138003Z5ZVN16GFYV70,"Banco Finantia, SA",Portugal,Other highest EEA,2025-12-31,010000,177,177,1,20260626,439,141,88.6,false
2138004FIUXU3B2MR537,"Caixa Económica Montepio Geral, Caixa Económica Bancária, S.A.",Portugal,Large highest EEA,2025-06-30,010000,360,360,1,20260625,210,234.0,98.1,false
