lei,bank_name,country,scope,refPeriod,rahmenwerk,submission_ts,im_xbrl_bestand,paket_mb,n_pdf,n_seiten,n_zeichen,zeichen_je_seite,textebene,sprache,sprach_abstand,sprach_woerter,sprach_urteil,n_offengelegt,n_ausgelassen,quote_gegen_erwartung,trea_eur,groessenklasse,zeichen_je_template,fehler
097900BEF50000000569,"Prvá stavebná sporiteľňa, a.s.",SK,IND,2025-12-31,P3NONREMDISDOCS,20260504103000000,false,1.387,1,56,138789,2478.4,ja,sk,32.56,2027,landessprache,,,,,unbekannt,,
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,CON,2025-06-30,P3NONREMDISDOCS,20260210165930718,true,1.491,1,91,195612,2149.6,ja,de,131.38,1941,landessprache,51,43,0.0,28970000000.0,gross,3836,
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,CON,2025-09-30,P3NONREMDISDOCS,20260310165930718,true,0.702,1,20,31896,1594.8,ja,de,132.07,1946,landessprache,7,48,0.0,28010000000.0,mittel,4557,
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,CON,2025-12-31,P3NONREMDISDOCS,20260511151059001,true,3.292,2,223,678267,3041.6,ja,de,16.0,2188,landessprache,63,23,0.0,28440000000.0,gross,10766,
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,CON,2026-03-31,P3NONREMDISDOCS,20260527131259001,true,0.42,1,20,32072,1603.6,ja,de,132.34,1942,landessprache,8,46,0.0,29490000000.0,gross,4009,
0W5QHUNYV4W7GJO62R27,HYPO TIROL BANK AG,AT,CON,2025-12-31,P3NONREMDISDOCS,20260529113001003,true,0.676,1,85,216790,2550.5,ja,de,222.37,2208,landessprache,49,37,0.0,3501000000.0,klein,4424,
0W5QHUNYV4W7GJO62R27,HYPO TIROL BANK AG,AT,CON,2025-12-31,P3REMDISDOCS,20260529171001007,true,0.214,1,7,21988,3141.1,ja,de,201.82,2304,landessprache,49,37,0.0,3501000000.0,klein,449,
1FOLRR5RWTWWI397R131,Aktiebolaget Svensk Exportkredit,SE,IND,2025-06-30,P3NONREMDISDOCS,20260327160015001,true,0.965,1,55,107916,1962.1,ja,en,139.1,2394,englisch,36,50,0.0476,8716000000.0,mittel,2998,
1FOLRR5RWTWWI397R131,Aktiebolaget Svensk Exportkredit,SE,IND,2025-09-30,P3NONREMDISDOCS,20260327160015002,true,0.135,1,10,17326,1732.6,ja,en,138.15,1701,englisch,6,49,0.0,8997000000.0,mittel,2888,
1FOLRR5RWTWWI397R131,Aktiebolaget Svensk Exportkredit,SE,IND,2025-12-31,P3NONREMDISDOCS,20260415162800002,true,4.796,1,103,250187,2429.0,ja,en,184.95,3044,englisch,49,42,0.119,9233000000.0,mittel,5106,
