kri,kri_name,refPeriod,country_iso,country,eba_wert,unser_wert,differenz_pp,n_institute,n_ausgeschlossen_gruppe,n_ausgeschlossen_skala
SVC_1,Tier 1 capital ratio,2025-06-30,AT,Austria,0.195385,0.194072,-0.131,8,1,0
SVC_1,Tier 1 capital ratio,2025-06-30,BE,Belgium,0.187884,0.247931,6.005,4,3,0
SVC_1,Tier 1 capital ratio,2025-06-30,CY,Cyprus,0.277744,0.167306,-11.044,1,0,0
SVC_1,Tier 1 capital ratio,2025-06-30,DE,Germany,0.188265,0.187151,-0.111,13,2,1
SVC_1,Tier 1 capital ratio,2025-06-30,DK,Denmark,0.189576,0.190724,0.115,2,0,0
SVC_1,Tier 1 capital ratio,2025-06-30,EE,Estonia,0.225518,0.155642,-6.988,2,1,0
SVC_1,Tier 1 capital ratio,2025-06-30,ES,Spain,0.14797,0.148137,0.017,10,0,0
SVC_1,Tier 1 capital ratio,2025-06-30,FI,Finland,0.1878,0.189133,0.133,5,0,0
SVC_1,Tier 1 capital ratio,2025-06-30,FR,France,0.172312,0.164373,-0.794,15,3,0
SVC_1,Tier 1 capital ratio,2025-06-30,GR,Greece,0.174932,0.176039,0.111,2,0,1
SVC_1,Tier 1 capital ratio,2025-06-30,HR,Croatia,0.200575,0.194615,-0.596,2,2,0
SVC_1,Tier 1 capital ratio,2025-06-30,HU,Hungary,0.18026,0.18026,0.0,3,1,0
SVC_1,Tier 1 capital ratio,2025-06-30,IE,Ireland,0.198929,0.187661,-1.127,4,0,0
SVC_1,Tier 1 capital ratio,2025-06-30,IT,Italy,0.177882,0.178471,0.059,15,3,0
SVC_1,Tier 1 capital ratio,2025-06-30,LI,Liechtenstein,0.192474,0.184771,-0.77,2,0,0
SVC_1,Tier 1 capital ratio,2025-06-30,LU,Luxembourg,0.237859,0.208067,-2.979,3,0,0
SVC_1,Tier 1 capital ratio,2025-06-30,LV,Latvia,0.23712,0.202756,-3.436,1,2,0
SVC_1,Tier 1 capital ratio,2025-06-30,MT,Malta,0.21559,0.224604,0.901,3,0,0
SVC_1,Tier 1 capital ratio,2025-06-30,NL,Netherlands,0.186552,0.162339,-2.421,5,1,0
SVC_1,Tier 1 capital ratio,2025-06-30,NO,Norway,0.20265,0.201106,-0.154,4,0,0
SVC_1,Tier 1 capital ratio,2025-06-30,PL,Poland,0.163532,0.16123,-0.23,4,4,0
SVC_1,Tier 1 capital ratio,2025-06-30,PT,Portugal,0.18606,0.175524,-1.054,3,0,0
SVC_1,Tier 1 capital ratio,2025-06-30,SE,Sweden,0.202648,0.190421,-1.223,8,0,0
SVC_1,Tier 1 capital ratio,2025-06-30,SK,Slovakia,0.188398,0.179979,-0.842,1,2,0
SVC_1,Tier 1 capital ratio,2025-09-30,AT,Austria,0.192171,0.191401,-0.077,3,1,0
SVC_1,Tier 1 capital ratio,2025-09-30,BE,Belgium,0.190237,0.2501,5.986,3,2,0
SVC_1,Tier 1 capital ratio,2025-09-30,CY,Cyprus,0.276118,0.164514,-11.16,1,0,0
SVC_1,Tier 1 capital ratio,2025-09-30,DE,Germany,0.188506,0.184444,-0.406,8,2,1
SVC_1,Tier 1 capital ratio,2025-09-30,DK,Denmark,0.190032,0.19139,0.136,2,0,0
SVC_1,Tier 1 capital ratio,2025-09-30,EE,Estonia,0.220024,0.166913,-5.311,1,0,0
SVC_1,Tier 1 capital ratio,2025-09-30,ES,Spain,0.149785,0.149215,-0.057,8,0,0
SVC_1,Tier 1 capital ratio,2025-09-30,FI,Finland,0.197666,0.192337,-0.533,2,0,0
SVC_1,Tier 1 capital ratio,2025-09-30,FR,France,0.172153,0.152797,-1.936,6,2,0
SVC_1,Tier 1 capital ratio,2025-09-30,GR,Greece,0.174783,0.176687,0.19,2,0,0
SVC_1,Tier 1 capital ratio,2025-09-30,HR,Croatia,0.201885,0.177655,-2.423,1,2,0
SVC_1,Tier 1 capital ratio,2025-09-30,HU,Hungary,0.185065,0.18501,-0.005,3,0,0
SVC_1,Tier 1 capital ratio,2025-09-30,IE,Ireland,0.193229,0.184722,-0.851,5,0,0
SVC_1,Tier 1 capital ratio,2025-09-30,IT,Italy,0.17469,0.173891,-0.08,13,1,0
SVC_1,Tier 1 capital ratio,2025-09-30,LU,Luxembourg,0.234859,0.212859,-2.2,2,0,0
SVC_1,Tier 1 capital ratio,2025-09-30,LV,Latvia,0.229176,0.20193,-2.725,1,0,0
SVC_1,Tier 1 capital ratio,2025-09-30,MT,Malta,0.218128,0.217045,-0.108,2,0,0
SVC_1,Tier 1 capital ratio,2025-09-30,NL,Netherlands,0.187116,0.160558,-2.656,3,0,0
SVC_1,Tier 1 capital ratio,2025-09-30,NO,Norway,0.197754,0.190279,-0.748,1,0,0
SVC_1,Tier 1 capital ratio,2025-09-30,PL,Poland,0.163535,0.160148,-0.339,2,4,0
SVC_1,Tier 1 capital ratio,2025-09-30,PT,Portugal,0.188044,0.168648,-1.94,2,0,0
SVC_1,Tier 1 capital ratio,2025-09-30,RO,Romania,0.202087,0.177514,-2.457,1,1,0
SVC_1,Tier 1 capital ratio,2025-09-30,SE,Sweden,0.204955,0.20406,-0.089,6,0,0
SVC_1,Tier 1 capital ratio,2025-09-30,SI,Slovenia,0.163423,0.150953,-1.247,1,0,0
SVC_1,Tier 1 capital ratio,2025-09-30,SK,Slovakia,0.188766,0.18207,-0.67,1,2,0
SVC_1,Tier 1 capital ratio,2025-12-31,AT,Austria,0.205788,0.194145,-1.164,14,1,0
SVC_1,Tier 1 capital ratio,2025-12-31,BE,Belgium,0.190588,0.242666,5.208,4,2,0
SVC_1,Tier 1 capital ratio,2025-12-31,BG,Bulgaria,0.210701,0.211978,0.128,3,1,0
SVC_1,Tier 1 capital ratio,2025-12-31,CY,Cyprus,0.280104,0.333872,5.377,2,1,0
SVC_1,Tier 1 capital ratio,2025-12-31,DE,Germany,0.190305,0.178723,-1.158,23,3,0
SVC_1,Tier 1 capital ratio,2025-12-31,DK,Denmark,0.181593,0.186149,0.456,12,0,0
SVC_1,Tier 1 capital ratio,2025-12-31,EE,Estonia,0.226109,0.190363,-3.575,5,1,0
SVC_1,Tier 1 capital ratio,2025-12-31,ES,Spain,0.149145,0.150963,0.182,16,1,0
SVC_1,Tier 1 capital ratio,2025-12-31,FI,Finland,0.19903,0.19966,0.063,8,0,0
SVC_1,Tier 1 capital ratio,2025-12-31,FR,France,0.174162,0.165418,-0.874,15,3,1
SVC_1,Tier 1 capital ratio,2025-12-31,GR,Greece,0.172705,0.176686,0.398,3,0,0
SVC_1,Tier 1 capital ratio,2025-12-31,HR,Croatia,0.198135,0.192196,-0.594,2,3,0
SVC_1,Tier 1 capital ratio,2025-12-31,HU,Hungary,0.185157,0.185107,-0.005,3,3,0
SVC_1,Tier 1 capital ratio,2025-12-31,IE,Ireland,0.19883,0.19232,-0.651,4,0,0
SVC_1,Tier 1 capital ratio,2025-12-31,IS,Iceland,0.213286,0.220782,0.75,3,0,0
SVC_1,Tier 1 capital ratio,2025-12-31,IT,Italy,0.17532,0.173245,-0.208,30,1,0
SVC_1,Tier 1 capital ratio,2025-12-31,LI,Liechtenstein,0.199499,0.192279,-0.722,4,0,0
SVC_1,Tier 1 capital ratio,2025-12-31,LT,Lithuania,0.237419,0.297492,6.007,1,0,1
SVC_1,Tier 1 capital ratio,2025-12-31,LU,Luxembourg,0.239913,0.172994,-6.692,6,1,0
SVC_1,Tier 1 capital ratio,2025-12-31,LV,Latvia,0.221477,0.202053,-1.942,3,1,0
SVC_1,Tier 1 capital ratio,2025-12-31,MT,Malta,0.215895,0.232085,1.619,5,0,0
SVC_1,Tier 1 capital ratio,2025-12-31,NL,Netherlands,0.1875,0.189879,0.238,18,3,0
SVC_1,Tier 1 capital ratio,2025-12-31,NO,Norway,0.195917,0.197685,0.177,6,0,0
SVC_1,Tier 1 capital ratio,2025-12-31,PL,Poland,0.162918,0.156089,-0.683,7,5,0
SVC_1,Tier 1 capital ratio,2025-12-31,PT,Portugal,0.191057,0.188798,-0.226,7,1,0
SVC_1,Tier 1 capital ratio,2025-12-31,RO,Romania,0.226738,0.208574,-1.816,1,3,0
SVC_1,Tier 1 capital ratio,2025-12-31,SE,Sweden,0.195013,0.192953,-0.206,12,0,0
SVC_1,Tier 1 capital ratio,2025-12-31,SI,Slovenia,0.177613,0.21418,3.657,1,1,0
SVC_1,Tier 1 capital ratio,2025-12-31,SK,Slovakia,0.189626,0.201401,1.177,2,2,0
SVC_1,Tier 1 capital ratio,2026-03-31,AT,Austria,0.181129,0.189486,0.836,1,0,0
SVC_1,Tier 1 capital ratio,2026-03-31,BE,Belgium,0.190521,0.16525,-2.527,2,2,0
SVC_1,Tier 1 capital ratio,2026-03-31,BG,Bulgaria,0.210629,0.212258,0.163,1,0,0
SVC_1,Tier 1 capital ratio,2026-03-31,DE,Germany,0.183621,0.176073,-0.755,11,1,0
SVC_1,Tier 1 capital ratio,2026-03-31,DK,Denmark,0.185611,0.185606,-0.0,4,0,0
SVC_1,Tier 1 capital ratio,2026-03-31,EE,Estonia,0.23296,0.160862,-7.21,1,0,0
SVC_1,Tier 1 capital ratio,2026-03-31,ES,Spain,0.152518,0.152389,-0.013,9,0,0
SVC_1,Tier 1 capital ratio,2026-03-31,FI,Finland,0.193068,0.187695,-0.537,2,0,0
SVC_1,Tier 1 capital ratio,2026-03-31,FR,France,0.171815,0.157971,-1.384,10,2,0
SVC_1,Tier 1 capital ratio,2026-03-31,GR,Greece,0.171716,0.193747,2.203,1,0,0
SVC_1,Tier 1 capital ratio,2026-03-31,HU,Hungary,0.177289,0.176774,-0.051,2,0,0
SVC_1,Tier 1 capital ratio,2026-03-31,IE,Ireland,0.196546,0.18427,-1.228,4,0,0
SVC_1,Tier 1 capital ratio,2026-03-31,IS,Iceland,0.206942,0.198865,-0.808,2,0,0
SVC_1,Tier 1 capital ratio,2026-03-31,IT,Italy,0.174497,0.169075,-0.542,7,0,0
SVC_1,Tier 1 capital ratio,2026-03-31,LT,Lithuania,0.24526,0.200494,-4.477,1,0,0
SVC_1,Tier 1 capital ratio,2026-03-31,LU,Luxembourg,0.249988,0.168914,-8.107,1,0,0
SVC_1,Tier 1 capital ratio,2026-03-31,LV,Latvia,0.213725,0.198432,-1.529,1,0,0
SVC_1,Tier 1 capital ratio,2026-03-31,NL,Netherlands,0.18646,0.179528,-0.693,3,0,0
SVC_1,Tier 1 capital ratio,2026-03-31,NO,Norway,0.197742,0.199053,0.131,2,0,0
SVC_1,Tier 1 capital ratio,2026-03-31,PL,Poland,0.160559,0.150597,-0.996,2,4,0
SVC_1,Tier 1 capital ratio,2026-03-31,PT,Portugal,0.193041,0.158251,-3.479,1,0,0
SVC_1,Tier 1 capital ratio,2026-03-31,SE,Sweden,0.191778,0.190516,-0.126,6,0,0
SVC_1,Tier 1 capital ratio,2026-03-31,SI,Slovenia,0.173032,0.167345,-0.569,1,0,0
SVC_1,Tier 1 capital ratio,2026-03-31,SK,Slovakia,0.188315,0.196431,0.812,1,2,0
SVC_13,Leverage ratio,2025-06-30,AT,Austria,0.078859,0.090329,1.147,8,1,0
SVC_13,Leverage ratio,2025-06-30,BE,Belgium,0.068106,0.081304,1.32,4,3,0
SVC_13,Leverage ratio,2025-06-30,CY,Cyprus,0.094326,0.109999,1.567,1,0,0
SVC_13,Leverage ratio,2025-06-30,DE,Germany,0.058615,0.053722,-0.489,13,2,1
SVC_13,Leverage ratio,2025-06-30,DK,Denmark,0.04817,0.047742,-0.043,2,0,0
SVC_13,Leverage ratio,2025-06-30,EE,Estonia,0.088424,0.087624,-0.08,2,1,0
SVC_13,Leverage ratio,2025-06-30,ES,Spain,0.055883,0.056049,0.017,12,0,0
SVC_13,Leverage ratio,2025-06-30,FI,Finland,0.061318,0.062002,0.068,5,0,0
SVC_13,Leverage ratio,2025-06-30,FR,France,0.054573,0.052837,-0.174,15,3,0
SVC_13,Leverage ratio,2025-06-30,GR,Greece,0.079195,0.074112,-0.508,2,0,1
SVC_13,Leverage ratio,2025-06-30,HR,Croatia,0.092037,0.086488,-0.555,2,2,0
SVC_13,Leverage ratio,2025-06-30,HU,Hungary,0.095413,0.095413,-0.0,3,1,0
SVC_13,Leverage ratio,2025-06-30,IE,Ireland,0.07612,0.070717,-0.54,4,0,0
SVC_13,Leverage ratio,2025-06-30,IT,Italy,0.062441,0.063296,0.086,15,3,0
SVC_13,Leverage ratio,2025-06-30,LI,Liechtenstein,0.076406,0.074335,-0.207,2,0,0
SVC_13,Leverage ratio,2025-06-30,LU,Luxembourg,0.094486,0.07059,-2.39,3,0,0
SVC_13,Leverage ratio,2025-06-30,LV,Latvia,0.090541,0.102531,1.199,1,2,0
SVC_13,Leverage ratio,2025-06-30,MT,Malta,0.068572,0.065678,-0.289,3,0,0
SVC_13,Leverage ratio,2025-06-30,NL,Netherlands,0.056072,0.046465,-0.961,5,1,0
SVC_13,Leverage ratio,2025-06-30,NO,Norway,0.064171,0.064445,0.027,5,0,0
SVC_13,Leverage ratio,2025-06-30,PL,Poland,0.073582,0.074157,0.058,4,4,0
SVC_13,Leverage ratio,2025-06-30,PT,Portugal,0.070873,0.064063,-0.681,2,0,0
SVC_13,Leverage ratio,2025-06-30,SE,Sweden,0.05321,0.059139,0.593,8,0,0
SVC_13,Leverage ratio,2025-06-30,SK,Slovakia,0.073438,0.075382,0.194,1,2,0
SVC_13,Leverage ratio,2025-09-30,AT,Austria,0.076778,0.087139,1.036,3,1,0
SVC_13,Leverage ratio,2025-09-30,BE,Belgium,0.068752,0.088465,1.971,3,2,0
SVC_13,Leverage ratio,2025-09-30,CY,Cyprus,0.09342,0.110367,1.695,1,0,0
SVC_13,Leverage ratio,2025-09-30,DE,Germany,0.058358,0.051603,-0.676,8,2,1
SVC_13,Leverage ratio,2025-09-30,DK,Denmark,0.048402,0.047365,-0.104,2,0,0
SVC_13,Leverage ratio,2025-09-30,EE,Estonia,0.087865,0.080843,-0.702,1,0,0
SVC_13,Leverage ratio,2025-09-30,ES,Spain,0.055932,0.05604,0.011,8,0,0
SVC_13,Leverage ratio,2025-09-30,FI,Finland,0.063928,0.063041,-0.089,2,0,0
SVC_13,Leverage ratio,2025-09-30,FR,France,0.053924,0.045764,-0.816,6,2,0
SVC_13,Leverage ratio,2025-09-30,GR,Greece,0.078694,0.073877,-0.482,2,0,0
SVC_13,Leverage ratio,2025-09-30,HR,Croatia,0.082486,0.07366,-0.883,1,2,0
SVC_13,Leverage ratio,2025-09-30,HU,Hungary,0.096187,0.096146,-0.004,3,0,0
SVC_13,Leverage ratio,2025-09-30,IE,Ireland,0.074085,0.068957,-0.513,5,0,0
SVC_13,Leverage ratio,2025-09-30,IT,Italy,0.060298,0.061277,0.098,13,1,0
SVC_13,Leverage ratio,2025-09-30,LU,Luxembourg,0.093254,0.066105,-2.715,2,0,0
SVC_13,Leverage ratio,2025-09-30,LV,Latvia,0.089255,0.099597,1.034,1,0,0
SVC_13,Leverage ratio,2025-09-30,MT,Malta,0.068416,0.070012,0.16,2,0,0
SVC_13,Leverage ratio,2025-09-30,NL,Netherlands,0.055862,0.046076,-0.979,3,0,0
SVC_13,Leverage ratio,2025-09-30,NO,Norway,0.065172,0.062619,-0.255,2,0,0
SVC_13,Leverage ratio,2025-09-30,PL,Poland,0.07468,0.073705,-0.098,2,4,0
SVC_13,Leverage ratio,2025-09-30,PT,Portugal,0.071154,0.061691,-0.946,2,0,0
SVC_13,Leverage ratio,2025-09-30,RO,Romania,0.083905,0.077137,-0.677,1,1,0
SVC_13,Leverage ratio,2025-09-30,SE,Sweden,0.053233,0.05241,-0.082,6,0,0
SVC_13,Leverage ratio,2025-09-30,SI,Slovenia,0.094484,0.090333,-0.415,1,0,0
SVC_13,Leverage ratio,2025-09-30,SK,Slovakia,0.070872,0.074007,0.314,1,2,0
SVC_13,Leverage ratio,2025-12-31,AT,Austria,0.083357,0.09633,1.297,14,1,0
SVC_13,Leverage ratio,2025-12-31,BE,Belgium,0.069509,0.091447,2.194,4,2,0
SVC_13,Leverage ratio,2025-12-31,BG,Bulgaria,0.092986,0.103587,1.06,2,1,0
SVC_13,Leverage ratio,2025-12-31,CY,Cyprus,0.092736,0.072735,-2.0,2,1,0
SVC_13,Leverage ratio,2025-12-31,DE,Germany,0.05997,0.05946,-0.051,23,3,0
SVC_13,Leverage ratio,2025-12-31,DK,Denmark,0.046319,0.047726,0.141,12,0,0
SVC_13,Leverage ratio,2025-12-31,EE,Estonia,0.090675,0.088564,-0.211,5,1,0
SVC_13,Leverage ratio,2025-12-31,ES,Spain,0.054909,0.055289,0.038,15,1,0
SVC_13,Leverage ratio,2025-12-31,FI,Finland,0.064941,0.065679,0.074,8,0,0
SVC_13,Leverage ratio,2025-12-31,FR,France,0.055524,0.053207,-0.232,15,3,1
SVC_13,Leverage ratio,2025-12-31,GR,Greece,0.076632,0.081088,0.446,3,0,0
SVC_13,Leverage ratio,2025-12-31,HR,Croatia,0.084327,0.083422,-0.09,2,3,0
SVC_13,Leverage ratio,2025-12-31,HU,Hungary,0.099797,0.099783,-0.001,3,3,0
SVC_13,Leverage ratio,2025-12-31,IE,Ireland,0.079012,0.071591,-0.742,4,0,0
SVC_13,Leverage ratio,2025-12-31,IS,Iceland,0.126218,0.127246,0.103,3,0,0
SVC_13,Leverage ratio,2025-12-31,IT,Italy,0.06176,0.062698,0.094,30,1,0
SVC_13,Leverage ratio,2025-12-31,LI,Liechtenstein,0.075802,0.074743,-0.106,4,0,0
SVC_13,Leverage ratio,2025-12-31,LT,Lithuania,0.063745,0.052235,-1.151,1,0,1
SVC_13,Leverage ratio,2025-12-31,LU,Luxembourg,0.093156,0.074266,-1.889,6,1,0
SVC_13,Leverage ratio,2025-12-31,LV,Latvia,0.085469,0.115056,2.959,3,1,0
SVC_13,Leverage ratio,2025-12-31,MT,Malta,0.069282,0.0783,0.902,5,0,0
SVC_13,Leverage ratio,2025-12-31,NL,Netherlands,0.058291,0.059565,0.127,18,3,0
SVC_13,Leverage ratio,2025-12-31,NO,Norway,0.06763,0.068779,0.115,10,0,0
SVC_13,Leverage ratio,2025-12-31,PL,Poland,0.0729,0.070837,-0.206,7,5,0
SVC_13,Leverage ratio,2025-12-31,PT,Portugal,0.070729,0.076736,0.601,7,1,0
SVC_13,Leverage ratio,2025-12-31,SE,Sweden,0.056005,0.056224,0.022,12,0,0
SVC_13,Leverage ratio,2025-12-31,SI,Slovenia,0.101446,0.057899,-4.355,1,1,0
SVC_13,Leverage ratio,2025-12-31,SK,Slovakia,0.068303,0.07415,0.585,2,2,0
SVC_13,Leverage ratio,2026-03-31,AT,Austria,0.073785,0.140465,6.668,1,0,0
SVC_13,Leverage ratio,2026-03-31,BE,Belgium,0.070206,0.057873,-1.233,2,2,0
SVC_13,Leverage ratio,2026-03-31,BG,Bulgaria,0.092869,0.097733,0.486,1,0,0
SVC_13,Leverage ratio,2026-03-31,DE,Germany,0.057376,0.055526,-0.185,11,1,0
SVC_13,Leverage ratio,2026-03-31,DK,Denmark,0.047721,0.047721,0.0,4,0,0
SVC_13,Leverage ratio,2026-03-31,EE,Estonia,0.094662,0.080828,-1.383,1,0,0
SVC_13,Leverage ratio,2026-03-31,ES,Spain,0.055434,0.05512,-0.031,9,0,0
SVC_13,Leverage ratio,2026-03-31,FI,Finland,0.061564,0.060484,-0.108,2,0,0
SVC_13,Leverage ratio,2026-03-31,FR,France,0.05408,0.047356,-0.672,10,2,0
SVC_13,Leverage ratio,2026-03-31,GR,Greece,0.077117,0.092606,1.549,1,0,0
SVC_13,Leverage ratio,2026-03-31,HU,Hungary,0.094499,0.095142,0.064,2,0,0
SVC_13,Leverage ratio,2026-03-31,IE,Ireland,0.07511,0.069045,-0.607,4,0,0
SVC_13,Leverage ratio,2026-03-31,IS,Iceland,0.122084,0.112872,-0.921,2,0,0
SVC_13,Leverage ratio,2026-03-31,IT,Italy,0.060448,0.058156,-0.229,7,0,0
SVC_13,Leverage ratio,2026-03-31,LT,Lithuania,0.06556,0.092643,2.708,1,0,0
SVC_13,Leverage ratio,2026-03-31,LU,Luxembourg,0.096484,0.060555,-3.593,1,0,0
SVC_13,Leverage ratio,2026-03-31,LV,Latvia,0.088557,0.10002,1.146,1,0,0
SVC_13,Leverage ratio,2026-03-31,NL,Netherlands,0.054703,0.053245,-0.146,3,0,0
SVC_13,Leverage ratio,2026-03-31,NO,Norway,0.067409,0.067216,-0.019,3,0,0
SVC_13,Leverage ratio,2026-03-31,PL,Poland,0.073049,0.069915,-0.313,2,4,0
SVC_13,Leverage ratio,2026-03-31,PT,Portugal,0.071085,0.066905,-0.418,1,0,0
SVC_13,Leverage ratio,2026-03-31,SE,Sweden,0.051363,0.050497,-0.087,6,0,0
SVC_13,Leverage ratio,2026-03-31,SI,Slovenia,0.100574,0.100102,-0.047,1,0,0
SVC_13,Leverage ratio,2026-03-31,SK,Slovakia,0.069112,0.074773,0.566,1,2,0
SVC_2,Total capital ratio,2025-06-30,AT,Austria,0.222601,0.21479,-0.781,8,1,0
