lei,name,country,entity_type,institution_type,is_gsii,modules
097900BEF50000000569,"Prvá stavebná sporiteľňa, a.s.",Slovakia,CRD Credit Institution,Other highest EEA,false,P3 pdf documentation for disclosure NON REM
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,Banking Group,Large highest EEA,false,Common disclosures|ESG disclosures|Financial disclosures|IRRBB disclosures|MREL/TLAC disclosures|P3 pdf documentation for disclosure NON REM
0W5QHUNYV4W7GJO62R27,HYPO TIROL BANK AG,Austria,Banking Group,Other highest EEA,false,Common disclosures|Financial disclosures|IRRBB disclosures|MREL/TLAC disclosures|P3 pdf documentation for disclosure NON REM|P3 pdf documentation for disclosure REM|Remuneration disclosures
1FOLRR5RWTWWI397R131,Aktiebolaget Svensk Exportkredit,Sweden,CRD Credit Institution,Large highest EEA,false,Common disclosures|ESG disclosures|Financial disclosures|IRRBB disclosures|P3 pdf documentation for disclosure NON REM|P3 pdf documentation for disclosure REM|Remuneration disclosures
1VUV7VQFKUOQSJ21A208,Credit agricole corporate and investment bank,France,PILLAR3 Sub Group,Large subsidiaries,false,P3 pdf documentation for disclosure NON REM
2138002PVBMEHILJ1340,Mitsubishi UFJ Investor Services and Banking (Luxembourg) S.A.,Luxembourg,CRD Credit Institution,Other highest EEA,false,Common disclosures|Financial disclosures|P3 pdf documentation for disclosure NON REM
21380033CFFM2V1ZCK65,SPARKASSE (HOLDINGS) MALTA LIMITED,Malta,Banking Group,Other highest EEA,false,Common disclosures|Financial disclosures|MREL/TLAC disclosures|P3 pdf documentation for disclosure NON REM|Remuneration disclosures
2138003IGGAUDLPNC244,Izola Bank plc,Malta,CRD Credit Institution,Other highest EEA,false,P3 pdf documentation for disclosure NON REM
2138003Z5ZVN16GFYV70,"Banco Finantia, SA",Portugal,Banking Group,Other highest EEA,false,P3 pdf documentation for disclosure NON REM
2138004FIUXU3B2MR537,"Caixa Económica Montepio Geral, Caixa Económica Bancária, S.A.",Portugal,Banking Group,Large highest EEA,false,Common disclosures|ESG disclosures|Financial disclosures|MREL/TLAC disclosures|P3 pdf documentation for disclosure NON REM|P3 pdf documentation for disclosure REM|Remuneration disclosures
21380057HUGFEAF25W84,NOBA Group,Sweden,Banking Group,Other highest EEA,false,Common disclosures|Financial disclosures|IRRBB disclosures|P3 pdf documentation for disclosure NON REM|Remuneration disclosures
2138005M92IEIQVEL297,AS Inbank,Estonia,Banking Group,Other highest EEA,false,Common disclosures|Financial disclosures|IRRBB disclosures|MREL/TLAC disclosures|P3 pdf documentation for disclosure NON REM|P3 pdf documentation for disclosure REM|Remuneration disclosures
2138005MGIT3X9ZTMP37,Rønde Sparekasse,Denmark,CRD Credit Institution,Other highest EEA,false,Common disclosures|Financial disclosures|MREL/TLAC disclosures|P3 pdf documentation for disclosure NON REM|Remuneration disclosures
2138007F5HA5FFJROB80,"Akciju sabiedrība ""Rietumu Banka""",Latvia,Banking Group,Other highest EEA,false,Common disclosures|Financial disclosures|P3 pdf documentation for disclosure NON REM|Remuneration disclosures
2138007JGI1M5YF7FJ53,Frøs Sparekasse,Denmark,Banking Group,Other highest EEA,false,Common disclosures|Financial disclosures|MREL/TLAC disclosures|Remuneration disclosures
2138007WKF5CM2EUM824,"Citfin, spořitelní družstvo",Czech,CRD Credit Institution,Other highest EEA,false,Common disclosures|Financial disclosures|P3 pdf documentation for disclosure NON REM|Remuneration disclosures
213800984CWACNBY8F31,Sparekassen for Nr. Nebel og Omegn,Denmark,CRD Credit Institution,Other highest EEA,false,Common disclosures|Financial disclosures|MREL/TLAC disclosures|P3 pdf documentation for disclosure NON REM|Remuneration disclosures
2138009Y59EAR7H1UO97,"Akciju sabiedrība ""Citadele banka""",Latvia,Banking Group,Large highest EEA,false,Common disclosures|ESG disclosures|Financial disclosures|IRRBB disclosures|MREL/TLAC disclosures|P3 pdf documentation for disclosure NON REM|P3 pdf documentation for disclosure REM|Remuneration disclosures
