lei,name,wikidata_id,isin,isin_land,boerse,boerse_land,ticker,sicherheit
213800DBQIB6VBNU5C64,Alpha Bank,Q747394,US02071M7056,US,OTC Markets Group,US,ALBKY,mehrere im ISIN-Land
213800JF3JFF6MMR2P36,Fynske Bank,Q16323595,,,,,,keine isin
213800M7T3CYVZ3ZRT12,Sparebanken Vest,Q7573582,NO0006000900,NO,Osloer Börse,NO,SVEG,eindeutig
213800RENLNKMWZV8767,Lollands Bank,Q12324823,DK0060000107,DK,Börse Kopenhagen,DK,LOLB,eindeutig
213800UYAHIRLZ4NSN67,Lån og Spar Bank,Q12325311,DK0010201532,DK,Börse Kopenhagen,DK,LASP,eindeutig
213800X3Q9LSAKRUWY91,KBC Group,Q29560723,BE0003565737,BE,Euronext Brüssel,BE,KBC,eindeutig
259400DZXF7UJKK2AY35,mBank,Q1160928,PLBRE0000012,PL,Warschauer Wertpapierbörse,PL,MBK,eindeutig
259400LGXW3K0GDAG361,Erste Bank Polska,Q806653,PLBZ00000044,PL,Warschauer Wertpapierbörse,PL,SPL,eindeutig
259400OFDZ9KPZEO8K78,Bank Millennium,Q4855947,,,,,,keine isin
259400QHDOZWMJ103294,Alior Bank,Q9148395,PLALIOR00045,PL,Warschauer Wertpapierbörse,PL,ALR,eindeutig
259400YLRTOBISHBVX41,ING Bank Śląski,Q1410383,PLBSK0000017,PL,Warschauer Wertpapierbörse,PL,INGBSK,eindeutig
2W8N8UU78PMDQKZENC08,Intesa Sanpaolo,Q1343118,IT0000072618,IT,Borsa Italiana,IT,ISP,eindeutig
3DM5DPGI3W6OU6GJ4N92,Banco Português de Investimento,Q537886,PTBPI0AM0004,PT,Euronext Lisboa,PT,BPI,eindeutig
3M5E1GQGKL17HI6CPN30,Jyske Bank,Q136672,DK0010307958,DK,Börse Kopenhagen,DK,JYSK,eindeutig
529900AVGYYBVL1VNQ03,Kreditbanken,Q57695431,DK0010253764,DK,Börse Kopenhagen,DK,KRE,eindeutig
529900BIK4WRWS06MR52,Varengold Bank,Q481206,DE0005479307,DE,Börse Frankfurt,DE,VGB,eindeutig
529900IRBZTADXJB6757,flatexDEGIRO,Q1427303,DE000FTG1111,DE,Börse Frankfurt,DE,FTK,eindeutig
529900ODI3047E2LIV03,Nordea,Q1123823,FI4000297767,FI,Börse Helsinki,FI,NDA FI,eindeutig
529900W3MOO00A18X956,OTP Bank,Q912778,HU0000061726,HU,Budapester Börse,HU,,ohne ticker
5493000LKS7B3UTF7H35,Bank Polska Kasa Opieki,Q806642,PLPEKAO00016,PL,Warschauer Wertpapierbörse,PL,PEO,eindeutig
5493002DPKDEC2JN1Y86,Sparekassen Sjælland-Fyn,Q42143219,DK0060670776,DK,Börse Kopenhagen,DK,SPKSJF,eindeutig
5493006QMFDDMYWIAM13,Grupo Santander,Q806215,ES0113900J37,ES,Madrider Börse,ES,SAN,eindeutig
5493007SJLLCTM6J6M37,Unicaja Banco,Q20908850,ES0180907000,ES,Madrider Börse,ES,UNI,mehrere im ISIN-Land
549300GKFG0RYRRQ1414,DNB Bank,Q80788,NO0010161896,NO,Osloer Börse,NO,DNB,eindeutig
549300JECLPX13NZLU57,Danske Andelskassers Bank,Q28031941,DK0060299063,DK,Börse Kopenhagen,DK,DAB,eindeutig
549300NYKK9MWM7GGW15,ING-Gruppe,Q645708,NL0011821202,NL,Amsterdamer Börse,NL,INGA,eindeutig
549300Q3OIWRHQUQM052,SpareBank 1 SR-Bank,Q7573553,,,,,,keine isin
549300RG3H390KEL8896,Banca Transilvania,Q806161,ROTLVAACNOR1,RO,Bukarester Börse,RO,TLV,eindeutig
549300SXM92LQ05OJQ76,SpareBank 1 Nord-Norge,Q7573578,NO0006000801,NO,Osloer Börse,NO,NONG,eindeutig
549300TRUWO2CD2G5692,UniCredit,Q45568,IT0005239360,IT,Borsa Italiana,IT,UCG,eindeutig
549300ZHFZ4CSK7VS460,Privredna banka Zagreb,Q7246343,,,,,,keine isin
5967007LIEEXZX51WW28,Sparebanken Øst,Q17082672,,,,,,keine isin
5967007LIEEXZX5PU005,Sparebanken Møre,Q857336,,,,,,keine isin
5UMCZOEYKCVFAW8ZLO05,National Bank of Greece,Q1816028,GRS003003019,GR,Athener Börse,GR,ETE,eindeutig
