currency,refdate,rate_to_eur
BGN,2025-06-30,0.5113
BGN,2025-09-30,0.5113
CHF,2025-12-31,1.0737
CZK,2025-06-30,0.04041
CZK,2025-12-31,0.04126
CZK,2026-03-31,0.04079
DKK,2025-06-30,0.13403
DKK,2025-09-30,0.13396
DKK,2025-12-31,0.13389
DKK,2026-03-31,0.13382
EUR,2025-06-30,1.0
EUR,2025-09-30,1.0
EUR,2025-12-31,1.0
EUR,2026-03-31,1.0
HUF,2025-09-30,0.00256
HUF,2025-12-31,0.0026
ISK,2026-03-31,0.00696
NOK,2025-06-30,0.0845
NOK,2025-12-31,0.08444
PLN,2025-06-30,0.23572
PLN,2025-09-30,0.2342
PLN,2025-12-31,0.23691
RON,2025-09-30,0.19683
RON,2025-12-31,0.1962
SEK,2025-06-30,0.08971
SEK,2025-09-30,0.09044
SEK,2025-12-31,0.09241
SEK,2026-03-31,0.09138
