lei,name,land,ezb_kopf_lei,ezb_kopf_name,gleif_kopf_lei,gleif_kopf_name,ezb_kopf_ist_selbst,gleif_kopf_in_ezb_liste,urteil
1VUV7VQFKUOQSJ21A208,Crédit Agricole Corporate and Investment Bank,France,969500TJ5KRTCJQWXH05,Crédit Agricole S.A.,969500TJ5KRTCJQWXH05,Crédit Agricole S.A.,nein,ja,identisch
213800JD2L89GGG7LF07,Luminor Bank AS,Estonia,213800RZWHE5EUX9R444,Luminor Holding AS,213800RZWHE5EUX9R444,Luminor Holding AS,nein,ja,identisch
22210058UCKT3BJTCN24,OTP Luxembourg S.à.r.l.,Luxembourg,22210058UCKT3BJTCN24,OTP Luxembourg S.à.r.l.,529900W3MOO00A18X956,,ja,nein,ssm_schnitt
2G5BKIC2CB69PRJH1W31,Barclays Bank Ireland plc,Ireland,2G5BKIC2CB69PRJH1W31,Barclays Bank Ireland plc,213800LBQA1Y9L22JB70,,ja,nein,ssm_schnitt
2ZCNRR8UK83OBTEK2170,UniCredit Bank GmbH,Germany,549300TRUWO2CD2G5692,UniCredit S.p.A.,549300TRUWO2CD2G5692,UniCredit S.p.A.,nein,ja,identisch
3157002JBFAI478MD587,"Tatra banka, a.s.",Slovakia,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,nein,ja,identisch
3TK20IVIUJ8J3ZU0QE75,ING Bank N.V.,Netherlands,549300NYKK9MWM7GGW15,ING Groep N.V.,549300NYKK9MWM7GGW15,ING Groep N.V.,nein,ja,identisch
485100FX5Y9YLAQLNP12,Revolut Holdings Europe UAB,Lithuania,485100FX5Y9YLAQLNP12,Revolut Holdings Europe UAB,213800UIKMYZWWQS5E02,,ja,nein,ssm_schnitt
5299000PCY1EP8QJFV48,United Bulgarian Bank AD,Bulgaria,213800X3Q9LSAKRUWY91,KBC Group NV,213800X3Q9LSAKRUWY91,KBC Group NV,nein,ja,identisch
5299002GPCR602QYJC04,KfW Beteiligungsholding GmbH,Germany,5299002GPCR602QYJC04,KfW Beteiligungsholding GmbH,549300GDPG70E3MBBU98,,ja,nein,ssm_schnitt
5299007QVIQ7IO64NX37,UBS Europe SE,Germany,5299007QVIQ7IO64NX37,UBS Europe SE,549300SZJ9VS8SGXAN81,,ja,nein,ssm_schnitt
