lei,scope,refPeriod,bank_name,country,institution_type,klasse_code,cell_row,pd_band_von,pd_band_bis,ebene,pd_einheit,pd_pct,pd_im_band,lgd_pct,exposure_eur,rwea_eur,risikogewicht,wesentlich,dichte_gemeldet,dichte_stimmt
0W2PZJM8XOY22M4GG883,CON,2025-06-30,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,qEEA=eba_qAE:qx2012,0010,0.0,0.15,grob,bruch,0.0815,ja,39.811,8406970661.0,1912061677.23,0.227438,ja,0.227438,ja
0W2PZJM8XOY22M4GG883,CON,2025-06-30,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,qEEA=eba_qAE:qx2012,0020,0.0,0.1,fein,bruch,0.0663,ja,39.726,6234011687.43,1262802477.79,0.202567,ja,0.202567,ja
0W2PZJM8XOY22M4GG883,CON,2025-06-30,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,qEEA=eba_qAE:qx2012,0030,0.1,0.15,fein,bruch,0.125,ja,40.0548,2172958973.57,649259199.45,0.29879,ja,0.29879,ja
0W2PZJM8XOY22M4GG883,CON,2025-06-30,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,qEEA=eba_qAE:qx2012,0040,0.15,0.25,beide,bruch,0.187,ja,40.6542,1427458320.15,564839844.33,0.395696,ja,0.395696,ja
0W2PZJM8XOY22M4GG883,CON,2025-06-30,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,qEEA=eba_qAE:qx2012,0050,0.25,0.5,beide,bruch,0.3332,ja,38.168,1164299629.5,564824815.33,0.48512,ja,0.48512,ja
0W2PZJM8XOY22M4GG883,CON,2025-06-30,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,qEEA=eba_qAE:qx2012,0060,0.5,0.75,beide,bruch,0.622,ja,38.2978,305656460.36,199197646.86,0.651704,ja,0.651704,ja
0W2PZJM8XOY22M4GG883,CON,2025-06-30,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,qEEA=eba_qAE:qx2012,0070,0.75,2.5,grob,bruch,1.0947,ja,42.9192,113910970.19,118909293.98,1.043879,ja,1.043879,ja
0W2PZJM8XOY22M4GG883,CON,2025-06-30,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,qEEA=eba_qAE:qx2012,0080,0.75,1.75,fein,bruch,0.9597,ja,43.3308,99835216.46,104434612.79,1.04607,ja,1.04607,ja
0W2PZJM8XOY22M4GG883,CON,2025-06-30,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,qEEA=eba_qAE:qx2012,0090,1.75,2.5,fein,bruch,2.0523,ja,40.0,14075753.73,14474681.19,1.028341,ja,1.028341,ja
0W2PZJM8XOY22M4GG883,CON,2025-06-30,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,qEEA=eba_qAE:qx2012,0100,2.5,10.0,grob,bruch,3.1704,ja,40.0,910570.25,1055749.75,1.159438,nein,1.159438,ja
