lei,scope,refPeriod,bank_name,country,institution_type,szenario,szenario_label,delta_eve_eur,delta_nii_eur,tier1_eur,quote_eve,quote_nii,sot_eve,sot_nii,vorbehalt
0W2PZJM8XOY22M4GG883,CON,2025-06-30,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,0010,Parallelverschiebung hoch,-59805426,157582921,6700972815,-0.0089,0.0235,nein,nein,
0W2PZJM8XOY22M4GG883,CON,2025-06-30,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,0020,Parallelverschiebung runter,-45224537,-176820591,6700972815,-0.0067,-0.0264,nein,nein,
0W2PZJM8XOY22M4GG883,CON,2025-06-30,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,0030,Steepener,24105528,,6700972815,0.0036,,nein,,
0W2PZJM8XOY22M4GG883,CON,2025-06-30,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,0040,Flattener,-58075013,,6700972815,-0.0087,,nein,,
0W2PZJM8XOY22M4GG883,CON,2025-06-30,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,0050,kurze Zinsen hoch,-59833304,,6700972815,-0.0089,,nein,,
0W2PZJM8XOY22M4GG883,CON,2025-06-30,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,0060,kurze Zinsen runter,25191568,,6700972815,0.0038,,nein,,
0W2PZJM8XOY22M4GG883,CON,2025-12-31,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,0010,Parallelverschiebung hoch,-64609360,161414455,7082381260,-0.0091,0.0228,nein,nein,
0W2PZJM8XOY22M4GG883,CON,2025-12-31,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,0020,Parallelverschiebung runter,-76207769,-170356636,7082381260,-0.0108,-0.0241,nein,nein,
0W2PZJM8XOY22M4GG883,CON,2025-12-31,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,0030,Steepener,35132416,,7082381260,0.0050,,nein,,
0W2PZJM8XOY22M4GG883,CON,2025-12-31,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,0040,Flattener,-87646111,,7082381260,-0.0124,,nein,,
0W2PZJM8XOY22M4GG883,CON,2025-12-31,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,0050,kurze Zinsen hoch,-89139022,,7082381260,-0.0126,,nein,,
0W2PZJM8XOY22M4GG883,CON,2025-12-31,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,0060,kurze Zinsen runter,31901211,,7082381260,0.0045,,nein,,
