lei,direct_parent_lei,direct_parent_status,direct_parent_reason,ultimate_parent_lei,ultimate_parent_status,ultimate_parent_reason
097900BEF50000000569,,exception,NO_KNOWN_PERSON,,exception,NO_KNOWN_PERSON
0W2PZJM8XOY22M4GG883,,exception,NO_KNOWN_PERSON,,exception,NO_KNOWN_PERSON
0W5QHUNYV4W7GJO62R27,,exception,NON_CONSOLIDATING,,exception,NON_CONSOLIDATING
1FOLRR5RWTWWI397R131,,exception,NON_CONSOLIDATING,,exception,NON_CONSOLIDATING
1VUV7VQFKUOQSJ21A208,969500TJ5KRTCJQWXH05,parent,,969500TJ5KRTCJQWXH05,parent,
2138002PVBMEHILJ1340,JBONEPAGQXF4QP29B387,parent,,353800V2V8PUY9TK3E06,parent,
21380033CFFM2V1ZCK65,,exception,NO_KNOWN_PERSON,,exception,NO_KNOWN_PERSON
2138003IGGAUDLPNC244,,exception,NON_CONSOLIDATING,,exception,NON_CONSOLIDATING
2138003Z5ZVN16GFYV70,,exception,NON_CONSOLIDATING,,exception,NON_CONSOLIDATING
2138004FIUXU3B2MR537,213800SK4KN8HTCNPB38,parent,,213800SK4KN8HTCNPB38,parent,
21380057HUGFEAF25W84,,exception,NON_CONSOLIDATING,,exception,NON_CONSOLIDATING
2138005M92IEIQVEL297,,exception,NO_KNOWN_PERSON,,exception,NO_KNOWN_PERSON
2138005MGIT3X9ZTMP37,,exception,NO_KNOWN_PERSON,,exception,NO_KNOWN_PERSON
2138007F5HA5FFJROB80,,exception,NON_CONSOLIDATING,,exception,NON_CONSOLIDATING
2138007JGI1M5YF7FJ53,,exception,NATURAL_PERSONS,,exception,NATURAL_PERSONS
2138007WKF5CM2EUM824,,exception,NON_CONSOLIDATING,,exception,NON_CONSOLIDATING
213800984CWACNBY8F31,,exception,NO_KNOWN_PERSON,,exception,NO_KNOWN_PERSON
2138009Y59EAR7H1UO97,,exception,NON_CONSOLIDATING,,exception,NON_CONSOLIDATING
213800A1O379I6DMCU10,,exception,NON_CONSOLIDATING,,exception,NON_CONSOLIDATING
213800C78WI8VFJCYR09,,exception,NO_KNOWN_PERSON,,exception,NO_KNOWN_PERSON
213800CBW4NPFP73ZK64,,exception,NON_CONSOLIDATING,,exception,NON_CONSOLIDATING
213800CQ92347ZCS9V73,,exception,NON_CONSOLIDATING,,exception,NON_CONSOLIDATING
213800DBQIB6VBNU5C64,,exception,NO_KNOWN_PERSON,,exception,NO_KNOWN_PERSON
213800GO21RWIB6O9Q29,,exception,NO_KNOWN_PERSON,,exception,NO_KNOWN_PERSON
213800HDJ876ACJXXD05,,exception,NON_CONSOLIDATING,,exception,NON_CONSOLIDATING
213800HYE2VYP5WKFI43,,exception,NON_CONSOLIDATING,,exception,NON_CONSOLIDATING
213800JD2L89GGG7LF07,213800RZWHE5EUX9R444,parent,,213800RZWHE5EUX9R444,parent,
213800JF3JFF6MMR2P36,,exception,NATURAL_PERSONS,,exception,NATURAL_PERSONS
213800KGF4EFNUQKAT69,,exception,NON_CONSOLIDATING,,exception,NON_CONSOLIDATING
213800KOJ5JSZ6ID2R91,,exception,NATURAL_PERSONS,,exception,NATURAL_PERSONS
213800KYUPNOQPAQL758,,exception,NATURAL_PERSONS,,exception,NATURAL_PERSONS
213800M7T3CYVZ3ZRT12,,exception,NO_KNOWN_PERSON,,exception,NO_KNOWN_PERSON
213800MLL4APN9UP1J53,,exception,NATURAL_PERSONS,,exception,NATURAL_PERSONS
213800P1P13ABO5R9V78,54930005YI2KEYKV5523,parent,,54930005YI2KEYKV5523,parent,
213800RENLNKMWZV8767,,exception,NATURAL_PERSONS,,exception,NATURAL_PERSONS
213800RZWHE5EUX9R444,,exception,NON_CONSOLIDATING,,exception,NON_CONSOLIDATING
213800SGT5S6EKUW2987,74370078YLPFWHE33716,parent,,74370078YLPFWHE33716,parent,
213800TC9PZRBHMJW403,,exception,NON_CONSOLIDATING,,exception,NON_CONSOLIDATING
213800TKOS7J5UA3ZI07,213800RRX1TYUVV2R518,parent,,5493001JH4LYPQTBQP79,parent,
213800UIIZ6YSEQB5S26,529900G3SW56SHYNPR95,parent,,529900G3SW56SHYNPR95,parent,
213800UK7516IBWZO445,,exception,NON_CONSOLIDATING,,exception,NON_CONSOLIDATING
213800UYAHIRLZ4NSN67,,exception,NO_KNOWN_PERSON,,exception,NO_KNOWN_PERSON
213800X3Q9LSAKRUWY91,,exception,NON_CONSOLIDATING,,exception,NON_CONSOLIDATING
213800ZOI1EW481WPV90,,exception,NON_CONSOLIDATING,,exception,NON_CONSOLIDATING
22210058UCKT3BJTCN24,,exception,NO_LEI,529900W3MOO00A18X956,parent,
222100PG81CES7H3HZ28,549300BNKM71X644N307,parent,,549300BNKM71X644N307,parent,
222100V03Y766EM5TZ83,5493006KMX1VFTPYPW14,parent,,5493006KMX1VFTPYPW14,parent,
