entityID,refPeriod,framework_version,template_id,template_reported,datapoint_code,cell_row,cell_col,fact_value,baseCurrency,decimalsMonetary
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,00.02,True,dp3530985,0030,0010,not relavant for Deka (no insurance participations),iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,00.02,True,dp3530986,0040,0010,not relevant for Deka,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,00.02,True,dp3531024,0340,0010,not relevant for Deka (no internal model for CCR),iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,00.02,True,dp3531027,0370,0010,not relevant for Deka (no securisation exposure in the trading book),iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,00.02,True,dp3531028,0380,0010,not relevant for Deka (only investor positions),iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,00.02,True,dp3531030,0400,0010,not relevant for Deka (only investor positions),iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,02.00,True,dp3526555,0010,0040,1.4,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,02.00,True,dp3526556,0020,0040,1.4,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,02.00,True,dp3526557,0030,0040,1.4,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,02.00,True,dp456098,0090,0060,3585101016.76,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,02.00,True,dp456103,0030,0060,4147790728.53,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,02.00,True,dp456106,0110,0060,7732891745.29,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,02.00,True,dp456123,0090,0050,46723988068.56,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,02.00,True,dp456128,0030,0050,10900426117.68,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,02.00,True,dp456131,0110,0050,57624414186.24,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,02.00,True,dp456176,0090,0070,3585101016.76,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,02.00,True,dp456181,0030,0070,4147790728.53,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,02.00,True,dp456184,0110,0070,7732891745.29,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,02.00,True,dp457008,0030,0020,1979022188.68,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,02.00,True,dp457459,0030,0010,977282980.16,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,02.00,True,dp457840,0040,0040,1.4,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,02.00,True,dp457924,0090,0080,607036463.02,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,02.00,True,dp457929,0030,0080,940060088.86,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,02.00,True,dp457932,0110,0080,1547096551.88,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3526977,0020,0120,206403359.17,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3526980,0060,0120,1700454027.29,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3526982,0100,0120,13048.79,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3526983,0020,0010,206403359.17,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3526995,0100,0050,2369.98,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3527009,0070,0090,13013948.73,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3527011,0100,0090,3888.8,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3527032,0100,0110,6677.47,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3527038,0100,0100,0.88,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3527649,0110,0090,13017837.53,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3527737,0110,0100,0.88,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3527738,0110,0110,6677.47,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3527740,0110,0050,2369.98,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3527741,0110,0060,178698372.23,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3527742,0110,0010,2047118513.56,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3528245,0110,0120,2238843771.65,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3528271,0030,0120,140261015.45,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3528293,0070,0120,191712320.96,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3528299,0030,0010,140261015.45,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3528302,0060,0010,1700454027.29,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3528309,0100,0010,111.65,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,dp3528312,0070,0060,178698372.23,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291775,0080,0030,1,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291775,0080,0030,1,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291776,0020,0030,4,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291776,0020,0030,3,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291776,0020,0030,7,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291776,0020,0030,208,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3291777,0030,0030,1,iso4217:EUR,-6
