entityID,lei,scope,refPeriod,bank_name,country,institution_type,deklaration,n_deklariert,n_offengelegt,n_ausgelassen,quote_roh,n_erwartbar,n_gegen_erwartung,quote_gegen_erwartung,n_art432_2,n_uneinheitlich,n_untypisch,n_false_mit_daten,n_true_ohne_daten,n_signatur_geteilt,templates_gegen_erwartung
rs:0W2PZJM8XOY22M4GG883.CON,0W2PZJM8XOY22M4GG883,CON,2025-06-30,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,stimmig,94,51,43,0.4574,22,0,0.0,0,38,34,0,0,0,
rs:0W2PZJM8XOY22M4GG883.CON,0W2PZJM8XOY22M4GG883,CON,2025-09-30,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,stimmig,55,7,48,0.8727,3,0,0.0,0,6,46,0,0,0,
rs:0W2PZJM8XOY22M4GG883.CON,0W2PZJM8XOY22M4GG883,CON,2025-12-31,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,stimmig,86,63,23,0.2674,38,0,0.0,0,44,4,0,0,0,
rs:0W2PZJM8XOY22M4GG883.CON,0W2PZJM8XOY22M4GG883,CON,2026-03-31,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,stimmig,54,8,46,0.8519,3,0,0.0,0,6,45,0,0,0,
rs:0W5QHUNYV4W7GJO62R27.CON,0W5QHUNYV4W7GJO62R27,CON,2025-12-31,HYPO TIROL BANK AG,Austria,Other highest EEA,stimmig,86,49,37,0.4302,11,0,0.0,0,45,30,0,0,0,
rs:1FOLRR5RWTWWI397R131.IND,1FOLRR5RWTWWI397R131,IND,2025-06-30,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,stimmig,86,36,50,0.5814,21,1,0.0476,0,36,29,0,1,0,42.00
rs:1FOLRR5RWTWWI397R131.IND,1FOLRR5RWTWWI397R131,IND,2025-09-30,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,stimmig,55,6,49,0.8909,3,0,0.0,0,6,46,0,0,0,
rs:1FOLRR5RWTWWI397R131.IND,1FOLRR5RWTWWI397R131,IND,2025-12-31,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,stimmig,91,49,42,0.4615,42,5,0.119,2,45,4,0,2,0,03.00|30.02|30.03|42.00|64.01
rs:1FOLRR5RWTWWI397R131.IND,1FOLRR5RWTWWI397R131,IND,2026-03-31,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,stimmig,54,6,48,0.8889,3,0,0.0,0,6,45,0,0,0,
rs:2138002PVBMEHILJ1340.IND,2138002PVBMEHILJ1340,IND,2025-12-31,Mitsubishi UFJ Investor Services and Banking (Luxembourg) S.A.,Luxembourg,Other highest EEA,stimmig,71,6,65,0.9155,7,1,0.1429,0,34,30,0,0,14,80.00
rs:21380033CFFM2V1ZCK65.CON,21380033CFFM2V1ZCK65,CON,2025-12-31,SPARKASSE (HOLDINGS) MALTA LIMITED,Malta,Other highest EEA,stimmig,84,18,66,0.7857,10,2,0.2,0,44,30,0,2,0,80.00|90.01
rs:2138004FIUXU3B2MR537.CON,2138004FIUXU3B2MR537,CON,2025-06-30,"Caixa Económica Montepio Geral, Caixa Económica Bancária, S.A.",Portugal,Large highest EEA,stimmig,92,34,58,0.6304,21,0,0.0,0,37,34,0,1,0,
rs:2138004FIUXU3B2MR537.CON,2138004FIUXU3B2MR537,CON,2025-09-30,"Caixa Económica Montepio Geral, Caixa Económica Bancária, S.A.",Portugal,Large highest EEA,stimmig,55,3,52,0.9455,3,0,0.0,0,6,46,0,0,0,
rs:2138004FIUXU3B2MR537.CON,2138004FIUXU3B2MR537,CON,2026-03-31,"Caixa Económica Montepio Geral, Caixa Económica Bancária, S.A.",Portugal,Large highest EEA,stimmig,62,4,58,0.9355,3,0,0.0,0,6,45,0,0,0,
rs:21380057HUGFEAF25W84.CON,21380057HUGFEAF25W84,CON,2025-06-30,NOBA Group,Sweden,Other highest EEA,stimmig,55,1,54,0.9818,1,0,0.0,0,0,54,0,0,0,
rs:21380057HUGFEAF25W84.CON,21380057HUGFEAF25W84,CON,2025-12-31,NOBA Group,Sweden,Other highest EEA,stimmig,78,43,35,0.4487,9,0,0.0,0,39,30,0,0,0,
rs:2138005M92IEIQVEL297.CON,2138005M92IEIQVEL297,CON,2025-06-30,AS Inbank,Estonia,Other highest EEA,stimmig,63,4,59,0.9365,1,0,0.0,0,0,54,0,0,0,
rs:2138005M92IEIQVEL297.CON,2138005M92IEIQVEL297,CON,2025-12-31,AS Inbank,Estonia,Other highest EEA,stimmig,78,42,36,0.4615,9,0,0.0,0,39,30,0,1,0,
rs:2138005MGIT3X9ZTMP37.IND,2138005MGIT3X9ZTMP37,IND,2025-12-31,Rønde Sparekasse,Denmark,Other highest EEA,stimmig,84,22,62,0.7381,10,0,0.0,0,44,30,0,9,0,
rs:2138007F5HA5FFJROB80.CON,2138007F5HA5FFJROB80,CON,2025-12-31,"Akciju sabiedrība ""Rietumu Banka""",Latvia,Other highest EEA,stimmig,76,17,59,0.7763,8,0,0.0,0,38,30,0,0,0,
rs:2138007JGI1M5YF7FJ53.CON,2138007JGI1M5YF7FJ53,CON,2025-12-31,Frøs Sparekasse,Denmark,Other highest EEA,stimmig,84,22,62,0.7381,10,0,0.0,0,44,30,0,8,0,
rs:2138007WKF5CM2EUM824.IND,2138007WKF5CM2EUM824,IND,2025-12-31,"Citfin, spořitelní družstvo",Czech,Other highest EEA,stimmig,76,13,63,0.8289,8,0,0.0,0,38,30,0,2,0,
rs:213800984CWACNBY8F31.IND,213800984CWACNBY8F31,IND,2025-12-31,Sparekassen for Nr. Nebel og Omegn,Denmark,Other highest EEA,stimmig,84,22,62,0.7381,10,0,0.0,0,44,30,0,8,0,
rs:2138009Y59EAR7H1UO97.CON,2138009Y59EAR7H1UO97,CON,2025-06-30,"Akciju sabiedrība ""Citadele banka""",Latvia,Large highest EEA,stimmig,94,35,59,0.6277,22,1,0.0455,0,38,34,0,0,7,22.01
rs:2138009Y59EAR7H1UO97.CON,2138009Y59EAR7H1UO97,CON,2025-09-30,"Akciju sabiedrība ""Citadele banka""",Latvia,Large highest EEA,stimmig,55,3,52,0.9455,3,0,0.0,0,6,46,0,0,0,
rs:2138009Y59EAR7H1UO97.CON,2138009Y59EAR7H1UO97,CON,2025-12-31,"Akciju sabiedrība ""Citadele banka""",Latvia,Large highest EEA,stimmig,99,54,45,0.4545,44,3,0.0682,0,49,6,0,3,0,05.00|08.00|22.01
rs:2138009Y59EAR7H1UO97.CON,2138009Y59EAR7H1UO97,CON,2026-03-31,"Akciju sabiedrība ""Citadele banka""",Latvia,Large highest EEA,stimmig,54,3,51,0.9444,3,0,0.0,0,6,45,0,0,0,
rs:213800A1O379I6DMCU10.IND,213800A1O379I6DMCU10,IND,2025-06-30,APS BANK P.L.C.,Malta,Large highest EEA,stimmig,94,29,65,0.6915,22,2,0.0909,0,38,34,0,0,0,02.00|43.00
rs:213800A1O379I6DMCU10.IND,213800A1O379I6DMCU10,IND,2025-09-30,APS BANK P.L.C.,Malta,Large highest EEA,stimmig,55,4,51,0.9273,3,0,0.0,0,6,46,0,0,0,
rs:213800A1O379I6DMCU10.IND,213800A1O379I6DMCU10,IND,2025-12-31,APS BANK P.L.C.,Malta,Large highest EEA,stimmig,99,43,56,0.5657,44,8,0.1818,1,49,6,0,0,0,02.00|03.00|05.00|08.00|10.00|20.02|30.02|43.00
rs:213800A1O379I6DMCU10.IND,213800A1O379I6DMCU10,IND,2026-03-31,APS BANK P.L.C.,Malta,Large highest EEA,stimmig,54,3,51,0.9444,3,0,0.0,0,6,45,0,0,0,
