gruppe,groesse,institute,kohaesion,traegerschaft,traeger,laender_gemeinsam,laender,heimatlaender,grenzueberschreitend,lei,scope,refPeriod,bank_name,country,institution_type,n_laender,x28_anteil,vektor_unvollstaendig
1,20,13,0.8270,unabhaengig,10,6,BE|DE|FR|IE|LU|SE,Germany,nein,0W2PZJM8XOY22M4GG883,CON,2025-06-30,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,30,0.5299,ja
1,20,13,0.8270,unabhaengig,10,6,BE|DE|FR|IE|LU|SE,Germany,nein,0W2PZJM8XOY22M4GG883,CON,2025-12-31,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,33,0.5310,ja
1,20,13,0.8270,unabhaengig,10,6,BE|DE|FR|IE|LU|SE,Germany,nein,39120001JPAYYPDRNN92,IND,2025-12-31,Deutsche Bausparkasse Badenia Aktiengesellschaft,Germany,Other highest EEA,36,0.0000,nein
1,20,13,0.8270,unabhaengig,10,6,BE|DE|FR|IE|LU|SE,Germany,nein,391200EEGLNXBBCVKC73,CON,2025-12-31,Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG,Germany,Large highest EEA,157,0.0000,nein
1,20,13,0.8270,unabhaengig,10,6,BE|DE|FR|IE|LU|SE,Germany,nein,5299007S3UH5RKUYDA52,IND,2025-06-30,DEUTSCHE APOTHEKER- UND ÄRZTEBANK EG,Germany,Large highest EEA,60,0.0000,nein
1,20,13,0.8270,unabhaengig,10,6,BE|DE|FR|IE|LU|SE,Germany,nein,5299007S3UH5RKUYDA52,IND,2025-12-31,DEUTSCHE APOTHEKER- UND ÄRZTEBANK EG,Germany,Large highest EEA,61,0.0000,nein
1,20,13,0.8270,unabhaengig,10,6,BE|DE|FR|IE|LU|SE,Germany,nein,529900HNOAA1KXQJUQ27,CON,2025-12-31,"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main",Germany,Large highest EEA,128,0.0021,nein
1,20,13,0.8270,unabhaengig,10,6,BE|DE|FR|IE|LU|SE,Germany,nein,529900JZTYE3W7WQH904,CON,2025-06-30,HASPA Finanzholding,Germany,Large highest EEA,25,0.0093,nein
1,20,13,0.8270,unabhaengig,10,6,BE|DE|FR|IE|LU|SE,Germany,nein,529900JZTYE3W7WQH904,CON,2025-12-31,HASPA Finanzholding,Germany,Large highest EEA,29,0.0000,nein
1,20,13,0.8270,unabhaengig,10,6,BE|DE|FR|IE|LU|SE,Germany,nein,529900JZXXU699FCKK89,IND,2025-06-30,Bausparkasse Schwäbisch Hall Aktiengesellschaft - Bausparkasse der Volksbanken und Raiffeisenbanken,Germany,Large subsidiaries,61,0.0000,nein
1,20,13,0.8270,unabhaengig,10,6,BE|DE|FR|IE|LU|SE,Germany,nein,529900JZXXU699FCKK89,IND,2025-12-31,Bausparkasse Schwäbisch Hall Aktiengesellschaft - Bausparkasse der Volksbanken und Raiffeisenbanken,Germany,Large subsidiaries,64,0.0000,nein
1,20,13,0.8270,unabhaengig,10,6,BE|DE|FR|IE|LU|SE,Germany,nein,529900K16YGKC8BES892,IND,2025-06-30,Deutsche Kreditbank Aktiengesellschaft,Germany,Large subsidiaries,169,0.0000,nein
1,20,13,0.8270,unabhaengig,10,6,BE|DE|FR|IE|LU|SE,Germany,nein,529900K16YGKC8BES892,IND,2025-12-31,Deutsche Kreditbank Aktiengesellschaft,Germany,Large subsidiaries,169,0.0000,nein
1,20,13,0.8270,unabhaengig,10,6,BE|DE|FR|IE|LU|SE,Germany,nein,529900KRVTRP5RWP9K95,CON,2025-12-31,Santander Consumer Holding GmbH,Germany,Large subsidiaries,11,0.0009,nein
1,20,13,0.8270,unabhaengig,10,6,BE|DE|FR|IE|LU|SE,Germany,nein,529900S1KHKOEQL5CK20,IND,2025-12-31,Wüstenrot Bausparkasse Aktiengesellschaft,Germany,Large highest EEA,49,0.0000,nein
1,20,13,0.8270,unabhaengig,10,6,BE|DE|FR|IE|LU|SE,Germany,nein,5493007S4JE930SIUE86,CON,2025-06-30,ING Holding Deutschland GmbH,Germany,Large subsidiaries,110,0.0000,nein
1,20,13,0.8270,unabhaengig,10,6,BE|DE|FR|IE|LU|SE,Germany,nein,5493007S4JE930SIUE86,CON,2025-12-31,ING Holding Deutschland GmbH,Germany,Large subsidiaries,112,0.0000,nein
1,20,13,0.8270,unabhaengig,10,6,BE|DE|FR|IE|LU|SE,Germany,nein,GTQYZJON3I7SXRNJTT73,IND,2025-12-31,BSK 1818 AG,Germany,Large subsidiaries,157,0.0000,nein
1,20,13,0.8270,unabhaengig,10,6,BE|DE|FR|IE|LU|SE,Germany,nein,VDYMYTQGZZ6DU0912C88,CON,2025-06-30,Bayerische Landesbank,Germany,Large highest EEA,27,0.0895,nein
