lei,bank_name,country,n_hoch,n_findings,n_einreichungen,templates_hoch
JLS56RAMYQZECFUF2G44,ING Belgie,Belgium,276,458,4,04.00.A|26.00.A|27.02.A
549300Q3OIWRHQUQM052,SpareBank 1 Sør-Norge,Norway,86,315,9,24.00|26.00.A|26.01|29.00|42.00.B|90.01
BFXS5XCH7N0Y05NIXW11,ABN AMRO Bank N.V.,Netherlands,80,357,18,03.00|24.00|25.00|26.00.A|42.00.B|71.00
549300URJH9VSI58CS32,"Banco Santander Totta, SA",Portugal,71,94,13,41.00|66.01.A
PQOH26KWDF7CG10L6792,Erste Group Bank AG,Austria,62,63,8,41.00|45.00.A
724500A1FNICHSDF2I11,ASN Bank N.V.,Netherlands,54,80,15,26.00.A|26.00.B|60.00.A
JU1U6S0DG9YLT7N8ZV32,"Banco Comercial Português, SA",Portugal,42,109,14,04.00.A
529900RWC8ZYB066JF16,Bank of Valletta Plc,Malta,40,84,14,43.00.A|43.00.B
213800DBQIB6VBNU5C64,Alpha Bank S.A.,Greece,38,48,12,23.00|25.00|45.00.A
529900JZTYE3W7WQH904,HASPA Finanzholding,Germany,38,56,16,24.00|30.01|41.00|42.00.B|45.00.A|60.00.A
529900I1UZV70CZRAU55,Raiffeisenbank Austria d.d.,Croatia,34,59,14,21.01.A|27.02.A|30.01|30.05.A|30.05.B
5UMCZOEYKCVFAW8ZLO05,"National Bank of Greece, S.A.",Greece,28,32,15,42.00.B|61.00|90.01|91.00.A
549300SXM92LQ05OJQ76,Sparebank 1 Nord-Norge SPA,Norway,27,42,4,18.01.A|26.00.A|26.00.B|61.00
NICH5Q04ADUV9SN3Q390,BRED - Banque populaire,France,26,44,7,21.01.D|21.02|67.01.A
529900RQOBT3ZJMDRK43,Bank Frick AG,Liechtenstein,22,31,3,61.00|66.01.A
259400WNAOMT2E4OIS38,NEST BANK S.A.,Poland,21,28,4,61.00|66.01.A
95980020140005658381,"Aresbank, S.A.",Spain,20,25,5,61.00|66.01.A|67.01.A|74.00.F
3TK20IVIUJ8J3ZU0QE75,ING Bank N.V.,Netherlands,19,27,6,19.01
549300XWJHRKLHU2PS28,ERSTE csoport,Hungary,16,52,9,26.00.A|26.00.B
5299005UJX6K7BQKV086,OTP banka d.d.,Croatia,15,16,9,61.00
VWMYAEQSTOPNV0SUGU82,"Bankinter, S.A.",Spain,14,39,13,45.00.A|86.00
529900FU4WJ2XT7BVE31,LBS Landesbausparkasse Süd,Germany,10,10,2,61.00
529900LKIMB57HKF3545,Bank of China (Europe) S.A,Luxembourg,10,12,4,30.01|61.00|74.00.F
Y28RT6GGYJ696PMW8T44,UniCredit csoport,Hungary,10,15,5,24.00
5493000UPYR7EEHN2R94,"Gorenjska banka d.d., Kranj",Slovenia,9,17,5,24.00
959800VHSP2QBPNRF210,"Bank of Africa Europe, S.A.",Spain,9,10,6,61.00|66.01.A
969500STN7T9MRUMJ267,Bpifrance,France,9,18,10,61.00|74.00.F
KFUXYFTU2LHQFQZDQG45,Kereskedelmi és Hitelbank csoport,Hungary,9,49,14,30.01|41.00
M6AD1Y1KW32H8THQ6F76,Piraeus Financial Holdings,Greece,9,19,7,45.00.A
R7CQUF1DQM73HUTV1078,"Banque et Caisse d´Epargne de l´Etat, Luxembourg",Luxembourg,8,34,15,26.00.B|29.00|42.00.B
2G5BKIC2CB69PRJH1W31,Barclays Bank Ireland plc,Ireland,6,54,17,10.00|67.01.A
529900HNOAA1KXQJUQ27,"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main",Germany,6,20,21,21.01.A|41.00
549300IQZVZ949N37S44,Euroclear Holding,Belgium,6,65,14,67.01.A
549300UOX05QGUJJ5707,Stadshypotek AB,Sweden,6,29,8,30.01|90.01
TUKDD90GPC79G1KOE162,Hamburg Commercial Bank AG,Germany,6,24,14,83.01.A|84.01
2138007WKF5CM2EUM824,"Citfin, spořitelní družstvo",Czech,5,6,4,61.00|66.01.A
5493000LM0MZ4JPMGM90,"Santander Consumer Finance, S.A.",Spain,5,14,6,61.00
549300IRGNL8Q3O8Y413,Eurobank Bulgaria,Bulgaria,5,5,5,61.00
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,Germany,4,10,15,04.00.A|45.00.A
259400QHDOZWMJ103294,ALIOR BANK S.A.,Poland,4,8,16,30.02
549300UARE5MHTBUPJ19,Promontoria 19 Coöperatie U.A.,Netherlands,4,4,4,42.00.B
PRNXTNXHBI0TSY1V8P17,Zagrebačka banka d.d.,Croatia,4,52,15,71.00
529900NJYUGRO908KV84,ALLIANZ BULGARIA HOLDING,Bulgaria,3,3,5,30.01
9695007EQZDL89LUW373,Banque Banorient France,France,3,3,5,66.01.A
213800A1O379I6DMCU10,APS BANK P.L.C.,Malta,2,73,17,41.00
22210058UCKT3BJTCN24,OTP Luxembourg S.à r.l.,Luxembourg,2,9,8,30.01
5299004R4U60UMXLSE36,Sparkasse Karlsruhe,Germany,2,3,4,30.01
5299009EHB4RBGMI5828,Raiffeisen Landesbank Kärnten und Revisionsverband eGen,Austria,2,3,9,30.01
549300RG3H390KEL8896,Banca Transilvania,Romania,2,58,16,83.01.C
635400C8EK6DRI12LJ39,Bank of Ireland Group plc,Ireland,2,18,18,41.00
7CUNS533WID6K7DGFI87,"CaixaBank, S.A.",Spain,2,98,17,91.00.B
8156007D348794DB1690,CRÉDIT AGRICOLE ITALIA S.P.A.,Italy,2,14,12,70.00
815600E4E6DCD2D25E30,BANCO BPM SOCIETA' PER AZIONI,Italy,2,16,18,41.00
95980020140005881190,Banco de Crédito Social Cooperativo,Spain,2,8,18,45.00.A
96950041VJ1QP0B69503,Crédit mutuel Arkéa,France,2,193,16,03.00
FR969500TJ5KRTCJQWXH,Groupe Crédit Agricole,France,2,18,3,41.00
N4JDFKKH2FTD8RKFXO39,Crédit industriel et commercial - CIC,France,2,20,11,29.02.A
RRUN0TCQ1K2JDV7MXO75,Oberbank AG,Austria,2,4,9,30.01
213800GO21RWIB6O9Q29,Middelfart Sparekasse,Denmark,1,6,4,91.00.A
213800KGF4EFNUQKAT69,EUROBANK S.A.,Greece,1,2,6,18.01.A
213800MLL4APN9UP1J53,Rise Sparekasse,Denmark,1,1,5,91.00.A
213800TC9PZRBHMJW403,MDB Group Limited,Malta,1,6,13,30.01
254900WR3I1Z9NPC7D84,Kvika banki hf.,Iceland,1,4,4,30.01
2ZCNRR8UK83OBTEK2170,UniCredit Bank GmbH,Germany,1,7,12,66.01.A
529900LU7D396TOO3B50,Raiffeisenverband Salzburg eGen,Austria,1,11,7,30.01
529900PR2ELW8QI1B775,DLR Kredit A/S,Denmark,1,4,6,30.01
549300MM2G2LFEPR2M50,Skandiabanken Aktiebolag (publ),Sweden,1,3,7,30.02
7V6Z97IO7R1SEAO84Q32,SpareBank 1 SMN,Norway,1,1,4,18.01.A
81560027D07F9BDB8436,CASSA DI RISPARMIO DI ASTI S.P.A. (IN FORMA ABBREVIATA BANCA C.R. ASTI S.P.A.),Italy,1,4,4,61.00
959800LQ598A5RQASA61,"Banca March, S.A.",Spain,1,7,9,66.01.A
9845009BE414FBF82130,FESTA HOLDING,Bulgaria,1,1,3,66.01.A
I7ETN0QQO2AHZZGHJ389,KOMMUNALBANKEN AS,Norway,1,5,6,61.00
MMYX0N4ZEZ13Z4XCG897,THE BANK OF NEW YORK MELLON,Belgium,1,15,12,61.00
