institution_type,refPeriod,n,quote_median,quote_q1,quote_q3,quote_gegen_erwartung_median,trea_median_eur,n_deklariert_median,n_offengelegt_median
Large highest EEA,2025-06-30,106,0.5532,0.4681,0.6277,0.0000,30305769986,94,41
Large subsidiaries,2025-06-30,63,0.6709,0.5652,0.9265,0.0000,13256373178,79,26
Other highest EEA,2025-06-30,39,0.9683,0.9365,0.9818,0.0000,3650419369,55,1
Large highest EEA,2025-09-30,90,0.8750,0.8545,0.9273,0.0000,30984595705,55,6
Large subsidiaries,2025-09-30,35,0.8909,0.8727,0.9206,0.0000,24332992114,55,6
Large highest EEA,2025-12-31,121,0.3846,0.2828,0.4535,0.0435,29173611648,99,58
Large subsidiaries,2025-12-31,89,0.5833,0.4227,0.6447,0.0000,11273569436,84,35
Other highest EEA,2025-12-31,221,0.7738,0.5088,0.8553,0.0000,1605253926,76,18
Large highest EEA,2026-03-31,77,0.8704,0.8519,0.9259,0.0000,45567287639,54,7
Large subsidiaries,2026-03-31,32,0.9074,0.8704,0.9259,0.0000,20393668499,54,5
