lei,scope,refPeriod,bank_name,country,institution_type,identified_staff,mitarbeiter,mitarbeiter_stand,wikidata_id,anteil,erwarteter_anteil,faktor_gegen_erwartung,vorbehalt
0W5QHUNYV4W7GJO62R27,CON,2025-12-31,HYPO TIROL BANK AG,Austria,Other highest EEA,55,519,2016-12-31,Q1641284,0.105973,0.094583,1.120,
2138007F5HA5FFJROB80,CON,2025-12-31,"Akciju sabiedrība ""Rietumu Banka""",Latvia,Other highest EEA,71,388,2023-01-01,Q4048312,0.182990,0.109389,1.673,
2138007JGI1M5YF7FJ53,CON,2025-12-31,Frøs Sparekasse,Denmark,Other highest EEA,38,169,2022-01-01,Q12313116,0.224852,0.165739,1.357,
2138009Y59EAR7H1UO97,CON,2025-12-31,"Akciju sabiedrība ""Citadele banka""",Latvia,Large highest EEA,172,1097,2023-01-01,Q14239556,0.156791,0.065060,2.410,
213800GO21RWIB6O9Q29,CON,2025-12-31,Middelfart Sparekasse,Denmark,Other highest EEA,27,372,2022-01-01,Q12327047,0.072581,0.111717,0.650,rem_befund
213800JF3JFF6MMR2P36,CON,2025-12-31,Fynske Bank A/S,Denmark,Other highest EEA,20,190,2022-01-01,Q16323595,0.105263,0.156313,0.673,
213800RENLNKMWZV8767,CON,2025-12-31,Lollands Bank A/S,Denmark,Other highest EEA,17,119,2022-01-01,Q12324823,0.142857,0.197509,0.723,
213800UYAHIRLZ4NSN67,IND,2025-12-31,Lån & Spar Bank A/S,Denmark,Other highest EEA,31,479,2022-01-01,Q12325311,0.064718,0.098453,0.657,
213800X3Q9LSAKRUWY91,CON,2025-12-31,KBC Groupe,Belgium,Large highest EEA,492,36030,2016-01-01,Q29560723,0.013655,0.011355,1.203,
2534005A84927EKSR789,CON,2025-12-31,Signet Bank AS,Latvia,Other highest EEA,55,149,2023-01-01,Q12103619,0.369128,0.176511,2.091,rem_befund
259400YLRTOBISHBVX41,CON,2025-12-31,ING Bank Slaski S.A.,Poland,Large subsidiaries,137,7215,2025-12-31,Q1410383,0.018988,0.025372,0.748,
31570010000000004460,CON,2025-12-31,Raiffeisenbank a.s.,Czech,Large subsidiaries,58,2966,2019-12-31,Q24282825,0.019555,0.039569,0.494,
3157002JBFAI478MD587,CON,2025-12-31,"Tatra banka, a.s.",Slovakia,Large subsidiaries,74,3726,2019-01-01,Q1718069,0.019860,0.035304,0.563,
315700E9POA724IWFP59,CON,2025-12-31,J&amp;T FINANCE GROUP SE,Czech,Large highest EEA,215,3009,2023-01-01,Q20120422,0.071452,0.039286,1.819,
3M5E1GQGKL17HI6CPN30,CON,2025-12-31,Jyske Bank A/S,Denmark,Large highest EEA,140,4000,2024-09-15,Q136672,0.035000,0.034074,1.027,
52990026HQOTT4AJP655,IND,2025-12-31,GLS Gemeinschaftsbank e.G.,Germany,Other highest EEA,49,514,2017-12-31,Q521818,0.095331,0.095042,1.003,
5299007S3UH5RKUYDA52,IND,2025-12-31,DEUTSCHE APOTHEKER- UND ÄRZTEBANK EG,Germany,Large highest EEA,128,2563,2017-01-01,Q1202059,0.049941,0.042566,1.173,
52990089LBIKLBM8YB23,IND,2025-12-31,VR Bank Nord eG,Germany,Other highest EEA,30,310,2016-12-31,Q15133387,0.096774,0.122378,0.791,
5299008I0TO44SUINZ71,IND,2025-12-31,Oldenburgische Landesbank Aktiengesellschaft,Germany,Large highest EEA,133,1486,2025-02-21,Q879591,0.089502,0.055901,1.601,
52990093INYLJNWHQ228,IND,2025-12-31,Volksbank eG - Die Gestalterbank,Germany,Other highest EEA,72,453,2016-12-31,Q18413524,0.158940,0.101238,1.570,
52990096Q5LMCH1WU462,CON,2025-12-31,"Československá obchodná banka, a.s.",Slovakia,Large subsidiaries,65,2563,2016-01-01,Q46078814,0.025361,0.042566,0.596,
529900BI5KIGX6YLX375,CON,2025-12-31,Oberösterreichische Landesbank Aktiengesellschaft,Austria,Other highest EEA,50,404,2016-12-31,Q1566184,0.123762,0.107202,1.154,rem_befund
529900BIK4WRWS06MR52,IND,2025-12-31,Varengold Bank AG,Germany,Other highest EEA,26,74,2014-12-31,Q481206,0.351351,0.250456,1.403,
529900C9OP6Y0DPYSK11,IND,2025-12-31,VR Bank RheinAhrEifel eG,Germany,Other highest EEA,65,500,2017-12-31,Q14544544,0.130000,0.096363,1.349,
529900DSIVJWCUQUMP41,IND,2025-12-31,AKA Ausfuhrkredit-Gesellschaft mit beschränkter Haftung,Germany,Other highest EEA,44,101,2016-01-01,Q294110,0.435644,0.214385,2.032,
529900HNOAA1KXQJUQ27,CON,2025-12-31,"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main",Germany,Large highest EEA,523,24642,,Q524424,0.021224,0.013730,1.546,
529900J35NSHS856UA68,CON,2025-12-31,Sparekassen Kronjylland,Denmark,Other highest EEA,41,800,2022-01-01,Q12336588,0.051250,0.076184,0.673,
529900JRKG8AEYL65326,IND,2025-12-31,VR Bank Heilbronn Schwäbisch Hall eG,Germany,Other highest EEA,60,601,2022-12-31,Q15802937,0.099834,0.087895,1.136,
529900JZXXU699FCKK89,IND,2025-12-31,Bausparkasse Schwäbisch Hall Aktiengesellschaft - Bausparkasse der Volksbanken und Raiffeisenbanken,Germany,Large subsidiaries,96,14033,,Q811873,0.006841,0.018193,0.376,
529900K16YGKC8BES892,IND,2025-12-31,Deutsche Kreditbank Aktiengesellschaft,Germany,Large subsidiaries,209,3731,2018-12-31,Q1203255,0.056017,0.035281,1.588,
529900LIZVBUANJ20E31,IND,2025-12-31,BBBank eG,Germany,Other highest EEA,79,1491,2018-01-01,Q795504,0.052985,0.055807,0.949,
529900OKPZTTS50FXP26,IND,2025-12-31,Advanzia Bank S.A.,Luxembourg,Other highest EEA,20,204,2020-12-31,Q651601,0.098039,0.150855,0.650,
529900P8BY9HZTZ82T70,IND,2025-12-31,Volksbank Kraichgau eG,Germany,Other highest EEA,71,549,2016-12-31,Q15853120,0.129326,0.091963,1.406,
529900PR2ELW8QI1B775,IND,2025-12-31,DLR Kredit A/S,Denmark,Large highest EEA,34,258,2022-01-01,Q30594280,0.131783,0.134144,0.982,rem_befund
529900PUK9IU39VCWK54,IND,2025-12-31,Volksbank in Ostwestfalen eG,Germany,Other highest EEA,57,774,2017-12-31,Q1486563,0.073643,0.077453,0.951,
529900S1KHKOEQL5CK20,IND,2025-12-31,Wüstenrot Bausparkasse Aktiengesellschaft,Germany,Large highest EEA,40,1282,2016-12-31,Q2597130,0.031201,0.060184,0.518,
529900ZMDTSQYEYCKL45,IND,2025-12-31,VR TeilhaberBank Metropolregion Nürnberg eG,Germany,Other highest EEA,46,334,2016-12-31,Q137779141,0.137725,0.117900,1.168,
5493000LM0MZ4JPMGM90,CON,2025-12-31,"Santander Consumer Finance, S.A.",Spain,Large subsidiaries,124,13800,2010-12-31,Q1277898,0.008986,0.018346,0.490,rem_befund
5493002DPKDEC2JN1Y86,CON,2025-12-31,Sparekassen Sjælland-Fyn A/S,Denmark,Other highest EEA,24,546,2022-01-01,Q42143219,0.043956,0.092215,0.477,
5493006QMFDDMYWIAM13,CON,2025-12-31,"Banco Santander, S.A.",Spain,Large highest EEA,1336,194000,2015-01-01,Q806215,0.006887,0.004894,1.407,rem_befund
5493008QRHH0XCLJ4238,CON,2025-12-31,BRD-Groupe Société Générale SA,Romania,Large subsidiaries,65,5854,2023-12-31,Q796927,0.011104,0.028167,0.394,
549300DVPJYGNF2P7B03,CON,2025-12-31,Steiermärkische Bank und Sparkassen Aktiengesellschaft,Austria,Large subsidiaries,186,2380,2016-12-31,Q1555572,0.078151,0.044172,1.769,
549300GKFG0RYRRQ1414,CON,2025-12-31,DNB BANK ASA,Norway,Large highest EEA,206,9020,2019-01-01,Q80788,0.022838,0.022692,1.006,
549300HFEHJOXGE4ZE63,CON,2025-12-31,SFIL S.A.,France,Large highest EEA,57,412,2024-01-01,Q19945263,0.138350,0.106156,1.303,
549300JB1P61FUTPEZ75,CON,2025-12-31,"Všeobecná úverová banka, a.s.",Slovakia,Large subsidiaries,31,3776,http://www,Q12778981,0.008210,0.035070,0.234,
549300JECLPX13NZLU57,CON,2025-12-31,Danske Andelskassers Bank A/S,Denmark,Other highest EEA,24,338,2022-01-01,Q28031941,0.071006,0.117200,0.606,
