lei,scope,refPeriod,bank_name,country,institution_type,trea_eur,lr_exposure_eur,rwa_density,ov1_total_eur,ov1_abweichung,ov1_teile_summe,ov1_teile_stimmt,anteil_kredit,anteil_ccr,anteil_markt,anteil_operationell,kredit_sa_anteil,kredit_irb_anteil,ansatz,skalenverdacht,plausibel
0W2PZJM8XOY22M4GG883,CON,2025-06-30,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,28965357494.21,89166982542.5,0.3248,28965357494.2,0.0,28965357494.21,true,0.4662,0.0584,0.2086,0.2528,0.3155,0.6845,gemischt,false,true
0W2PZJM8XOY22M4GG883,CON,2025-09-30,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,28010431893.42,86232819352.32,0.3248,28010431893.42,0.0,28010431893.41,true,0.466,0.0602,0.1983,0.2614,0.3474,0.6526,gemischt,false,true
0W2PZJM8XOY22M4GG883,CON,2025-12-31,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,28440717025.66,80279725489.8,0.3543,28440717025.66,0.0,28440717025.66,true,0.4544,0.0551,0.1965,0.2776,0.3334,0.6666,gemischt,false,true
0W2PZJM8XOY22M4GG883,CON,2026-03-31,DekaBank Deutsche Girozentrale,Germany,Large highest EEA,29488941474.42,92158135384.33,0.32,29488941474.42,0.0,29488925136.04,true,0.4491,0.0604,0.2072,0.2677,0.3263,0.6737,gemischt,false,true
0W5QHUNYV4W7GJO62R27,CON,2025-12-31,HYPO TIROL BANK AG,Austria,Other highest EEA,3500826623.46,8263098438.8,0.4237,3500826623.84,0.0,3502495045.71,true,0.9025,0.0006,0.0,0.0948,1.0,,SA,unbekannt,true
1FOLRR5RWTWWI397R131,IND,2025-06-30,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,8715622676.79,22940156926.37,0.3799,8715622676.79,0.0,8715622676.79,true,0.9053,0.011,0.0176,0.0449,0.0595,0.8808,gemischt,false,true
1FOLRR5RWTWWI397R131,IND,2025-09-30,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,8997370427.31,22961319109.29,0.3918,8997370427.31,0.0,8997370427.31,true,0.907,0.0109,0.0192,0.0438,0.0558,0.8726,gemischt,false,true
1FOLRR5RWTWWI397R131,IND,2025-12-31,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,9232833994.72,22558557488.01,0.4093,9232833994.72,0.0,9232833994.72,true,0.901,0.0106,0.025,0.0446,0.0641,0.8418,gemischt,false,true
1FOLRR5RWTWWI397R131,IND,2026-03-31,Aktiebolaget Svensk Exportkredit,Sweden,Large highest EEA,9279139243.89,23707628616.96,0.3914,9279139243.89,0.0,9279139243.89,true,0.9122,0.0121,0.0077,0.0438,0.0654,0.8411,gemischt,false,true
2138002PVBMEHILJ1340,IND,2025-12-31,Mitsubishi UFJ Investor Services and Banking (Luxembourg) S.A.,Luxembourg,Other highest EEA,1413538489.1,7673240681.19,0.1842,1413538489.1,0.0,1413538489.1,true,0.7742,,0.0,0.2105,1.0,,SA,unbekannt,true
