ebene,entityID,lei,scope,refPeriod,template_id,bank_name,country,trea_eur,versatz_log10,zeitreihe_faktor,decimals_deklariert,anteil_erreicht_genauigkeit,n_zellen,signale,urteil,faktor_geschaetzt
report,rs:0W2PZJM8XOY22M4GG883.CON,0W2PZJM8XOY22M4GG883,CON,2025-06-30,,DekaBank Deutsche Girozentrale,Germany,28970000000.0,0.038,1,-6.0,0.7032,2556,,unauffaellig,
report,rs:0W2PZJM8XOY22M4GG883.CON,0W2PZJM8XOY22M4GG883,CON,2025-09-30,,DekaBank Deutsche Girozentrale,Germany,28010000000.0,0.109,1,-6.0,0.9678,417,,unauffaellig,
report,rs:0W2PZJM8XOY22M4GG883.CON,0W2PZJM8XOY22M4GG883,CON,2025-12-31,,DekaBank Deutsche Girozentrale,Germany,28440000000.0,0.357,1,-6.0,0.7386,2963,,unauffaellig,
report,rs:0W2PZJM8XOY22M4GG883.CON,0W2PZJM8XOY22M4GG883,CON,2026-03-31,,DekaBank Deutsche Girozentrale,Germany,29490000000.0,0.047,1,-6.0,0.9446,422,,unauffaellig,
report,rs:0W5QHUNYV4W7GJO62R27.CON,0W5QHUNYV4W7GJO62R27,CON,2025-12-31,,HYPO TIROL BANK AG,Austria,3501000000.0,-0.466,,2.0,0.0,1933,,unauffaellig,
report,rs:1FOLRR5RWTWWI397R131.IND,1FOLRR5RWTWWI397R131,IND,2025-06-30,,Aktiebolaget Svensk Exportkredit,Sweden,8716000000.0,-0.276,1,-3.0,0.9632,1731,,unauffaellig,
report,rs:1FOLRR5RWTWWI397R131.IND,1FOLRR5RWTWWI397R131,IND,2025-09-30,,Aktiebolaget Svensk Exportkredit,Sweden,8997000000.0,-0.383,1,-3.0,0.9829,281,,unauffaellig,
report,rs:1FOLRR5RWTWWI397R131.IND,1FOLRR5RWTWWI397R131,IND,2025-12-31,,Aktiebolaget Svensk Exportkredit,Sweden,9233000000.0,0.085,1,-3.0,0.9469,1610,,unauffaellig,
report,rs:1FOLRR5RWTWWI397R131.IND,1FOLRR5RWTWWI397R131,IND,2026-03-31,,Aktiebolaget Svensk Exportkredit,Sweden,9279000000.0,-0.457,1,-3.0,0.9896,283,,unauffaellig,
report,rs:2138002PVBMEHILJ1340.IND,2138002PVBMEHILJ1340,IND,2025-12-31,,Mitsubishi UFJ Investor Services and Banking (Luxembourg) S.A.,Luxembourg,1414000000.0,-0.422,,-3.0,0.9943,169,,unauffaellig,
